Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,35.959998999999996,40.540001000000004,35.959998999999996,39.860001000000004,39.860001000000004,618700.0
2017-01-04,40.0,40.380001,39.82,40.310001,40.310001,394000.0
2017-01-05,40.349998,40.509997999999996,39.82,40.27,40.27,312000.0
2017-01-06,40.349998,41.810001,40.349998,41.259997999999996,41.259997999999996,645600.0
2017-01-09,41.360001000000004,42.119999,41.360001000000004,42.07,42.07,286300.0
2017-01-10,41.869999,42.240002000000004,41.450001,42.189999,42.189999,357600.0
2017-01-11,42.200001,42.23,41.605,42.049999,42.049999,243400.0
2017-01-12,41.639998999999996,42.0,41.630001,41.91,41.91,144700.0
2017-01-13,42.060001,42.720001,41.919998,42.48,42.48,128600.0
2017-01-17,42.549999,42.970001,42.330002,42.709998999999996,42.709998999999996,220000.0
2017-01-18,,,,,,
2017-01-19,43.139998999999996,43.139998999999996,42.560001,42.68,42.68,149900.0
2017-01-20,42.619999,43.470001,42.619999,43.330002,43.330002,444900.0
2017-01-23,43.110001000000004,43.52,42.91,43.299999,43.299999,228300.0
2017-01-24,43.18,43.549999,43.168999,43.369999,43.369999,362400.0
2017-01-25,43.400002,43.810001,43.400002,43.52,43.52,405300.0
2017-01-26,43.32,43.810001,43.32,43.41,43.41,269000.0
2017-01-27,43.299999,43.779999,43.290001000000004,43.57,43.57,86300.0
2017-01-30,43.73,43.73,42.950001,43.41,43.41,101900.0
2017-01-31,43.200001,44.029999,43.09,44.009997999999996,44.009997999999996,397900.0
2017-02-01,44.02,44.290001000000004,43.349998,43.799999,43.799999,247300.0
2017-02-02,43.93,43.93,43.240002000000004,43.880001,43.880001,337800.0
2017-02-03,43.860001000000004,44.259997999999996,43.810001,44.240002000000004,44.240002000000004,237600.0
2017-02-06,44.029999,44.220001,43.799999,44.02,44.02,134200.0
2017-02-07,43.900002,44.400002,43.900002,44.299999,44.299999,116900.0
2017-02-08,44.110001000000004,44.439999,43.869999,44.200001,44.200001,369800.0
2017-02-09,44.43,44.720001,43.810001,44.52,44.52,287300.0
2017-02-10,44.400002,45.27,43.779999,44.529999,44.529999,514300.0
2017-02-13,44.759997999999996,44.759997999999996,43.419998,43.799999,43.799999,722300.0
2017-02-14,43.939999,43.98,43.259997999999996,43.259997999999996,43.259997999999996,232900.0
2017-02-15,,,,,,
2017-02-16,44.07,44.299999,43.669998,43.82,43.82,235800.0
2017-02-17,43.970001,43.970001,43.209998999999996,43.709998999999996,43.709998999999996,290800.0
