Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.0,9.5,8.0,8.89,8.89,98100
2017-01-04,9.11,10.024,8.814,9.7,9.7,111600
2017-01-05,9.77,11.25,9.77,10.653,10.653,85000
2017-01-06,10.7,10.78,10.27,10.54,10.54,57400
2017-01-09,10.48,10.5,9.9,10.12,10.12,42400
2017-01-10,10.0,10.33,10.0,10.31,10.31,5700
2017-01-11,10.6,10.6,10.05,10.4,10.4,14500
2017-01-12,10.43,10.732,10.23,10.31,10.31,15500
2017-01-13,10.19,10.87,10.19,10.84,10.84,16200
2017-01-17,10.8,12.139,10.8,11.4,11.4,46300
2017-01-18,11.35,11.36,10.55,11.25,11.25,16000
2017-01-19,11.26,11.292,11.0,11.05,11.05,11600
2017-01-20,11.11,11.65,11.11,11.5,11.5,31500
2017-01-23,11.6,11.69,11.26,11.51,11.51,21000
2017-01-24,11.55,11.72,11.253,11.68,11.68,22700
2017-01-25,11.75,12.05,11.5,11.6,11.6,42800
2017-01-26,11.8,11.85,11.46,11.69,11.69,46000
2017-01-27,11.51,11.6,11.21,11.59,11.59,21000
2017-01-30,11.64,11.64,10.75,11.47,11.47,24200
2017-01-31,11.0,11.42,10.97,11.4,11.4,10700
2017-02-01,11.005,11.37,11.005,11.37,11.37,2100
2017-02-02,11.33,11.33,10.85,11.2,11.2,11900
2017-02-03,11.024,11.35,10.96,11.26,11.26,11400
2017-02-06,11.11,11.23,10.516,10.93,10.93,12100
2017-02-07,10.98,10.98,10.25,10.74,10.74,35900
2017-02-08,10.5,10.51,9.9,10.35,10.35,43200
2017-02-09,10.22,10.55,10.22,10.4,10.4,16700
2017-02-10,10.25,10.85,10.25,10.5,10.5,22900
2017-02-13,10.4,10.69,10.25,10.6,10.6,8000
2017-02-14,10.6,10.68,10.09,10.5,10.5,28400
2017-02-15,10.5,10.635,10.244,10.49,10.49,9600
2017-02-16,10.5,10.5,9.9,10.3,10.3,10600
2017-02-17,10.3,10.3,10.005,10.21,10.21,7000
2017-02-21,10.2,10.65,10.091,10.65,10.65,24300
2017-02-22,10.47,10.662,9.8,10.06,10.06,29700
2017-02-23,9.8,10.59,9.11,10.59,10.59,56000
2017-02-24,10.57,10.59,10.059,10.4,10.4,8000
2017-02-27,10.48,10.5,9.9,10.24,10.24,280200
2017-02-28,10.1,10.41,10.01,10.2,10.2,6600
2017-03-01,10.07,10.597,10.07,10.55,10.55,40400
2017-03-02,10.1,10.59,10.05,10.55,10.55,74600
2017-03-03,10.49,11.0,10.405,10.98,10.98,54400
2017-03-06,10.788,10.84,10.421,10.84,10.84,30500
2017-03-07,10.602,10.96,10.51,10.85,10.85,31300
2017-03-08,10.68,10.742,10.5,10.71,10.71,38300
2017-03-09,10.61,10.61,9.723,10.05,10.05,41100
2017-03-10,10.05,10.18,9.445,9.79,9.79,30500
