Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.0,2.0,1.87,1.95,1.95,12500
2017-01-04,1.92,2.02,1.87,1.87,1.87,137700
2017-01-05,1.84,1.92,1.84,1.91,1.91,53200
2017-01-06,1.94,1.97,1.91,1.97,1.97,1300
2017-01-09,1.97,1.97,1.94,1.96,1.96,3100
2017-01-10,1.93,1.94,1.9,1.93,1.93,25800
2017-01-11,1.97,1.98,1.91,1.93,1.93,10300
2017-01-12,1.9,1.96,1.9,1.96,1.96,13300
2017-01-13,1.97,1.97,1.92,1.94,1.94,14500
2017-01-17,1.93,1.97,1.9,1.93,1.93,19300
2017-01-18,1.9,1.99,1.9,1.94,1.94,11400
2017-01-19,1.97,1.98,1.93,1.94,1.94,7500
2017-01-20,1.94,2.0,1.94,1.98,1.98,8200
2017-01-23,1.95,2.01,1.9,1.97,1.97,3900
2017-01-24,2.01,2.01,1.95,1.99,1.99,41500
2017-01-25,1.91,2.02,1.91,1.96,1.96,11400
2017-01-26,1.97,2.01,1.96,1.97,1.97,14500
2017-01-27,1.96,2.03,1.96,2.02,2.02,25800
2017-01-30,2.0,2.01,1.91,1.95,1.95,24100
2017-01-31,1.92,2.02,1.92,2.01,2.01,5100
2017-02-01,2.03,2.03,1.91,1.96,1.96,31100
2017-02-02,1.93,1.98,1.93,1.97,1.97,4400
2017-02-03,2.0,2.0,1.95,1.98,1.98,7900
2017-02-06,1.98,2.01,1.97,1.97,1.97,6600
2017-02-07,1.95,2.0,1.94,2.0,2.0,16300
2017-02-08,1.96,1.98,1.94,1.97,1.97,12700
2017-02-09,1.97,1.98,1.95,1.97,1.97,7900
2017-02-10,1.96,1.97,1.94,1.97,1.97,117700
2017-02-13,1.98,1.99,1.94,1.97,1.97,24200
2017-02-14,1.94,1.99,1.94,1.97,1.97,13200
2017-02-15,1.94,1.98,1.94,1.95,1.95,52900
2017-02-16,1.97,1.98,1.94,1.94,1.94,93600
2017-02-17,1.93,1.93,1.84,1.87,1.87,83700
2017-02-21,1.85,1.9,1.84,1.89,1.89,16100
2017-02-22,1.86,1.94,1.85,1.86,1.86,36700
2017-02-23,1.85,1.92,1.83,1.86,1.86,163000
2017-02-24,1.84,1.9,1.84,1.88,1.88,28000
2017-02-27,1.87,1.93,1.87,1.87,1.87,13900
2017-02-28,1.9,1.95,1.85,1.87,1.87,44300
2017-03-01,1.86,2.2,1.86,2.06,2.06,177300
2017-03-02,2.06,2.16,2.06,2.16,2.16,46600
2017-03-03,2.11,2.19,2.11,2.17,2.17,66800
2017-03-06,2.13,2.24,2.13,2.23,2.23,112600
2017-03-07,2.23,2.27,2.16,2.17,2.17,263200
2017-03-08,2.14,2.23,2.14,2.17,2.17,82400
2017-03-09,2.19,2.26,2.19,2.21,2.21,46800
2017-03-10,2.24,2.39,2.2,2.25,2.25,180500
2017-03-13,2.22,2.31,2.22,2.26,2.26,57000
2017-03-14,2.27,2.31,2.25,2.27,2.27,4800
2017-03-15,2.28,2.45,2.25,2.34,2.34,176400
2017-03-16,2.32,2.41,2.32,2.36,2.36,38000
2017-03-17,2.4,2.72,2.38,2.61,2.61,531900
2017-03-20,2.65,2.75,2.5,2.69,2.69,129500
2017-03-21,2.77,2.78,2.61,2.74,2.74,389900
2017-03-22,2.72,2.86,2.56,2.79,2.79,274400
2017-03-23,2.81,2.9,2.65,2.85,2.85,169000
2017-03-24,2.87,3.11,2.7,2.92,2.92,228200
2017-03-27,2.96,2.98,2.81,2.91,2.91,71000
2017-03-28,2.91,2.91,2.76,2.8,2.8,45400
2017-03-29,2.78,2.87,2.78,2.84,2.84,35000
2017-03-30,2.8,2.87,2.8,2.84,2.84,44400
2017-03-31,2.85,2.86,2.8,2.81,2.81,23400
2017-04-03,2.78,2.86,2.45,2.85,2.85,124100
2017-04-04,2.75,2.86,2.7,2.74,2.74,159500
2017-04-05,2.8,2.96,2.72,2.74,2.74,170900
2017-04-06,2.82,2.83,2.74,2.81,2.81,21300
2017-04-07,2.84,2.89,2.74,2.81,2.81,45300
2017-04-10,2.78,2.89,2.7,2.76,2.76,25300
2017-04-11,2.78,2.97,2.78,2.91,2.91,53600
2017-04-12,2.93,2.93,2.77,2.8,2.8,33500
2017-04-13,2.78,2.88,2.75,2.77,2.77,17500
2017-04-17,2.72,2.94,2.7,2.8,2.8,37600
2017-04-18,2.77,2.85,2.75,2.81,2.81,12300
2017-04-19,2.85,2.97,2.85,2.96,2.96,39300
2017-04-20,2.96,3.05,2.94,3.0,3.0,21200
2017-04-21,2.97,3.05,2.92,2.96,2.96,10400
2017-04-24,3.0,3.0,2.77,2.91,2.91,17100
2017-04-25,2.88,3.05,2.8,2.82,2.82,17400
2017-04-26,2.82,3.0,2.82,2.95,2.95,9900
2017-04-27,2.94,2.99,2.86,2.89,2.89,29200
2017-04-28,2.87,2.9,2.81,2.88,2.88,5700
2017-05-01,2.86,2.95,2.82,2.92,2.92,18900
2017-05-02,2.9,2.97,2.81,2.95,2.95,47900
2017-05-03,2.92,2.94,2.8,2.84,2.84,36300
2017-05-04,2.85,2.85,2.8,2.84,2.84,21100
2017-05-05,2.84,2.84,2.76,2.82,2.82,55700
2017-05-08,2.8,2.9,2.75,2.83,2.83,100000
2017-05-09,2.89,2.92,2.84,2.87,2.87,11300
2017-05-10,2.86,2.92,2.76,2.86,2.86,11200
2017-05-11,2.93,3.07,2.44,3.02,3.02,232800
2017-05-12,3.03,3.07,3.0,3.04,3.04,54500
2017-05-15,3.07,3.37,3.05,3.35,3.35,241200
2017-05-16,3.35,3.49,3.1,3.31,3.31,213900
2017-05-17,3.3,3.44,3.3,3.3,3.3,65800
2017-05-18,3.27,3.3,3.0,3.0,3.0,73900
2017-05-19,3.0,3.12,2.95,3.07,3.07,25800
2017-05-22,3.07,3.1,2.97,3.0,3.0,74700
2017-05-23,3.06,3.12,3.02,3.07,3.07,18800
2017-05-24,3.1,3.19,3.02,3.16,3.16,19900
2017-05-25,3.17,3.2,3.09,3.16,3.16,29800
2017-05-26,3.1,3.43,3.0,3.39,3.39,62000
2017-05-30,3.5,3.74,3.5,3.53,3.53,198900
2017-05-31,3.53,3.53,3.16,3.37,3.37,58700
2017-06-01,3.33,3.5,3.32,3.44,3.44,37900
2017-06-02,3.49,3.55,3.36,3.38,3.38,24500
2017-06-05,3.41,3.46,3.22,3.35,3.35,62000
2017-06-06,3.35,3.38,3.24,3.3,3.3,36700
2017-06-07,3.35,3.49,3.32,3.4,3.4,52900
2017-06-08,3.38,3.5,3.27,3.45,3.45,23800
2017-06-09,3.55,3.55,3.43,3.43,3.43,10500
2017-06-12,3.41,3.5,3.34,3.37,3.37,13600
2017-06-13,3.39,3.44,3.31,3.36,3.36,9200
2017-06-14,3.32,3.34,3.11,3.32,3.32,88700
