Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,24.299999,25.0,22.700001,23.41,23.41,233000
2017-01-04,23.34,23.620001000000002,22.030001000000002,23.030001000000002,23.030001000000002,235500
2017-01-05,22.84,22.84,20.25,20.67,20.67,237200
2017-01-06,20.25,20.27,16.5,18.049999,18.049999,1488100
2017-01-09,17.51,19.870001000000002,17.01,18.82,18.82,324200
2017-01-10,18.51,18.719998999999998,17.5,18.059998999999998,18.059998999999998,143400
2017-01-11,17.99,19.08,17.33,18.73,18.73,78200
2017-01-12,18.73,18.950001,17.68,18.58,18.58,40800
2017-01-13,18.35,19.66,18.01,18.9,18.9,77000
2017-01-17,18.67,18.85,18.0,18.75,18.75,45600
2017-01-18,18.610001,19.98,18.549999,19.120001000000002,19.120001000000002,93300
2017-01-19,19.049999,19.9,18.700001,19.049999,19.049999,64700
2017-01-20,19.139999,20.200001,18.68,19.790001,19.790001,115400
2017-01-23,19.780001000000002,22.15,19.780001000000002,21.389999,21.389999,139400
2017-01-24,21.42,22.02,20.110001,20.25,20.25,125300
2017-01-25,20.32,20.73,19.540001,20.08,20.08,70400
2017-01-26,19.969998999999998,20.93,19.780001000000002,20.629998999999998,20.629998999999998,34000
2017-01-27,20.549999,22.0,20.5,21.57,21.57,59500
2017-01-30,21.549999,21.59,20.52,21.379998999999998,21.379998999999998,49100
2017-01-31,21.389999,22.879998999999998,21.33,21.870001000000002,21.870001000000002,76200
2017-02-01,21.940001000000002,22.32,20.51,20.51,20.51,37300
2017-02-02,20.639999,21.139999,20.639999,20.77,20.77,26700
2017-02-03,21.02,22.139999,20.6,20.799999,20.799999,24600
2017-02-06,20.98,21.42,20.98,21.18,21.18,18800
2017-02-07,21.5,21.639999,21.1,21.1,21.1,18500
2017-02-08,21.290001,21.41,20.110001,20.110001,20.110001,64100
2017-02-09,20.0,20.0,17.51,18.360001,18.360001,218500
2017-02-10,18.0,19.74,17.1,19.68,19.68,129200
2017-02-13,19.5,19.6,18.690001000000002,18.99,18.99,87800
2017-02-14,18.84,19.02,18.27,18.73,18.73,28100
2017-02-15,18.629998999999998,18.65,17.610001,18.559998999999998,18.559998999999998,36600
