Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.0,14.1,13.6,13.8,13.8,95300
2017-01-04,13.9,14.35,13.6,14.3,14.3,83000
2017-01-05,13.35,13.55,12.9,13.45,13.45,316300
2017-01-06,13.55,13.6,13.25,13.5,13.5,88900
2017-01-09,13.5,13.65,13.2,13.5,13.5,76300
2017-01-10,13.6,13.8,13.3,13.7,13.7,232100
2017-01-11,13.65,13.7,13.15,13.35,13.35,47500
2017-01-12,13.3,13.3,12.85,12.9,12.9,58800
2017-01-13,13.0,13.15,12.45,12.5,12.5,53800
2017-01-17,12.45,12.5,11.85,12.1,12.1,70700
2017-01-18,12.2,12.55,12.05,12.4,12.4,99200
2017-01-19,12.5,12.6,12.15,12.5,12.5,100400
2017-01-20,12.45,12.5,12.2,12.25,12.25,63000
2017-01-23,12.25,12.36,12.1,12.3,12.3,68900
2017-01-24,12.35,12.68,12.25,12.65,12.65,34800
2017-01-25,12.8,13.1,12.4,12.75,12.75,57100
2017-01-26,12.75,13.05,12.65,12.9,12.9,54800
2017-01-27,12.9,13.25,12.85,13.05,13.05,100300
2017-01-30,13.1,13.2,12.95,13.0,13.0,114500
2017-01-31,13.05,13.05,12.55,12.6,12.6,57600
2017-02-01,12.75,12.75,12.25,12.35,12.35,76600
2017-02-02,12.35,12.35,12.15,12.25,12.25,39500
2017-02-03,12.3,12.35,12.2,12.3,12.3,109700
2017-02-06,12.3,12.55,12.25,12.45,12.45,64400
2017-02-07,12.5,12.7,12.4,12.55,12.55,43300
2017-02-08,12.55,12.85,12.45,12.7,12.7,42400
2017-02-09,12.7,13.0,12.7,12.85,12.85,50300
2017-02-10,12.85,13.05,12.65,13.0,13.0,47700
2017-02-13,13.1,13.2,13.0,13.1,13.1,36000
2017-02-14,13.05,13.1,12.65,12.9,12.9,42500
2017-02-15,12.85,13.2,12.65,13.15,13.15,51700
2017-02-16,13.1,13.2,12.8,12.9,12.9,19000
2017-02-17,12.9,13.65,12.9,13.4,13.4,92800
2017-02-21,13.4,13.6,12.8,12.95,12.95,59200
2017-02-22,12.9,12.95,12.7,12.9,12.9,56200
2017-02-23,12.85,12.9,12.55,12.65,12.65,63000
2017-02-24,12.45,12.7,12.45,12.65,12.65,40100
2017-02-27,12.6,12.85,12.6,12.75,12.75,44900
2017-02-28,12.7,12.8,12.45,12.6,12.6,101100
2017-03-01,12.8,12.9,12.58,12.65,12.65,33200
2017-03-02,12.7,13.1,12.65,13.0,13.0,54500
2017-03-03,13.0,13.05,12.65,12.85,12.85,48700
2017-03-06,12.6,12.69,12.35,12.45,12.45,61900
2017-03-07,12.5,12.55,12.45,12.5,12.5,34800
2017-03-08,12.55,12.6,12.35,12.5,12.5,35300
2017-03-09,12.45,12.75,12.45,12.5,12.5,45900
2017-03-10,12.45,12.85,12.4,12.6,12.6,122700
2017-03-13,12.55,12.6,12.3,12.55,12.55,62900
