Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.75,3.769,3.59,3.68,3.68,62700
2017-01-04,3.71,3.9,3.7,3.85,3.85,123900
2017-01-05,3.94,3.94,3.61,3.76,3.76,142500
2017-01-06,3.77,3.847,3.69,3.69,3.69,67200
2017-01-09,3.69,3.796,3.415,3.47,3.47,125200
2017-01-10,3.5,3.5,3.381,3.41,3.41,103700
2017-01-11,3.46,3.46,3.25,3.35,3.35,138400
2017-01-12,3.35,3.5,3.35,3.45,3.45,81400
2017-01-13,3.45,3.58,3.44,3.51,3.51,66700
2017-01-17,3.52,3.59,3.365,3.58,3.58,180100
2017-01-18,3.63,3.63,3.36,3.39,3.39,111300
2017-01-19,3.39,3.44,3.27,3.28,3.28,89600
2017-01-20,3.28,3.41,3.28,3.37,3.37,85300
2017-01-23,3.37,3.49,3.325,3.4,3.4,75700
2017-01-24,3.36,3.5,3.35,3.48,3.48,60600
2017-01-25,3.53,3.65,3.48,3.6,3.6,101000
2017-01-26,3.62,3.642,3.54,3.61,3.61,53200
2017-01-27,3.61,3.69,3.57,3.64,3.64,65500
2017-01-30,3.58,3.67,3.47,3.57,3.57,76500
2017-01-31,3.57,3.64,3.44,3.62,3.62,151300
2017-02-01,3.66,3.74,3.58,3.66,3.66,94000
2017-02-02,3.66,3.74,3.53,3.68,3.68,85400
2017-02-03,3.74,3.756,3.64,3.69,3.69,86200
2017-02-06,3.65,3.75,3.65,3.7,3.7,105700
2017-02-07,3.72,3.78,3.692,3.73,3.73,71900
2017-02-08,3.73,3.763,3.5,3.55,3.55,161300
2017-02-09,3.57,3.69,3.404,3.64,3.64,50600
2017-02-10,3.68,3.72,3.6,3.67,3.67,49900
2017-02-13,3.71,3.74,3.65,3.71,3.71,54700
2017-02-14,3.73,3.84,3.7,3.75,3.75,85300
2017-02-15,3.67,3.81,3.65,3.8,3.8,74800
2017-02-16,3.81,3.86,3.73,3.83,3.83,84400
2017-02-17,3.83,3.83,3.74,3.78,3.78,78700
2017-02-21,3.89,4.04,3.814,3.99,3.99,143700
2017-02-22,3.99,4.1,3.91,3.96,3.96,83600
2017-02-23,4.0,4.0,3.82,3.91,3.91,70500
2017-02-24,3.9,4.04,3.84,3.86,3.86,64600
2017-02-27,3.9,4.03,3.87,4.01,4.01,72800
2017-02-28,4.0,4.04,3.9,3.96,3.96,66500
2017-03-01,4.04,4.15,4.0,4.07,4.07,94800
2017-03-02,4.05,4.24,4.05,4.07,4.07,104400
2017-03-03,4.1,4.17,3.96,4.0,4.0,85500
2017-03-06,3.96,4.03,3.85,3.88,3.88,113600
2017-03-07,3.75,3.94,3.75,3.9,3.9,150700
2017-03-08,3.94,4.05,3.89,3.9,3.9,62300
2017-03-09,3.94,3.99,3.81,3.96,3.96,84600
2017-03-10,4.02,4.03,3.98,4.0,4.0,109800
