Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,17.5,17.5,17.5,17.5,17.5,0
2017-01-04,17.5,17.5,17.5,17.5,17.5,0
2017-01-05,17.5,17.5,17.5,17.5,17.5,0
2017-01-06,17.5,17.5,17.5,17.5,17.5,0
2017-01-09,17.5,17.5,17.5,17.5,17.5,0
2017-01-10,17.5,17.5,17.5,17.5,17.5,0
2017-01-11,17.5,17.5,17.5,17.5,17.5,0
2017-01-12,17.5,17.5,17.5,17.5,17.5,0
2017-01-13,17.5,17.5,17.5,17.5,17.5,0
2017-01-17,17.5,17.5,17.5,17.5,17.5,0
2017-01-18,17.5,17.5,17.5,17.5,17.5,0
2017-01-19,17.5,17.5,17.5,17.5,17.5,0
2017-01-20,17.5,17.5,17.5,17.5,17.5,0
2017-01-23,17.5,17.5,17.5,17.5,17.5,0
2017-01-24,17.5,17.5,17.5,17.5,17.5,0
2017-01-25,17.5,17.5,17.5,17.5,17.5,0
2017-01-26,17.5,17.5,17.5,17.5,17.5,0
2017-01-27,17.5,17.5,17.5,17.5,17.5,0
2017-01-30,17.5,17.5,17.5,17.5,17.5,0
2017-01-31,17.5,17.5,17.5,17.5,17.5,0
2017-02-01,17.5,17.5,17.5,17.5,17.5,0
2017-02-02,17.5,17.5,17.5,17.5,17.5,0
2017-02-03,17.5,17.5,17.5,17.5,17.5,0
2017-02-06,17.5,17.5,17.5,17.5,17.5,0
2017-02-07,17.5,17.5,17.5,17.5,17.5,0
2017-02-08,17.5,17.5,17.5,17.5,17.5,0
2017-02-09,17.5,17.5,17.5,17.5,17.5,0
2017-02-10,17.5,17.5,17.5,17.5,17.5,0
2017-02-13,17.5,17.5,17.5,17.5,17.5,0
2017-02-14,17.5,17.5,17.5,17.5,17.5,200
2017-02-15,17.5,17.5,17.5,17.5,17.5,0
2017-02-16,17.5,17.5,17.5,17.5,17.5,0
2017-02-17,17.5,17.5,17.5,17.5,17.5,0
2017-02-21,17.5,17.5,17.5,17.5,17.5,0
2017-02-22,17.5,17.5,17.5,17.5,17.5,0
2017-02-23,17.5,17.5,17.5,17.5,17.5,0
2017-02-24,17.5,17.5,17.5,17.5,17.5,0
2017-02-27,17.5,17.5,17.5,17.5,17.5,0
2017-02-28,17.5,17.5,17.5,17.5,17.5,0
2017-03-01,17.5,17.5,17.5,17.5,17.5,0
2017-03-02,14.2,14.2,14.2,14.2,14.2,3200
2017-03-03,16.25,16.25,16.0,16.0,16.0,1200
2017-03-06,16.25,16.25,16.200001,16.200001,16.200001,1300
2017-03-07,16.200001,16.200001,16.200001,16.200001,16.200001,0
2017-03-08,16.200001,16.200001,16.200001,16.200001,16.200001,0
2017-03-09,16.200001,16.200001,16.200001,16.200001,16.200001,0
2017-03-10,14.25,14.305,14.25,14.305,14.305,1700
2017-03-13,14.305,14.305,14.305,14.305,14.305,0
2017-03-14,14.305,14.305,14.305,14.305,14.305,0
2017-03-15,14.305,14.305,14.305,14.305,14.305,0
2017-03-16,14.3,14.305,14.3,14.305,14.305,400
2017-03-17,14.305,14.305,14.305,14.305,14.305,0
2017-03-20,14.305,14.305,14.305,14.305,14.305,0
2017-03-21,13.5,13.5,13.5,13.5,13.5,200
2017-03-22,13.5,13.5,13.5,13.5,13.5,0
2017-03-23,13.75,13.8,13.65,13.7,13.7,10300
2017-03-24,13.7,13.9,13.7,13.85,13.85,6000
2017-03-27,13.85,13.85,13.85,13.85,13.85,0
2017-03-28,13.9,13.9,13.9,13.9,13.9,100
2017-03-29,13.9,13.9,13.9,13.9,13.9,0
2017-03-30,13.9,13.9,13.9,13.9,13.9,0
2017-03-31,13.9,13.9,13.9,13.9,13.9,0
2017-04-03,13.9,13.9,13.9,13.9,13.9,0
2017-04-04,13.6,13.65,13.6,13.65,13.65,600
2017-04-05,13.95,13.95,13.4,13.4,13.4,900
2017-04-06,13.4,13.4,13.4,13.4,13.4,0
2017-04-07,13.4,13.4,13.4,13.4,13.4,0
2017-04-10,13.4,13.4,13.4,13.4,13.4,0
2017-04-11,13.4,13.4,13.4,13.4,13.4,0
2017-04-12,13.4,13.4,13.4,13.4,13.4,0
2017-04-13,13.4,13.4,13.4,13.4,13.4,0
2017-04-17,13.4,13.4,13.4,13.4,13.4,0
2017-04-18,13.4,13.4,13.4,13.4,13.4,0
2017-04-19,13.4,13.4,13.4,13.4,13.4,0
2017-04-20,14.3,14.3,14.3,14.3,14.3,100
2017-04-21,14.3,14.3,14.3,14.3,14.3,0
2017-04-24,14.3,14.3,14.3,14.3,14.3,0
2017-04-25,14.3,14.3,14.3,14.3,14.3,0
2017-04-26,14.3,14.3,14.3,14.3,14.3,0
2017-04-27,14.3,14.3,14.3,14.3,14.3,0
2017-04-28,14.3,14.3,14.3,14.3,14.3,0
2017-05-01,14.3,14.3,14.3,14.3,14.3,0
2017-05-02,15.7,15.7,15.7,15.7,15.7,500
