Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.24,14.28,13.86,14.2,14.2,2735200
2017-01-04,14.23,15.35,14.2,14.83,14.83,790200
2017-01-05,14.84,15.05,14.13,14.42,14.42,612800
2017-01-06,14.43,14.87,14.36,14.61,14.61,483600
2017-01-09,14.61,14.84,14.28,14.57,14.57,674500
2017-01-10,14.69,14.84,14.15,14.81,14.81,487300
2017-01-11,14.74,14.77,13.55,14.33,14.33,1257400
2017-01-12,14.2,14.43,14.0,14.31,14.31,563100
2017-01-13,14.41,14.99,14.38,14.75,14.75,842400
2017-01-17,14.76,14.76,14.11,14.23,14.23,596800
2017-01-18,14.29,14.49,13.99,14.3,14.3,497300
2017-01-19,14.29,14.29,13.93,14.03,14.03,482500
2017-01-20,13.96,14.11,13.83,13.84,13.84,442900
2017-01-23,13.86,14.08,13.71,13.88,13.88,495100
2017-01-24,13.91,14.19,13.6,14.14,14.14,675300
2017-01-25,14.24,14.25,14.05,14.16,14.16,300600
2017-01-26,14.16,14.31,13.81,13.89,13.89,463700
2017-01-27,13.9,14.0,13.66,13.9,13.9,408200
2017-01-30,13.89,13.94,13.41,13.68,13.68,461500
2017-01-31,13.57,14.36,13.54,14.33,14.33,615400
2017-02-01,14.37,14.37,13.96,14.15,14.15,489700
2017-02-02,14.1,14.34,13.89,14.29,14.29,515800
2017-02-03,14.36,14.42,14.0,14.38,14.38,497600
2017-02-06,14.37,14.71,14.15,14.4,14.4,593700
2017-02-07,14.46,14.61,14.14,14.34,14.34,490500
2017-02-08,14.24,14.57,14.06,14.44,14.44,839800
2017-02-09,14.44,15.09,14.44,14.99,14.99,1048600
2017-02-10,15.05,15.87,14.9,15.26,15.26,1034400
2017-02-13,15.34,15.34,14.27,14.49,14.49,1075800
2017-02-14,14.5,14.98,14.35,14.94,14.94,580600
2017-02-15,14.95,15.46,14.77,15.45,15.45,946700
2017-02-16,15.44,15.61,15.04,15.55,15.55,679800
2017-02-17,15.5,16.049999,15.46,15.74,15.74,745900
2017-02-21,15.78,16.049999,15.04,15.21,15.21,1081000
2017-02-22,15.17,15.37,15.01,15.29,15.29,521500
2017-02-23,15.37,15.59,15.07,15.37,15.37,448100
2017-02-24,15.33,15.81,15.18,15.72,15.72,531900
2017-02-27,15.8,16.530001000000002,15.78,16.450001,16.450001,1158300
2017-02-28,16.35,16.459999,15.78,16.040001,16.040001,1456500
2017-03-01,16.57,16.629998999999998,15.35,15.68,15.68,2449000
2017-03-02,15.71,16.030001000000002,15.01,15.07,15.07,1654300
2017-03-03,15.9,16.190001000000002,15.0,16.09,16.09,1984200
2017-03-06,16.09,16.73,15.97,16.43,16.43,1277800
2017-03-07,16.57,16.870001000000002,16.02,16.08,16.08,3964800
2017-03-08,16.190001000000002,17.48,16.17,16.73,16.73,1429200
2017-03-09,16.67,17.01,16.33,16.540001,16.540001,675300
2017-03-10,16.65,16.780001000000002,15.76,15.87,15.87,1397100
2017-03-13,15.9,15.94,15.45,15.51,15.51,1348200
2017-03-14,15.44,15.62,15.13,15.28,15.28,880000
2017-03-15,15.26,15.47,15.17,15.41,15.41,614800
2017-03-16,15.34,15.54,15.0,15.06,15.06,737700
2017-03-17,15.05,15.31,14.85,14.92,14.92,714200
2017-03-20,14.83,15.12,14.5,14.84,14.84,522000
2017-03-21,14.87,14.97,13.97,13.98,13.98,1069900
2017-03-22,14.04,14.3,13.85,14.29,14.29,877100
2017-03-23,14.25,14.51,14.13,14.22,14.22,518100
2017-03-24,14.25,14.51,14.13,14.2,14.2,889000
2017-03-27,13.98,14.46,13.98,14.4,14.4,1086800
2017-03-28,14.41,14.56,14.02,14.16,14.16,740500
2017-03-29,14.17,14.85,14.1,14.69,14.69,1201400
2017-03-30,14.65,14.71,14.24,14.39,14.39,846200
2017-03-31,14.33,14.52,14.21,14.34,14.34,538500
2017-04-03,14.37,14.59,14.09,14.19,14.19,794000
2017-04-04,14.2,14.4,14.14,14.26,14.26,679700
2017-04-05,14.32,14.4,13.79,13.89,13.89,856400
2017-04-06,13.94,14.02,13.57,13.7,13.7,1521400
2017-04-07,13.67,13.94,13.48,13.93,13.93,948400
2017-04-10,13.98,14.38,13.91,14.22,14.22,1051700
2017-04-11,14.2,14.48,14.2,14.47,14.47,643500
2017-04-12,14.5,14.86,14.43,14.75,14.75,842300
2017-04-13,14.75,15.1,14.75,15.08,15.08,886600
2017-04-17,15.14,15.21,14.68,14.84,14.84,543600
2017-04-18,14.82,15.04,14.5,14.9,14.9,803900
2017-04-19,14.98,15.02,14.81,14.93,14.93,729900
2017-04-20,15.0,15.04,14.73,15.0,15.0,460000
2017-04-21,15.01,15.05,14.68,14.97,14.97,447900
2017-04-24,15.1,15.18,14.96,15.11,15.11,546100
2017-04-25,15.2,15.49,15.13,15.45,15.45,712100
2017-04-26,15.48,15.78,15.35,15.67,15.67,855700
2017-04-27,15.69,15.75,15.57,15.61,15.61,464600
2017-04-28,15.68,15.74,15.46,15.61,15.61,499400
2017-05-01,15.61,15.69,15.48,15.66,15.66,436600
2017-05-02,15.75,15.79,15.57,15.69,15.69,751400
2017-05-03,15.79,16.040001,15.43,16.040001,16.040001,805000
2017-05-04,16.049999,16.18,15.75,15.86,15.86,495300
2017-05-05,15.85,16.08,15.55,16.01,16.01,568300
2017-05-08,15.98,16.0,15.6,15.67,15.67,467500
2017-05-09,15.7,15.89,15.63,15.88,15.88,525200
2017-05-10,15.82,15.99,15.75,15.77,15.77,411600
2017-05-11,15.75,15.98,15.53,15.91,15.91,780100
2017-05-12,15.87,16.09,15.52,15.92,15.92,441000
2017-05-15,15.84,16.049999,15.7,15.74,15.74,605000
2017-05-16,15.74,15.77,15.41,15.74,15.74,909700
2017-05-17,15.53,15.7,14.89,14.89,14.89,613800
2017-05-18,14.68,15.14,14.28,14.4,14.4,1485000
2017-05-19,14.45,14.81,14.41,14.5,14.5,585000
2017-05-22,14.48,14.75,14.3,14.51,14.51,746000
2017-05-23,14.55,14.56,14.17,14.37,14.37,681300
2017-05-24,14.36,14.58,14.24,14.52,14.52,738000
2017-05-25,14.62,14.69,14.38,14.56,14.56,460600
2017-05-26,14.48,14.54,14.31,14.41,14.41,861600
2017-05-30,14.4,14.48,13.62,13.69,13.69,1218800
2017-05-31,13.77,13.86,13.5,13.85,13.85,1033700
2017-06-01,13.86,14.21,13.86,14.18,14.18,739100
2017-06-02,14.25,15.48,14.13,15.12,15.12,1159300
2017-06-05,15.03,15.16,14.67,14.87,14.87,834000
2017-06-06,14.82,15.06,14.72,14.94,14.94,468800
2017-06-07,14.95,15.5,14.89,15.2,15.2,1157900
2017-06-08,15.2,15.56,15.11,15.36,15.36,967500
2017-06-09,15.5,16.629998999999998,15.5,16.4,16.4,4872300
2017-06-12,16.379998999999998,17.25,16.219998999999998,16.6,16.6,1893600
2017-06-13,16.709999,16.950001,16.440001000000002,16.83,16.83,863800
2017-06-14,16.799999,17.1,16.780001000000002,16.940001000000002,16.940001000000002,900800
2017-06-15,16.870001000000002,17.1,16.65,16.91,16.91,751600
2017-06-16,16.799999,17.09,16.57,16.780001000000002,16.780001000000002,1352800
2017-06-19,16.77,17.049999,16.73,17.040001,17.040001,651400
2017-06-20,17.0,17.290001,16.860001,17.0,17.0,719900
2017-06-21,17.07,17.65,17.0,17.629998999999998,17.629998999999998,879900
2017-06-22,17.620001000000002,17.700001,17.01,17.299999,17.299999,896300
2017-06-23,17.26,17.969998999999998,17.15,17.879998999999998,17.879998999999998,859600
2017-06-26,17.93,18.0,17.6,17.620001000000002,17.620001000000002,429000
2017-06-27,17.93,17.93,16.940001000000002,16.98,16.98,466700
2017-06-28,17.040001,17.17,16.700001,16.77,16.77,839400
2017-06-29,16.719998999999998,16.719998999999998,16.209999,16.57,16.57,825300
2017-06-30,16.6,16.639999,16.26,16.450001,16.450001,415300
2017-07-03,16.540001,16.690001000000002,16.41,16.52,16.52,228400
2017-07-05,16.469998999999998,16.610001,16.309998999999998,16.559998999999998,16.559998999999998,602300
2017-07-06,16.41,16.49,15.99,16.120001000000002,16.120001000000002,746700
2017-07-07,16.17,16.51,16.01,16.15,16.15,655500
2017-07-10,16.110001,16.139999,15.76,15.96,15.96,440400
2017-07-11,15.96,16.02,15.74,15.85,15.85,485600
2017-07-12,15.92,15.96,15.76,15.89,15.89,368600
2017-07-13,15.87,16.200001,15.45,16.110001,16.110001,625500
2017-07-14,16.049999,16.41,15.95,15.98,15.98,452600
2017-07-17,15.98,16.16,15.79,15.92,15.92,432800
2017-07-18,15.82,16.07,15.73,15.79,15.79,466000
2017-07-19,15.86,16.27,15.86,16.25,16.25,424200
2017-07-20,16.27,17.02,16.27,16.84,16.84,763100
2017-07-21,16.98,17.290001,16.48,16.700001,16.700001,705100
2017-07-24,16.68,17.1,16.51,17.08,17.08,439500
2017-07-25,17.15,17.24,16.74,16.790001,16.790001,450500
2017-07-26,16.84,17.07,16.790001,16.870001000000002,16.870001000000002,419400
2017-07-27,16.91,16.91,16.299999,16.370001000000002,16.370001000000002,414900
2017-07-28,16.309998999999998,16.49,16.17,16.379998999999998,16.379998999999998,372100
2017-07-31,16.389999,16.450001,16.129998999999998,16.299999,16.299999,734000
2017-08-01,16.74,17.030001000000002,15.6,16.0,16.0,1266800
2017-08-02,15.9,15.92,15.46,15.58,15.58,805700
2017-08-03,15.55,15.68,15.36,15.5,15.5,457100
2017-08-04,15.52,15.74,15.4,15.69,15.69,434100
2017-08-07,15.78,15.82,15.26,15.32,15.32,591000
2017-08-08,15.3,15.33,14.68,15.06,15.06,684700
2017-08-09,14.92,15.01,14.79,14.9,14.9,396400
2017-08-10,14.81,14.84,14.28,14.51,14.51,744900
2017-08-11,14.55,14.9,14.49,14.62,14.62,630300
2017-08-14,14.74,14.94,14.63,14.89,14.89,427400
2017-08-15,14.86,15.0,14.26,14.61,14.61,587400
2017-08-16,14.57,14.73,14.39,14.51,14.51,502600
2017-08-17,14.47,14.79,14.33,14.35,14.35,599600
2017-08-18,14.26,14.29,13.89,14.0,14.0,555700
2017-08-21,13.98,14.13,13.8,14.06,14.06,386400
2017-08-22,14.08,14.28,13.99,14.22,14.22,468900
2017-08-23,14.1,14.47,14.09,14.12,14.12,356800
2017-08-24,14.17,14.43,14.08,14.41,14.41,434000
2017-08-25,14.45,14.51,14.03,14.21,14.21,442300
2017-08-28,14.32,14.5,13.89,14.16,14.16,648900
2017-08-29,14.06,14.5,14.02,14.28,14.28,460800
2017-08-30,14.3,14.42,14.21,14.27,14.27,537400
2017-08-31,14.35,15.16,14.33,15.14,15.14,843600
2017-09-01,15.14,15.14,14.46,14.48,14.48,613500
2017-09-05,14.41,14.53,14.17,14.45,14.45,397500
2017-09-06,14.52,14.65,14.25,14.41,14.41,429600
2017-09-07,14.45,14.8,14.37,14.72,14.72,302300
2017-09-08,14.77,14.88,14.57,14.73,14.73,355300
2017-09-11,14.78,15.0,14.51,14.61,14.61,331600
2017-09-12,14.57,14.98,14.53,14.74,14.74,540100
2017-09-13,14.5,14.5,12.93,13.76,13.76,3207900
2017-09-14,13.72,13.76,11.8,12.39,12.39,4090200
2017-09-15,12.44,12.65,12.07,12.37,12.37,2323500
2017-09-18,12.7,13.24,12.61,12.81,12.81,1133600
2017-09-19,12.81,12.89,12.41,12.64,12.64,572100
2017-09-20,12.64,12.74,12.45,12.63,12.63,469100
2017-09-21,12.66,12.9,12.55,12.81,12.81,385800
2017-09-22,12.76,12.76,12.36,12.39,12.39,520600
2017-09-25,12.31,12.68,12.26,12.57,12.57,564400
2017-09-26,12.44,12.57,12.15,12.17,12.17,590900
2017-09-27,12.27,12.27,12.06,12.19,12.19,759400
2017-09-28,12.19,12.75,12.18,12.36,12.36,585200
2017-09-29,12.41,12.44,12.18,12.29,12.29,623230
