Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,52.68,52.68,52.68,52.68,52.68,0.0
2017-08-08,52.599998,52.599998,52.599998,52.599998,52.599998,0.0
2017-08-09,,,,,,
2017-08-10,,,,,,
2017-08-11,,,,,,
2017-08-14,,,,,,
2017-08-15,,,,,,
2017-08-16,,,,,,
2017-08-17,,,,,,
2017-08-18,,,,,,
2017-08-21,,,,,,
2017-08-22,9.5,9.85,9.498,9.8,9.8,40100.0
2017-08-23,10.25,12.5,9.8,11.61,11.61,118300.0
2017-08-24,11.75,11.75,10.8,10.98,10.98,19200.0
2017-08-25,11.19,11.25,11.06,11.15,11.15,28400.0
2017-08-28,11.5,12.7,11.445,12.7,12.7,190600.0
2017-08-29,12.6,12.85,11.5,12.85,12.85,119500.0
2017-08-30,12.8,13.35,12.7,13.1,13.1,160800.0
2017-08-31,13.25,13.25,12.56,12.98,12.98,54500.0
2017-09-01,12.93,13.1,12.49,13.1,13.1,39200.0
2017-09-05,13.0,13.0,12.5,12.74,12.74,51000.0
2017-09-06,12.66,13.0,12.38,12.58,12.58,88500.0
2017-09-07,12.7,12.73,12.46,12.58,12.58,46700.0
2017-09-08,12.55,12.58,12.33,12.35,12.35,30400.0
2017-09-11,12.6,12.6,11.0,11.98,11.98,44700.0
2017-09-12,12.0,12.639,11.95,12.22,12.22,47100.0
2017-09-13,12.45,12.45,11.89,11.89,11.89,34900.0
2017-09-14,12.42,12.45,11.99,12.1,12.1,35400.0
2017-09-15,12.2,12.39,11.6,12.2,12.2,43100.0
2017-09-18,12.45,12.49,12.1,12.25,12.25,53100.0
2017-09-19,12.38,12.45,12.2,12.45,12.45,28000.0
2017-09-20,12.45,12.47,11.1,11.629,11.629,84300.0
2017-09-21,11.96,12.261,11.426,11.8,11.8,26000.0
2017-09-22,11.9,11.9,11.3,11.378,11.378,31800.0
2017-09-25,11.4,11.4,9.971,10.69,10.69,89400.0
2017-09-26,10.99,10.99,10.136,10.46,10.46,40600.0
2017-09-27,11.29,11.4,10.304,11.39,11.39,87500.0
2017-09-28,11.32,11.37,11.0,11.14,11.14,17700.0
2017-09-29,11.27,11.84,10.4118,11.84,11.84,17415.0
