Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.1,7.65,6.05,7.5,7.5,147500
2017-01-04,7.42,7.79,7.0,7.61,7.61,125900
2017-01-05,7.7,9.1,7.7,8.64,8.64,214300
2017-01-06,8.8,8.8,8.05,8.08,8.08,176900
2017-01-09,8.03,8.1,6.9,7.14,7.14,174200
2017-01-10,7.1,7.22,6.99,7.05,7.05,82900
2017-01-11,7.05,7.05,6.44,6.54,6.54,134600
2017-01-12,6.54,6.54,6.1,6.19,6.19,133600
2017-01-13,6.1,6.3,6.0,6.07,6.07,55200
2017-01-17,6.08,6.08,5.5,5.69,5.69,105100
2017-01-18,5.67,5.78,5.22,5.33,5.33,97700
2017-01-19,5.32,5.4,5.07,5.14,5.14,56800
2017-01-20,5.2,5.2,5.0,5.2,5.2,54400
2017-01-23,5.11,5.17,4.9,5.14,5.14,74400
2017-01-24,5.08,5.48,5.0,5.45,5.45,47100
2017-01-25,5.55,5.83,5.05,5.24,5.24,66800
2017-01-26,5.13,5.2,5.07,5.16,5.16,48200
2017-01-27,5.12,5.15,5.01,5.05,5.05,33900
2017-01-30,5.01,5.03,4.85,4.85,4.85,58800
2017-01-31,4.85,4.92,4.46,4.65,4.65,118200
2017-02-01,4.62,4.63,4.4,4.44,4.44,55700
2017-02-02,4.44,4.61,4.3,4.61,4.61,44700
2017-02-03,4.6,4.6,4.37,4.54,4.54,44100
2017-02-06,4.53,4.61,4.36,4.53,4.53,18100
2017-02-07,4.43,4.55,4.4,4.41,4.41,26600
2017-02-08,4.44,4.48,4.36,4.42,4.42,27400
2017-02-09,4.44,4.95,4.42,4.91,4.91,71900
2017-02-10,4.96,5.28,4.94,5.23,5.23,86000
2017-02-13,5.3,5.4,4.98,5.0,5.0,60800
2017-02-14,5.08,5.3,4.98,5.18,5.18,43000
2017-02-15,5.18,5.18,5.06,5.1,5.1,18400
2017-02-16,5.0,5.04,4.92,5.01,5.01,14600
2017-02-17,4.96,5.05,4.95,5.05,5.05,10800
2017-02-21,5.0,5.25,4.98,5.13,5.13,30600
