Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.85,6.97,6.8,6.91,6.91,386500
2017-01-04,6.88,7.23,6.88,7.16,7.16,712900
2017-01-05,7.12,7.21,7.02,7.12,7.12,271000
2017-01-06,7.14,7.17,7.01,7.06,7.06,214800
2017-01-09,7.06,7.14,6.97,7.05,7.05,136300
2017-01-10,7.02,7.21,6.91,7.15,7.15,427300
2017-01-11,7.18,7.25,7.12,7.2,7.2,163400
2017-01-12,7.19,7.23,7.11,7.22,7.22,203100
2017-01-13,7.25,7.27,7.17,7.21,7.21,253200
2017-01-17,7.15,7.25,7.1,7.21,7.21,334800
2017-01-18,7.23,7.23,7.08,7.11,7.11,286200
2017-01-19,7.14,7.16,7.06,7.09,7.09,391600
2017-01-20,7.08,7.2,7.0,7.19,7.19,503000
2017-01-23,7.15,7.26,7.05,7.24,7.24,886600
2017-01-24,7.25,7.32,7.22,7.3,7.3,592000
2017-01-25,7.34,7.39,7.11,7.15,7.15,192800
2017-01-26,7.17,7.18,7.04,7.05,7.05,315000
2017-01-27,7.07,7.08,6.95,7.01,7.01,222500
2017-01-30,7.01,7.01,6.76,6.88,6.88,305100
2017-01-31,6.89,6.94,6.79,6.94,6.94,275600
2017-02-01,6.92,7.06,6.91,7.04,7.04,269200
2017-02-02,7.07,7.09,7.0,7.07,7.07,506100
2017-02-03,7.09,7.12,7.01,7.07,7.07,441200
2017-02-06,7.07,7.07,7.0,7.03,7.03,342100
2017-02-07,7.02,7.02,6.95,6.95,6.95,298000
2017-02-08,7.0,7.02,6.9,7.01,7.01,313600
2017-02-09,7.02,7.09,6.98,7.08,7.08,360400
2017-02-10,7.12,7.13,7.04,7.12,7.12,363600
2017-02-13,7.13,7.14,6.98,7.05,7.05,872600
2017-02-14,7.07,7.08,6.99,7.08,7.08,346900
2017-02-15,7.08,7.16,7.02,7.08,7.08,641100
2017-02-16,7.11,7.14,7.0,7.04,7.04,802900
2017-02-17,7.05,7.19,6.97,7.14,7.14,687400
2017-02-21,7.19,7.31,7.19,7.24,7.24,661300
2017-02-22,7.24,7.29,7.08,7.24,7.24,734600
2017-02-23,7.28,7.28,6.63,6.92,6.92,1627900
2017-02-24,6.81,6.88,6.68,6.83,6.83,760600
2017-02-27,6.82,6.84,6.7,6.75,6.75,688600
2017-02-28,6.78,6.78,6.55,6.62,6.62,493800
2017-03-01,6.65,6.69,6.54,6.59,6.59,566200
2017-03-02,6.55,6.64,6.46,6.49,6.49,413500
2017-03-03,6.49,6.64,6.44,6.5,6.5,956300
2017-03-06,6.55,6.55,6.4,6.48,6.48,538700
2017-03-07,6.57,6.64,6.4,6.56,6.56,521500
2017-03-08,6.55,6.92,6.54,6.9,6.9,852200
2017-03-09,6.89,7.07,6.76,6.87,6.87,450900
2017-03-10,6.88,7.02,6.88,7.0,7.0,1094400
2017-03-13,7.12,7.12,6.87,6.9,6.9,581800
2017-03-14,6.87,6.99,6.79,6.94,6.94,327900
2017-03-15,6.98,7.06,6.92,7.03,7.03,301000
2017-03-16,7.05,7.19,7.04,7.18,7.18,357900
2017-03-17,7.18,7.18,7.0,7.01,7.01,312800
2017-03-20,7.01,7.05,6.93,7.01,7.01,227000
2017-03-21,7.04,7.07,6.79,6.82,6.82,534300
2017-03-22,6.84,6.9,6.63,6.72,6.72,544000
2017-03-23,6.72,6.92,6.72,6.85,6.85,428800
2017-03-24,6.89,7.02,6.82,6.89,6.89,397900
2017-03-27,6.84,7.05,6.75,7.02,7.02,292700
2017-03-28,7.03,7.03,6.94,6.99,6.99,316600
2017-03-29,7.02,7.02,6.89,6.98,6.98,439300
2017-03-30,7.02,7.05,6.87,6.89,6.89,434600
2017-03-31,6.9,7.02,6.9,6.93,6.93,499800
2017-04-03,6.9,6.95,6.71,6.72,6.72,367700
2017-04-04,6.72,6.81,6.67,6.7,6.7,219200
2017-04-05,6.74,6.77,6.61,6.67,6.67,392000
2017-04-06,6.71,6.82,6.64,6.75,6.75,380300
2017-04-07,6.74,6.92,6.74,6.84,6.84,353000
2017-04-10,6.83,6.9,6.75,6.8,6.8,203700
2017-04-11,6.81,6.89,6.76,6.84,6.84,252500
2017-04-12,6.82,6.86,6.77,6.82,6.82,323200
2017-04-13,6.82,6.86,6.77,6.8,6.8,257900
2017-04-17,6.81,6.89,6.79,6.87,6.87,269500
2017-04-18,6.8,6.88,6.8,6.8,6.8,191700
2017-04-19,6.78,6.85,6.76,6.84,6.84,157000
2017-04-20,6.82,6.91,6.77,6.8,6.8,223900
2017-04-21,6.76,6.86,6.72,6.83,6.83,318000
2017-04-24,6.93,6.96,6.82,6.9,6.9,248000
2017-04-25,6.9,6.97,6.88,6.92,6.92,252600
2017-04-26,6.94,7.04,6.91,6.97,6.97,243600
2017-04-27,7.01,7.09,6.97,7.07,7.07,219500
2017-04-28,7.06,7.11,7.03,7.06,7.06,269300
2017-05-01,7.05,7.1,6.98,7.05,7.05,217500
2017-05-02,7.02,7.09,6.95,6.97,6.97,240600
2017-05-03,6.97,6.99,6.86,6.88,6.88,276600
2017-05-04,6.33,6.94,6.32,6.37,6.37,848200
2017-05-05,6.37,6.41,6.23,6.33,6.33,764700
2017-05-08,6.29,6.4,6.21,6.32,6.32,531700
2017-05-09,6.34,6.43,6.27,6.36,6.36,402600
2017-05-10,6.35,6.52,6.33,6.47,6.47,404400
2017-05-11,6.46,6.48,6.36,6.37,6.37,315000
2017-05-12,6.37,6.58,6.36,6.53,6.53,499100
2017-05-15,6.54,6.79,6.48,6.77,6.77,625000
2017-05-16,6.75,7.0,6.75,6.94,6.94,606400
2017-05-17,6.88,6.91,6.53,6.55,6.55,438700
2017-05-18,6.53,6.62,6.48,6.56,6.56,634500
2017-05-19,6.59,6.78,6.56,6.72,6.72,477700
2017-05-22,6.72,6.97,6.72,6.9,6.9,473800
