Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.75,7.98,7.52,7.68,7.68,40500
2017-01-04,7.75,7.94,7.53,7.57,7.57,14700
2017-01-05,7.59,7.71,7.49,7.52,7.52,32200
2017-01-06,7.57,7.6,7.43,7.43,7.43,28000
2017-01-09,7.48,7.67,7.25,7.25,7.25,42100
2017-01-10,7.4,7.68,7.4,7.51,7.51,42000
2017-01-11,7.52,7.64,7.36,7.49,7.49,8300
2017-01-12,7.38,7.53,7.35,7.39,7.39,51000
2017-01-13,7.55,7.99,7.55,7.99,7.99,46700
2017-01-17,7.96,7.96,7.66,7.95,7.95,8600
2017-01-18,7.95,7.95,7.8,7.9,7.9,8600
2017-01-19,8.0,8.03,7.8,8.03,8.03,27800
2017-01-20,8.1,8.2,8.0,8.0,8.0,50100
2017-01-23,8.0,8.11,8.0,8.06,8.06,18400
2017-01-24,8.06,8.11,8.02,8.08,8.08,10100
2017-01-25,8.17,8.25,8.1,8.25,8.25,22900
2017-01-26,8.25,8.29,8.13,8.24,8.24,14400
2017-01-27,8.16,8.26,8.14,8.19,8.19,24700
2017-01-30,8.12,8.21,8.01,8.18,8.18,15500
2017-01-31,8.17,8.27,8.06,8.27,8.27,5500
2017-02-01,8.25,8.28,8.04,8.23,8.23,6100
2017-02-02,8.26,8.5,8.25,8.5,8.5,65200
2017-02-03,8.5,8.9,8.38,8.9,8.9,65500
2017-02-06,8.8,8.9,8.5,8.9,8.9,57500
2017-02-07,8.85,8.9,8.7,8.9,8.9,55400
2017-02-08,8.9,8.95,8.8,8.95,8.95,47700
2017-02-09,8.91,9.14,8.81,9.06,9.06,61400
2017-02-10,9.15,9.36,8.79,9.35,9.35,66900
2017-02-13,9.15,9.5,9.03,9.32,9.32,79500
2017-02-14,9.22,9.36,8.96,9.21,9.21,43000
2017-02-15,9.15,9.23,8.99,9.17,9.17,13000
2017-02-16,9.11,9.19,8.96,9.05,9.05,42200
2017-02-17,9.03,9.09,8.98,9.06,9.06,12900
2017-02-21,9.0,9.08,8.84,8.89,8.89,22900
2017-02-22,8.94,8.99,8.84,8.9,8.9,9300
2017-02-23,8.81,8.93,8.62,8.62,8.62,46300
2017-02-24,8.6,9.09,8.5,8.93,8.93,105100
2017-02-27,9.0,9.1,8.77,9.02,9.02,38100
2017-02-28,9.0,9.09,8.92,9.03,9.03,21400
2017-03-01,9.05,9.05,8.72,8.78,8.78,29200
2017-03-02,8.64,8.84,8.58,8.67,8.67,37400
2017-03-03,8.71,8.91,8.7,8.89,8.89,5200
2017-03-06,8.8,8.8,8.53,8.57,8.57,16400
2017-03-07,8.52,8.57,8.45,8.49,8.49,37600
2017-03-08,8.46,8.59,8.45,8.45,8.45,10000
2017-03-09,8.4,8.49,8.15,8.16,8.16,31400
2017-03-10,8.18,8.24,7.9,8.02,8.02,46100
2017-03-13,7.97,8.34,7.95,8.27,8.27,79400
2017-03-14,8.31,8.31,8.13,8.25,8.25,17500
2017-03-15,8.25,8.48,8.11,8.41,8.41,33500
2017-03-16,8.5,8.59,8.36,8.59,8.59,46200
2017-03-17,8.67,8.86,8.62,8.86,8.86,28200
2017-03-20,8.86,8.87,8.74,8.77,8.77,15800
2017-03-21,8.76,8.77,8.52,8.55,8.55,13100
2017-03-22,8.5,8.85,8.48,8.84,8.84,45400
2017-03-23,8.85,9.0,8.41,9.0,9.0,26800
2017-03-24,8.95,9.15,8.95,9.09,9.09,33000
