Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,0.97,1.09,0.97,1.09,1.09,1700
2017-01-04,0.96,1.0783,0.96,0.9601,0.9601,24000
2017-01-05,0.96,1.0079,0.95,0.95,0.95,9700
2017-01-06,0.95,0.9786,0.95,0.95,0.95,8600
2017-01-09,0.98,0.9899,0.91,0.91,0.91,6700
2017-01-10,0.91,0.9555,0.91,0.91,0.91,8800
2017-01-11,0.9115,1.09,0.84,1.07,1.07,76700
2017-01-12,1.01,1.22,0.97,1.04,1.04,127000
2017-01-13,1.55,3.68,1.42,1.7,1.7,14153700
2017-01-17,1.75,1.75,1.46,1.6899,1.6899,799000
2017-01-18,1.68,1.68,1.51,1.63,1.63,264800
2017-01-19,1.68,2.12,1.51,2.12,2.12,593500
2017-01-20,1.91,1.96,1.67,1.679,1.679,290100
2017-01-23,1.74,1.9,1.5,1.6,1.6,222200
2017-01-24,1.56,1.66,1.42,1.44,1.44,165700
2017-01-25,1.5052,1.5052,1.28,1.35,1.35,287400
2017-01-26,1.34,1.43,1.3001,1.37,1.37,250200
2017-01-27,1.37,1.41,1.3,1.3,1.3,166200
2017-01-30,1.31,1.3466,1.15,1.21,1.21,126100
2017-01-31,1.18,1.2499,1.175,1.21,1.21,46800
2017-02-01,1.2,1.2099,1.14,1.17,1.17,45700
2017-02-02,1.26,2.97,1.26,2.78,2.78,17365100
2017-02-03,3.52,4.75,2.3307,2.43,2.43,21087700
2017-02-06,3.21,3.43,2.63,2.89,2.89,6248700
2017-02-07,3.1,3.74,2.9101,3.63,3.63,7848700
2017-02-08,3.6,3.62,3.06,3.08,3.08,2680900
2017-02-09,3.0,3.1,2.58,2.85,2.85,1855500
2017-02-10,2.64,2.84,2.52,2.84,2.84,1531900
2017-02-13,2.82,2.83,2.46,2.5,2.5,1120900
2017-02-14,2.47,2.95,2.45,2.68,2.68,2328200
2017-02-15,2.73,2.75,2.55,2.5599,2.5599,377600
2017-02-16,2.65,2.89,2.56,2.57,2.57,1515000
2017-02-17,2.62,2.6894,2.52,2.52,2.52,663800
2017-02-21,2.66,2.669,2.2,2.38,2.38,717900
2017-02-22,2.37,2.38,2.21,2.27,2.27,212600
2017-02-23,2.25,2.25,2.0,2.1214,2.1214,488700
2017-02-24,2.12,2.42,2.03,2.28,2.28,773800
2017-02-27,2.26,2.29,2.1,2.26,2.26,284400
