Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.13,6.58,5.968,6.29,6.29,39900
2017-01-04,6.36,6.407,6.19,6.28,6.28,22000
2017-01-05,6.75,6.8,6.29,6.66,6.66,31000
2017-01-06,6.61,6.89,6.249,6.66,6.66,36200
2017-01-09,6.64,7.8,6.53,7.6,7.6,73000
2017-01-10,7.6,7.97,7.28,7.7,7.7,27200
2017-01-11,7.7,7.99,7.23,7.83,7.83,19300
2017-01-12,7.7,7.7,6.808,7.67,7.67,19400
2017-01-13,7.61,7.84,7.57,7.82,7.82,12400
2017-01-17,7.95,7.97,7.5,7.9,7.9,8600
2017-01-18,7.87,7.93,7.658,7.84,7.84,10000
2017-01-19,7.72,7.84,7.7,7.71,7.71,10500
2017-01-20,7.762,7.852,7.7,7.78,7.78,7700
2017-01-23,7.83,8.5,7.6,7.76,7.76,50500
2017-01-24,7.85,8.5,7.76,8.25,8.25,15300
2017-01-25,8.34,8.45,7.877,8.21,8.21,14700
2017-01-26,8.34,8.84,7.82,8.45,8.45,77600
2017-01-27,8.57,8.6,8.05,8.43,8.43,21400
2017-01-30,8.033,8.676,7.98,8.175,8.175,27000
2017-01-31,8.06,8.2,7.97,7.97,7.97,17600
2017-02-01,7.85,8.047,7.31,7.95,7.95,22800
2017-02-02,8.09,8.09,7.75,8.01,8.01,21500
2017-02-03,7.92,8.1,7.87,8.0,8.0,39100
2017-02-06,7.93,8.09,7.91,8.09,8.09,12600
2017-02-07,8.09,8.79,8.09,8.5,8.5,42500
2017-02-08,8.39,8.74,8.39,8.5,8.5,14200
2017-02-09,8.79,9.79,8.79,9.79,9.79,35600
2017-02-10,9.8,10.015,9.51,9.51,9.51,28300
2017-02-13,9.51,9.55,9.31,9.51,9.51,28800
2017-02-14,9.79,11.0,9.5,10.0,10.0,85800
2017-02-15,9.8,10.05,9.7,9.82,9.82,20900
2017-02-16,9.88,10.204,9.78,9.95,9.95,9400
2017-02-17,10.07,10.99,10.07,10.82,10.82,92000
2017-02-21,10.85,10.9,10.51,10.79,10.79,24900
2017-02-22,10.9,10.9,10.6,10.9,10.9,18200
2017-02-23,10.671,10.8,10.628,10.63,10.63,6400
2017-02-24,10.66,10.9,10.66,10.9,10.9,12400
2017-02-27,10.75,10.9,10.721,10.81,10.81,18100
2017-02-28,10.81,10.85,10.5,10.78,10.78,15200
2017-03-01,10.75,11.832,10.51,11.49,11.49,142500
2017-03-02,11.5,12.75,11.29,12.62,12.62,97900
2017-03-03,12.5,12.5,11.16,12.0,12.0,28500
2017-03-06,12.0,12.0,11.414,11.7,11.7,25500
2017-03-07,11.58,11.99,11.31,11.8,11.8,26800
2017-03-08,11.8,12.0,11.638,11.96,11.96,18600
2017-03-09,12.0,12.5,11.705,12.38,12.38,34800
2017-03-10,12.0,12.25,11.51,11.51,11.51,16600
2017-03-13,11.65,11.99,11.65,11.85,11.85,19000
2017-03-14,11.97,12.0,11.83,12.0,12.0,1300
2017-03-15,12.0,12.25,11.512,11.7,11.7,19600
2017-03-16,11.47,11.71,11.21,11.7,11.7,19100
2017-03-17,11.55,11.76,11.0,11.5,11.5,19900
2017-03-20,11.38,11.49,11.15,11.15,11.15,16900
2017-03-21,11.05,11.39,11.0,11.0,11.0,28500
2017-03-22,10.87,11.3,10.51,11.06,11.06,6700
2017-03-23,11.03,11.5,11.005,11.15,11.15,3200
2017-03-24,11.11,11.11,10.8,10.8,10.8,500
2017-03-27,10.73,11.0,10.51,10.87,10.87,13000
2017-03-28,10.97,11.28,10.9,11.14,11.14,9500
2017-03-29,11.5,11.74,11.136,11.4,11.4,39500
2017-03-30,11.54,12.575,11.24,12.0,12.0,74100
2017-03-31,11.98,12.0,10.84,12.0,12.0,16600
2017-04-03,12.54,12.54,11.5,11.76,11.76,17600
2017-04-04,11.63,11.92,11.48,11.49,11.49,20100
2017-04-05,11.4,11.97,11.4,11.41,11.41,20200
2017-04-06,11.35,11.7,10.532,11.0,11.0,65500
2017-04-07,11.0,11.13,10.518,10.96,10.96,27300
2017-04-10,10.87,10.99,10.56,10.78,10.78,61100
2017-04-11,10.77,11.54,10.77,11.5,11.5,27700
2017-04-12,11.5,11.5,10.93,11.17,11.17,29200
2017-04-13,11.15,11.2,11.047,11.08,11.08,23300
2017-04-17,11.5,11.98,11.347,11.41,11.41,5300
2017-04-18,11.396,11.396,11.036,11.15,11.15,20000
2017-04-19,11.17,11.2,10.86,11.0,11.0,16000
2017-04-20,10.979,11.0,10.75,10.8,10.8,15200
2017-04-21,10.88,11.06,10.81,10.98,10.98,9100
2017-04-24,11.16,11.16,10.82,10.84,10.84,6300
2017-04-25,10.81,11.013,10.75,10.76,10.76,7800
2017-04-26,10.76,11.04,10.75,11.04,11.04,9500
2017-04-27,11.183,11.199,10.81,10.99,10.99,8100
2017-04-28,10.95,11.15,10.63,10.89,10.89,29600
2017-05-01,10.8,10.97,10.8,10.82,10.82,8700
2017-05-02,10.82,10.888,10.5,10.59,10.59,12000
2017-05-03,10.69,10.74,9.6,10.64,10.64,54900
2017-05-04,10.29,10.74,10.261,10.46,10.46,15500
2017-05-05,10.41,10.44,10.179,10.44,10.44,12700
2017-05-08,10.31,10.43,9.63,9.96,9.96,10200
2017-05-09,9.751,9.9,9.54,9.73,9.73,17100
2017-05-10,9.66,9.89,9.61,9.7,9.7,8600
2017-05-11,9.7,9.89,9.589,9.75,9.75,7200
2017-05-12,9.707,9.707,9.6,9.69,9.69,10700
2017-05-15,9.87,10.29,9.61,10.25,10.25,43700
2017-05-16,10.3,10.49,10.0,10.15,10.15,67200
2017-05-17,9.94,10.29,9.62,9.75,9.75,23500
2017-05-18,9.98,10.05,9.65,9.81,9.81,10300
2017-05-19,9.91,9.99,9.65,9.79,9.79,11300
2017-05-22,9.87,9.87,9.485,9.56,9.56,30600
2017-05-23,9.7,10.0,9.5,9.97,9.97,16500
2017-05-24,9.951,10.15,9.64,10.0,10.0,27900
2017-05-25,10.02,10.1,9.755,10.1,10.1,12500
2017-05-26,10.25,10.377,9.965,10.01,10.01,24700
2017-05-30,10.15,10.16,9.501,9.99,9.99,35800
2017-05-31,9.7,10.5,9.68,10.5,10.5,28600
2017-06-01,10.6,11.535,9.0,9.4,9.4,64000
2017-06-02,9.26,10.019,9.26,9.51,9.51,10600
2017-06-05,9.45,9.89,9.317,9.73,9.73,7300
2017-06-06,9.74,9.835,9.6,9.77,9.77,11100
2017-06-07,9.79,9.96,9.31,9.95,9.95,5800
2017-06-08,9.97,9.97,9.599,9.75,9.75,1100
2017-06-09,9.75,10.218,9.441,9.94,9.94,3900
2017-06-12,9.94,9.94,9.35,9.5,9.5,7800
2017-06-13,9.41,9.67,9.04,9.33,9.33,26900
2017-06-14,9.27,9.61,9.0,9.47,9.47,21900
2017-06-15,9.13,9.47,8.94,8.94,8.94,19500
2017-06-16,8.63,9.47,8.63,9.2,9.2,15800
2017-06-19,8.63,9.173,8.63,9.12,9.12,3500
2017-06-20,9.0,9.27,8.58,9.07,9.07,20300
2017-06-21,9.01,10.02,8.72,9.31,9.31,24300
2017-06-22,9.43,10.5,9.43,10.5,10.5,29000
2017-06-23,10.5,12.0,10.5,10.55,10.55,21100
2017-06-26,11.5,11.5,10.35,10.561,10.561,1200
2017-06-27,11.02,11.2,10.371,11.02,11.02,14300
2017-06-28,10.91,11.23,10.77,10.91,10.91,17700
2017-06-29,10.83,11.2,10.6,10.75,10.75,9700
2017-06-30,11.117,11.117,10.35,10.48,10.48,7800
2017-07-03,10.83,11.18,10.59,10.85,10.85,25300
2017-07-05,10.73,10.74,10.435,10.5,10.5,10900
2017-07-06,10.4,10.61,10.25,10.35,10.35,10200
2017-07-07,10.34,10.82,10.34,10.5,10.5,2000
2017-07-10,10.45,10.7,10.25,10.5,10.5,6700
2017-07-11,10.45,10.74,10.35,10.55,10.55,31900
2017-07-12,10.75,10.75,10.44,10.55,10.55,38500
2017-07-13,10.47,10.74,10.45,10.74,10.74,74000
2017-07-14,10.85,10.85,10.315,10.52,10.52,42100
2017-07-17,10.43,10.77,10.35,10.35,10.35,74300
2017-07-18,10.329,10.5,10.31,10.5,10.5,4100
2017-07-19,10.48,10.5,10.29,10.32,10.32,78000
2017-07-20,10.46,10.5,10.311,10.49,10.49,33000
2017-07-21,10.49,10.49,10.49,10.49,10.49,0
2017-07-24,10.5,10.5,10.49,10.49,10.49,900
2017-07-25,10.5,10.5,10.25,10.465,10.465,1200
2017-07-26,9.816,10.42,9.816,10.36,10.36,3900
2017-07-27,10.101,10.98,10.1,10.98,10.98,5900
2017-07-28,10.9,10.9,10.23,10.39,10.39,14500
2017-07-31,10.39,10.49,10.22,10.48,10.48,2900
2017-08-01,10.46,10.47,9.49,9.55,9.55,27500
2017-08-02,9.47,10.04,9.2,9.73,9.73,10800
2017-08-03,9.94,10.314,9.76,9.78,9.78,3700
2017-08-04,9.96,9.96,9.5,9.9,9.9,2700
2017-08-07,10.342,10.51,10.164,10.5,10.5,53200
2017-08-08,10.51,10.51,9.6,10.5,10.5,19500
2017-08-09,10.25,10.25,9.77,9.78,9.78,16000
2017-08-10,9.64,10.0,9.5,9.79,9.79,9300
2017-08-11,9.97,10.0,9.553,10.0,10.0,21500
2017-08-14,9.93,10.07,9.56,9.6,9.6,25400
2017-08-15,9.64,9.91,9.6,9.61,9.61,26500
2017-08-16,9.61,9.755,9.1,9.37,9.37,32800
2017-08-17,9.17,9.355,8.82,8.83,8.83,39500
2017-08-18,9.31,9.43,8.81,8.81,8.81,3700
2017-08-21,8.9,9.12,8.56,8.85,8.85,28700
2017-08-22,8.99,9.42,8.599,8.9,8.9,238300
2017-08-23,8.887,8.9,8.01,8.81,8.81,93600
2017-08-24,8.73,8.887,8.02,8.02,8.02,174300
2017-08-25,8.4,9.212,8.16,8.16,8.16,144700
2017-08-28,8.36,8.76,8.21,8.27,8.27,123600
2017-08-29,8.35,8.5,8.269,8.5,8.5,243900
2017-08-30,8.51,9.79,8.5,9.3,9.3,107600
2017-08-31,9.6,9.615,8.92,9.15,9.15,44300
2017-09-01,8.21,8.858,7.57,8.44,8.44,211300
2017-09-05,8.45,8.79,8.4,8.41,8.41,49400
2017-09-06,8.4,8.411,8.03,8.15,8.15,54600
2017-09-07,8.17,8.885,8.1,8.74,8.74,31500
2017-09-08,8.75,9.24,8.33,8.76,8.76,76200
2017-09-11,8.84,9.132,8.75,8.81,8.81,37900
2017-09-12,8.88,8.91,8.378,8.5,8.5,41600
2017-09-13,8.4,8.7,8.31,8.5,8.5,67300
2017-09-14,8.57,8.69,8.42,8.48,8.48,13300
2017-09-15,8.54,8.58,6.52,6.86,6.86,208800
2017-09-18,13.2,14.1,8.65,8.87,8.87,17492500
2017-09-19,9.75,10.58,9.16,9.19,9.19,7130500
2017-09-20,8.6,8.7,8.2,8.26,8.26,8262300
2017-09-21,8.36,8.48,8.25,8.35,8.35,1346500
2017-09-22,8.28,8.5,8.0,8.47,8.47,1480700
2017-09-25,8.37,8.58,8.15,8.49,8.49,1003100
2017-09-26,8.42,8.44,8.05,8.18,8.18,769500
2017-09-27,8.39,8.48,8.15,8.35,8.35,969200
2017-09-28,8.3,8.3,7.75,8.12,8.12,959200
2017-09-29,8.03,8.4299,8.03,8.19,8.19,780075
