Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.42,10.59,10.18,10.55,10.55,249800
2017-01-04,10.58,11.31,10.58,11.04,11.04,257600
2017-01-05,11.03,11.15,10.69,10.88,10.88,200000
2017-01-06,10.88,11.12,10.83,11.09,11.09,229200
2017-01-09,11.75,13.8,11.68,13.12,13.12,1108500
2017-01-10,13.03,13.4,12.25,12.92,12.92,360300
2017-01-11,12.95,12.98,11.83,12.17,12.17,327700
2017-01-12,12.07,12.14,11.53,11.94,11.94,277600
2017-01-13,11.96,12.37,11.92,12.02,12.02,118100
2017-01-17,11.93,11.93,11.0,11.11,11.11,228300
2017-01-18,11.22,11.49,10.95,11.2,11.2,141800
2017-01-19,11.15,11.28,10.77,10.79,10.79,148300
2017-01-20,10.79,11.42,10.79,11.33,11.33,239200
2017-01-23,11.23,11.32,10.91,11.06,11.06,170300
2017-01-24,11.08,11.09,10.63,11.02,11.02,187500
2017-01-25,11.17,11.52,10.95,11.47,11.47,202400
2017-01-26,11.54,12.4,11.38,12.2,12.2,323300
2017-01-27,12.15,12.38,11.89,12.32,12.32,189000
2017-01-30,12.22,12.23,11.36,11.76,11.76,220300
2017-01-31,11.63,12.63,11.51,12.17,12.17,387900
2017-02-01,12.38,12.74,12.2,12.68,12.68,215800
2017-02-02,12.63,12.84,12.39,12.45,12.45,109500
2017-02-03,12.62,12.82,12.33,12.79,12.79,163900
2017-02-06,12.75,13.53,12.63,13.32,13.32,252000
2017-02-07,13.34,13.92,13.19,13.67,13.67,380200
2017-02-08,13.54,14.2,13.17,14.01,14.01,500600
2017-02-09,14.05,14.22,13.84,14.01,14.01,510300
2017-02-10,14.12,14.12,13.62,14.0,14.0,248400
2017-02-13,14.12,14.98,13.95,14.02,14.02,388400
2017-02-14,13.93,14.68,13.75,14.62,14.62,277000
2017-02-15,14.56,15.16,14.32,14.97,14.97,369700
2017-02-16,14.93,15.48,14.7,14.96,14.96,239600
2017-02-17,14.9,15.3,14.69,15.27,15.27,257000
2017-02-21,15.22,15.69,14.73,14.9,14.9,256600
2017-02-22,14.82,14.96,14.34,14.4,14.4,127100
2017-02-23,14.4,14.68,13.99,14.28,14.28,165000
2017-02-24,14.19,14.47,14.01,14.18,14.18,127800
2017-02-27,14.2,15.37,14.2,15.21,15.21,399000
2017-02-28,15.96,17.27,14.7,15.71,15.71,639400
2017-03-01,16.01,17.1,15.9,16.780001000000002,16.780001000000002,629000
2017-03-02,16.799999,19.790001,16.790001,19.73,19.73,1396900
2017-03-03,19.5,21.18,18.92,20.440001000000002,20.440001000000002,870500
2017-03-06,20.309998999999998,21.43,20.0,20.73,20.73,620400
2017-03-07,20.469998999999998,20.9,19.58,19.65,19.65,448000
2017-03-08,19.709999,21.040001,19.709999,20.17,20.17,354000
2017-03-09,20.280001000000002,21.01,20.110001,21.01,21.01,353100
2017-03-10,21.23,21.43,19.969998999999998,21.4,21.4,433000
2017-03-13,21.459999,22.110001,21.059998999999998,21.950001,21.950001,325600
2017-03-14,21.950001,21.950001,20.83,21.129998999999998,21.129998999999998,354800
2017-03-15,21.190001000000002,22.110001,21.139999,21.9,21.9,206700
2017-03-16,21.84,22.92,21.73,21.959999,21.959999,330300
2017-03-17,21.639999,22.049999,21.16,21.75,21.75,344300
2017-03-20,21.76,22.469998999999998,21.700001,22.4,22.4,171000
2017-03-21,22.559998999999998,22.629998999999998,20.59,20.65,20.65,274700
2017-03-22,20.690001000000002,20.959999,19.440001000000002,20.25,20.25,290100
2017-03-23,20.299999,20.940001000000002,20.059998999999998,20.299999,20.299999,146700
2017-03-24,20.5,20.59,19.799999,20.09,20.09,190000
2017-03-27,19.76,20.48,19.65,20.389999,20.389999,155300
2017-03-28,20.379998999999998,20.879998999999998,19.99,20.65,20.65,266000
2017-03-29,20.5,22.799999,20.32,21.889999,21.889999,477100
2017-03-30,23.18,24.85,22.84,23.120001000000002,23.120001000000002,1060900
2017-03-31,23.15,24.620001000000002,23.08,24.1,24.1,811800
2017-04-03,24.120001000000002,25.17,22.98,23.09,23.09,666800
2017-04-04,19.459999,21.6,16.389999,20.790001,20.790001,4546000
2017-04-05,20.790001,20.790001,17.84,17.879998999999998,17.879998999999998,2263300
2017-04-06,17.99,17.99,16.65,17.540001,17.540001,1659400
2017-04-07,17.5,17.5,15.6,16.190001000000002,16.190001000000002,1542400
2017-04-10,16.219998999999998,17.15,16.219998999999998,16.719998999999998,16.719998999999998,661400
2017-04-11,16.389999,16.530001000000002,15.8,16.0,16.0,724200
2017-04-12,15.96,16.0,15.17,15.48,15.48,766500
2017-04-13,15.39,15.81,15.28,15.5,15.5,489200
2017-04-17,15.51,16.209999,15.35,15.91,15.91,429100
2017-04-18,15.73,16.030001000000002,15.56,16.0,16.0,397400
2017-04-19,16.190001000000002,19.200001,16.01,19.02,19.02,2559300
2017-04-20,19.700001,20.469998999999998,18.139999,18.26,18.26,1610400
2017-04-21,18.190001000000002,19.469998999999998,17.870001000000002,18.08,18.08,1018600
2017-04-24,18.16,19.42,18.110001,18.59,18.59,795600
2017-04-25,18.870001000000002,19.059998999999998,17.870001000000002,18.549999,18.549999,1194600
2017-04-26,18.51,19.360001,18.4,19.049999,19.049999,682900
2017-04-27,19.049999,19.059998999999998,18.190001000000002,18.370001000000002,18.370001000000002,522800
2017-04-28,18.34,19.02,18.34,18.690001000000002,18.690001000000002,292600
2017-05-01,18.780001000000002,18.99,18.15,18.860001,18.860001,292200
2017-05-02,18.870001000000002,19.469998999999998,17.93,18.049999,18.049999,562500
2017-05-03,18.01,18.809998999999998,17.68,17.719998999999998,17.719998999999998,563700
2017-05-04,18.200001,18.879998999999998,16.059998999999998,17.5,17.5,1229300
2017-05-05,17.51,18.08,16.27,16.950001,16.950001,634300
2017-05-08,16.9,16.98,16.299999,16.41,16.41,326500
2017-05-09,16.48,17.280001000000002,16.35,16.719998999999998,16.719998999999998,467100
2017-05-10,16.620001000000002,17.42,16.530001000000002,17.16,17.16,257900
2017-05-11,17.08,17.290001,16.66,16.84,16.84,270400
2017-05-12,16.860001,17.639999,16.860001,17.42,17.42,423400
2017-05-15,17.139999,17.540001,16.91,17.0,17.0,390100
2017-05-16,17.0,17.24,16.25,16.35,16.35,460600
2017-05-17,15.92,16.5,15.65,16.1,16.1,610300
2017-05-18,15.17,15.32,13.9,14.64,14.64,1857900
2017-05-19,14.62,15.03,14.43,14.78,14.78,470500
2017-05-22,14.77,15.62,14.68,15.11,15.11,659300
2017-05-23,15.16,15.54,14.6,15.5,15.5,424400
2017-05-24,15.5,15.6,14.93,15.37,15.37,537000
2017-05-25,15.54,15.54,15.01,15.24,15.24,452600
2017-05-26,15.2,15.24,13.88,14.34,14.34,753200
2017-05-30,14.32,14.32,13.01,13.02,13.02,652200
2017-05-31,13.16,13.51,12.3,12.76,12.76,682200
2017-06-01,12.83,12.94,12.47,12.75,12.75,436400
2017-06-02,12.76,13.07,12.44,12.59,12.59,581000
2017-06-05,12.06,12.48,10.89,11.03,11.03,1370300
2017-06-06,11.34,11.4,10.66,11.03,11.03,602000
2017-06-07,11.03,11.17,10.27,10.62,10.62,674300
2017-06-08,7.35,8.23,6.13,6.24,6.24,8313200
2017-06-09,6.35,6.86,6.03,6.46,6.46,3939400
2017-06-12,6.55,6.55,5.9,6.2,6.2,1543700
2017-06-13,6.18,6.31,6.01,6.14,6.14,957000
2017-06-14,6.11,6.44,5.96,6.22,6.22,1020300
2017-06-15,6.22,6.28,5.95,6.07,6.07,759100
2017-06-16,6.03,6.19,5.95,6.12,6.12,569400
2017-06-19,6.1,6.41,6.08,6.32,6.32,623700
2017-06-20,6.3,7.04,6.23,6.75,6.75,1483900
2017-06-21,6.82,7.55,6.82,7.36,7.36,1836500
2017-06-22,7.49,7.73,7.21,7.4,7.4,1316700
2017-06-23,7.41,7.65,7.21,7.36,7.36,1562500
2017-06-26,7.41,7.57,7.25,7.31,7.31,592000
2017-06-27,7.31,7.42,7.0,7.1,7.1,749600
2017-06-28,7.1,7.5,7.02,7.29,7.29,677200
2017-06-29,7.28,7.47,7.11,7.35,7.35,664000
2017-06-30,7.36,7.42,7.2,7.35,7.35,533900
2017-07-03,7.35,7.64,7.31,7.5,7.5,257400
2017-07-05,7.51,7.56,7.4,7.5,7.5,582200
2017-07-06,7.48,7.65,7.36,7.5,7.5,663900
2017-07-07,7.52,7.82,7.5,7.69,7.69,641200
2017-07-10,7.7,8.19,7.46,7.63,7.63,996100
2017-07-11,7.65,7.81,7.58,7.64,7.64,527300
2017-07-12,7.71,7.74,7.5,7.67,7.67,492000
2017-07-13,7.65,7.85,7.52,7.73,7.73,691200
2017-07-14,7.74,7.82,7.38,7.38,7.38,508900
2017-07-17,7.36,7.68,7.33,7.37,7.37,388500
2017-07-18,7.35,7.43,7.04,7.19,7.19,417400
