Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,27.370001000000002,27.764999,25.09,25.459999,25.459999,111900
2017-01-04,25.459999,27.190001000000002,25.219998999999998,25.879998999999998,25.879998999999998,106200
2017-01-05,25.870001000000002,27.0,25.49,26.860001,26.860001,84100
2017-01-06,26.549999,27.040001,25.75,25.93,25.93,62000
2017-01-09,26.120001000000002,26.139999,25.551001,25.719998999999998,25.719998999999998,45200
2017-01-10,25.639999,25.91,25.280001000000002,25.67,25.67,43900
2017-01-11,25.707001,25.76,24.76,25.09,25.09,81600
2017-01-12,25.0,25.059998999999998,23.879998999999998,24.0,24.0,56600
2017-01-13,24.209999,24.368999,22.379998999999998,22.690001000000002,22.690001000000002,93300
2017-01-17,23.5,23.76,22.41,22.950001,22.950001,77100
2017-01-18,23.129998999999998,23.639,22.843,23.26,23.26,78800
2017-01-19,23.540001,23.540001,21.181,22.450001,22.450001,140200
2017-01-20,22.299999,22.299999,21.16,21.84,21.84,95200
2017-01-23,22.18,22.18,18.58,19.209999,19.209999,249900
2017-01-24,19.440001000000002,19.440001000000002,17.57,17.950001,17.950001,179700
2017-01-25,18.15,18.290001,17.0,17.73,17.73,191300
2017-01-26,17.639999,19.059998999999998,17.09,18.700001,18.700001,121000
2017-01-27,4.5,5.38,3.52,4.86,4.86,7981400
2017-01-30,5.09,5.09,4.361,4.4,4.4,1224700
2017-01-31,4.35,4.4,3.8,4.06,4.06,645600
2017-02-01,4.18,4.29,4.0,4.2,4.2,330600
2017-02-02,4.21,4.733,4.101,4.44,4.44,517200
2017-02-03,4.72,4.72,4.37,4.46,4.46,233200
2017-02-06,4.48,4.53,4.2,4.26,4.26,229600
2017-02-07,4.48,4.48,4.07,4.07,4.07,183000
2017-02-08,4.06,4.32,4.06,4.12,4.12,168500
2017-02-09,4.2,4.31,4.13,4.13,4.13,125000
2017-02-10,4.18,4.31,4.12,4.17,4.17,94300
2017-02-13,4.21,4.28,4.2,4.26,4.26,93500
2017-02-14,4.27,4.82,4.2,4.79,4.79,433700
2017-02-15,4.87,7.98,4.79,6.44,6.44,5435600
2017-02-16,6.53,7.22,5.76,5.91,5.91,1160500
2017-02-17,5.88,5.992,5.45,5.64,5.64,332300
2017-02-21,5.6,5.94,5.26,5.57,5.57,290100
2017-02-22,5.52,5.872,5.24,5.26,5.26,156900
2017-02-23,5.24,5.344,4.89,4.92,4.92,130400
2017-02-24,4.87,5.1,4.81,5.1,5.1,113500
2017-02-27,5.04,5.94,5.007,5.45,5.45,602600
2017-02-28,5.45,5.75,5.34,5.66,5.66,198800
2017-03-01,5.66,6.14,5.52,5.92,5.92,253500
2017-03-02,5.91,6.089,5.66,5.94,5.94,128400
2017-03-03,5.9,6.5,5.9,6.39,6.39,323000
2017-03-06,7.19,8.19,6.57,6.95,6.95,1403200
2017-03-07,7.1,7.1,5.45,6.74,6.74,465400
2017-03-08,6.7,7.15,6.15,7.01,7.01,368200
2017-03-09,6.99,7.45,6.65,6.82,6.82,337400
2017-03-10,7.41,7.41,6.77,6.88,6.88,274900
2017-03-13,7.19,7.33,6.815,7.09,7.09,171900
2017-03-14,7.09,7.09,6.61,6.65,6.65,157100
2017-03-15,6.61,6.69,6.21,6.57,6.57,74900
2017-03-16,6.52,6.99,6.39,6.84,6.84,85700
2017-03-17,6.8,6.81,6.472,6.55,6.55,125000
2017-03-20,6.6,6.68,6.2,6.53,6.53,86700
2017-03-21,6.57,6.6,6.0,6.35,6.35,142500
2017-03-22,6.21,6.22,5.81,6.04,6.04,104300
2017-03-23,6.0,6.15,5.99,6.08,6.08,23600
2017-03-24,6.35,6.35,5.9,6.03,6.03,56300
2017-03-27,5.87,6.15,5.87,6.08,6.08,66000
2017-03-28,6.07,6.14,5.83,6.05,6.05,52400
2017-03-29,6.0,6.1,6.0,6.05,6.05,46000
2017-03-30,6.02,6.45,5.942,6.34,6.34,119400
2017-03-31,6.39,6.6,6.21,6.38,6.38,96800
2017-04-03,6.3,6.45,6.154,6.25,6.25,56900
2017-04-04,6.2,6.265,6.084,6.24,6.24,63800
2017-04-05,6.21,6.24,6.0,6.0,6.0,83800
2017-04-06,6.0,6.0,5.85,5.98,5.98,89000
2017-04-07,5.98,5.98,5.58,5.67,5.67,83800
2017-04-10,5.64,5.67,5.43,5.44,5.44,66300
2017-04-11,5.4,5.44,5.06,5.2,5.2,109300
2017-04-12,7.75,7.85,6.25,6.29,6.29,5393000
2017-04-13,6.31,6.43,5.75,5.94,5.94,755200
2017-04-17,5.9,6.0,5.35,5.37,5.37,544400
2017-04-18,5.35,5.78,5.22,5.62,5.62,267300
2017-04-19,5.59,6.0,5.552,5.64,5.64,155000
2017-04-20,5.63,5.83,5.41,5.45,5.45,158000
2017-04-21,5.4,5.61,5.3,5.41,5.41,133600
2017-04-24,5.43,5.43,5.177,5.28,5.28,98900
2017-04-25,5.28,5.529,5.21,5.39,5.39,78500
2017-04-26,5.35,5.64,5.35,5.45,5.45,63900
2017-04-27,5.68,6.05,5.3,5.47,5.47,349700
2017-04-28,5.44,5.513,5.31,5.44,5.44,111500
2017-05-01,5.49,5.55,5.26,5.34,5.34,135500
2017-05-02,5.31,5.384,5.05,5.09,5.09,150800
2017-05-03,5.07,5.14,4.97,5.06,5.06,136000
2017-05-04,5.05,5.161,4.91,5.0,5.0,60400
2017-05-05,5.0,5.18,4.86,4.98,4.98,119200
2017-05-08,4.95,5.29,4.84,5.17,5.17,351700
2017-05-09,5.11,5.193,5.03,5.06,5.06,86000
2017-05-10,5.01,5.13,4.984,5.12,5.12,49700
2017-05-11,5.09,5.19,5.01,5.12,5.12,49300
2017-05-12,5.06,5.08,4.7,4.88,4.88,175900
2017-05-15,4.9,5.08,4.9,4.94,4.94,50800
2017-05-16,4.93,5.1,4.9,5.04,5.04,45300
2017-05-17,4.98,4.98,4.75,4.85,4.85,90600
2017-05-18,4.83,5.1,4.785,4.98,4.98,70700
2017-05-19,4.98,5.229,4.98,5.03,5.03,80100
2017-05-22,5.103,5.12,4.95,5.04,5.04,51200
2017-05-23,5.02,5.13,4.87,5.03,5.03,36900
2017-05-24,4.995,5.03,4.86,4.94,4.94,47800
2017-05-25,4.94,5.13,4.7,4.83,4.83,85000
2017-05-26,4.79,5.0,4.75,4.92,4.92,42800
2017-05-30,4.94,4.98,4.79,4.9,4.9,37600
2017-05-31,4.89,5.01,4.712,4.95,4.95,131800
2017-06-01,4.97,5.03,4.91,4.99,4.99,78000
2017-06-02,4.99,4.99,4.84,4.86,4.86,38500
2017-06-05,4.88,4.91,4.56,4.64,4.64,87000
2017-06-06,4.63,4.658,4.365,4.45,4.45,90400
2017-06-07,4.43,4.45,4.27,4.37,4.37,66400
2017-06-08,4.35,4.64,4.35,4.52,4.52,67700
2017-06-09,4.61,4.61,4.28,4.35,4.35,85900
2017-06-12,4.35,4.41,4.21,4.23,4.23,64200
2017-06-13,4.325,4.59,4.22,4.51,4.51,73600
2017-06-14,4.54,4.54,4.32,4.36,4.36,29400
2017-06-15,4.42,4.42,4.27,4.31,4.31,29200
2017-06-16,4.31,4.31,3.94,3.94,3.94,185000
2017-06-19,3.96,4.26,3.96,4.0,4.0,71400
