Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,7.59,7.59,7.05,7.05,7.05,43100.0
2017-01-18,,,,,,
2017-01-19,6.75,7.2,6.75,7.0,7.0,4600.0
2017-01-20,7.3,8.45,7.2,8.45,8.45,24100.0
2017-01-23,8.45,8.69,8.23,8.5,8.5,79000.0
2017-01-24,8.55,8.55,8.2,8.21,8.21,26600.0
2017-01-25,8.05,8.6,8.05,8.38,8.38,29700.0
2017-01-26,8.6,8.73,8.3,8.73,8.73,29100.0
2017-01-27,8.8,10.25,8.75,9.75,9.75,79600.0
2017-01-30,10.12,11.99,10.1,11.59,11.59,236700.0
2017-01-31,12.45,12.459,10.85,10.9,10.9,76900.0
2017-02-01,11.2,11.4,11.0,11.18,11.18,39000.0
2017-02-02,11.5,13.65,11.5,13.25,13.25,127800.0
2017-02-03,13.85,14.43,13.55,14.25,14.25,93300.0
2017-02-06,14.25,14.5,12.5,12.7,12.7,63200.0
2017-02-07,13.05,13.05,11.17,11.2,11.2,66900.0
2017-02-08,11.2,11.57,10.95,11.445,11.445,20900.0
2017-02-09,11.55,15.0,11.55,13.45,13.45,37400.0
2017-02-10,13.45,13.95,13.25,13.35,13.35,20000.0
2017-02-13,13.95,16.75,13.9,15.0,15.0,59100.0
2017-02-14,16.0,16.0,13.75,13.8,13.8,150400.0
2017-02-15,,,,,,
2017-02-16,,,,,,
2017-02-17,13.0,16.0,12.85,15.77,15.77,169400.0
2017-02-21,16.01,18.65,16.01,18.469998999999998,18.469998999999998,229600.0
2017-02-22,18.5,18.75,17.0,18.33,18.33,98900.0
2017-02-23,17.799999,20.5,17.790001,19.0,19.0,97800.0
2017-02-24,18.82,19.25,17.5,18.15,18.15,59400.0
2017-02-27,19.24,19.700001,18.299999,18.9,18.9,132000.0
2017-02-28,19.5,19.799999,18.65,19.5,19.5,84100.0
2017-03-01,19.6,20.83,19.6,19.91,19.91,94800.0
2017-03-02,19.969998999999998,20.25,19.370001000000002,19.700001,19.700001,30800.0
2017-03-03,19.85,19.85,19.5,19.549999,19.549999,17600.0
2017-03-06,,,,,,
2017-03-07,,,,,,
2017-03-08,,,,,,
2017-03-09,,,,,,
2017-03-10,,,,,,
2017-03-13,,,,,,
2017-03-14,,,,,,
2017-03-15,,,,,,
2017-03-16,,,,,,
2017-03-17,,,,,,
2017-03-20,,,,,,
2017-03-21,,,,,,
2017-03-22,,,,,,
2017-03-23,,,,,,
2017-03-24,,,,,,
2017-03-27,,,,,,
2017-03-28,,,,,,
2017-03-29,,,,,,
2017-03-30,,,,,,
2017-03-31,,,,,,
2017-04-03,,,,,,
2017-04-04,,,,,,
2017-04-05,,,,,,
2017-04-06,,,,,,
2017-04-07,,,,,,
2017-04-10,,,,,,
2017-04-11,,,,,,
2017-04-12,,,,,,
2017-04-13,,,,,,
2017-04-17,,,,,,
2017-04-18,,,,,,
2017-04-19,,,,,,
2017-04-20,,,,,,
2017-04-21,,,,,,
2017-04-24,,,,,,
2017-04-25,,,,,,
2017-04-26,,,,,,
2017-04-27,,,,,,
2017-04-28,,,,,,
2017-05-01,,,,,,
2017-05-02,,,,,,
2017-05-03,,,,,,
2017-05-04,,,,,,
2017-05-05,,,,,,
2017-05-08,,,,,,
2017-05-09,,,,,,
2017-05-10,,,,,,
2017-05-11,,,,,,
2017-05-12,,,,,,
2017-05-15,,,,,,
2017-05-16,,,,,,
2017-05-17,,,,,,
2017-05-18,,,,,,
2017-05-19,,,,,,
2017-05-22,,,,,,
2017-05-23,,,,,,
2017-05-24,,,,,,
2017-05-25,,,,,,
2017-05-26,,,,,,
2017-05-30,,,,,,
2017-05-31,,,,,,
2017-06-01,,,,,,
2017-06-02,,,,,,
2017-06-05,,,,,,
2017-06-06,,,,,,
2017-06-07,,,,,,
2017-06-08,,,,,,
2017-06-09,,,,,,
2017-06-12,,,,,,
2017-06-13,,,,,,
2017-06-14,,,,,,
2017-06-15,,,,,,
2017-06-16,,,,,,
2017-06-19,,,,,,
2017-06-20,,,,,,
2017-06-21,,,,,,
2017-06-22,,,,,,
2017-06-23,,,,,,
2017-06-26,,,,,,
2017-06-27,,,,,,
2017-06-28,,,,,,
2017-06-29,,,,,,
2017-06-30,,,,,,
2017-07-03,,,,,,
2017-07-05,9.17,9.75,9.05,9.39,9.39,49000.0
2017-07-06,9.03,9.906,9.03,9.13,9.13,24000.0
2017-07-07,,,,,,
2017-07-10,,,,,,
2017-07-11,,,,,,
2017-07-12,,,,,,
2017-07-13,,,,,,
2017-07-14,,,,,,
2017-07-17,,,,,,
2017-07-18,,,,,,
2017-07-19,,,,,,
2017-07-20,,,,,,
2017-07-21,,,,,,
2017-07-24,,,,,,
2017-07-25,,,,,,
2017-07-26,,,,,,
2017-07-27,,,,,,
2017-07-28,,,,,,
2017-07-31,,,,,,
2017-08-01,,,,,,
2017-08-02,,,,,,
2017-08-03,,,,,,
2017-08-04,,,,,,
2017-08-07,,,,,,
2017-08-08,,,,,,
2017-08-09,,,,,,
2017-08-10,,,,,,
2017-08-11,,,,,,
2017-08-14,3.54,3.8,3.5,3.54,3.54,53600.0
2017-08-15,3.5,3.78,3.5,3.58,3.58,25600.0
2017-08-16,3.54,3.58,3.41,3.575,3.575,23400.0
2017-08-17,3.55,3.63,3.45,3.45,3.45,13000.0
2017-08-18,3.45,3.63,3.4,3.63,3.63,22600.0
2017-08-21,3.535,4.11,3.425,4.09,4.09,39000.0
2017-08-22,4.15,4.77,4.07,4.77,4.77,100700.0
2017-08-23,4.9,4.9,4.35,4.36,4.36,19000.0
2017-08-24,4.35,4.71,4.116,4.6,4.6,33600.0
2017-08-25,4.35,4.545,4.23,4.28,4.28,14200.0
2017-08-28,4.4,4.65,4.254,4.37,4.37,9400.0
2017-08-29,4.52,4.52,4.15,4.35,4.35,12400.0
2017-08-30,4.47,4.58,4.261,4.41,4.41,26100.0
2017-08-31,4.58,4.58,4.249,4.42,4.42,34600.0
2017-09-01,4.52,4.61,4.357,4.59,4.59,14600.0
2017-09-05,4.65,4.65,4.268,4.365,4.365,13000.0
2017-09-06,4.3,4.5,4.129,4.49,4.49,20600.0
2017-09-07,4.267,4.5,4.267,4.41,4.41,16400.0
2017-09-08,4.27,4.5,4.27,4.42,4.42,6900.0
