Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.99,2.0,1.89,1.9,1.9,52100
2017-01-04,1.93,1.97,1.91,1.94,1.94,95700
2017-01-05,1.98,1.98,1.89,1.91,1.91,50400
2017-01-06,1.9,1.92,1.85,1.87,1.87,70400
2017-01-09,1.9,1.96,1.86,1.92,1.92,44000
2017-01-10,1.87,1.91,1.87,1.9,1.9,18400
2017-01-11,1.87,1.89,1.75,1.83,1.83,73200
2017-01-12,1.81,1.83,1.75,1.77,1.77,73600
2017-01-13,1.77,1.8,1.75,1.78,1.78,88600
2017-01-17,1.8,1.8,1.68,1.68,1.68,38300
2017-01-18,1.7,1.7,1.61,1.62,1.62,103700
2017-01-19,1.64,1.85,1.59,1.75,1.75,279500
2017-01-20,1.75,1.95,1.73,1.75,1.75,134900
2017-01-23,1.7,1.92,1.65,1.66,1.66,119100
2017-01-24,1.7,1.8,1.7,1.7,1.7,92600
2017-01-25,1.68,1.74,1.66,1.7,1.7,43800
2017-01-26,1.68,1.74,1.68,1.73,1.73,44300
2017-01-27,1.73,1.91,1.7,1.91,1.91,141300
2017-01-30,1.89,1.89,1.72,1.73,1.73,57700
2017-01-31,1.75,1.77,1.72,1.73,1.73,37200
2017-02-01,1.7,1.77,1.7,1.74,1.74,38700
2017-02-02,1.77,1.77,1.62,1.65,1.65,81200
2017-02-03,1.64,1.68,1.62,1.62,1.62,27300
2017-02-06,1.64,1.68,1.62,1.67,1.67,45000
2017-02-07,1.65,1.74,1.65,1.66,1.66,39000
2017-02-08,1.66,1.68,1.6,1.61,1.61,50400
2017-02-09,1.63,1.68,1.6,1.67,1.67,72600
2017-02-10,1.67,1.7,1.66,1.67,1.67,36000
2017-02-13,1.64,1.68,1.51,1.57,1.57,81600
2017-02-14,1.58,1.59,1.46,1.53,1.53,206600
2017-02-15,1.48,1.51,1.45,1.47,1.47,34800
2017-02-16,1.47,1.47,1.4,1.4,1.4,68200
2017-02-17,1.41,1.44,1.11,1.26,1.26,458200
2017-02-21,1.28,2.05,1.28,1.9,1.9,2030500
2017-02-22,1.76,1.96,1.71,1.81,1.81,497600
2017-02-23,1.81,2.75,1.8,2.51,2.51,10855200
2017-02-24,2.32,2.47,2.14,2.26,2.26,1518400
2017-02-27,2.15,2.33,1.8,1.83,1.83,986000
2017-02-28,1.81,2.05,1.72,1.99,1.99,923200
2017-03-01,1.96,2.0,1.8,1.88,1.88,425800
2017-03-02,1.86,2.05,1.8,1.82,1.82,386200
2017-03-03,1.85,1.86,1.71,1.76,1.76,187600
2017-03-06,1.74,1.74,1.6,1.63,1.63,184700
2017-03-07,1.62,1.64,1.56,1.63,1.63,112600
2017-03-08,1.62,1.73,1.59,1.69,1.69,102500
2017-03-09,1.67,1.68,1.61,1.68,1.68,129500
2017-03-10,1.7,1.85,1.63,1.67,1.67,135900
2017-03-13,1.69,1.71,1.67,1.7,1.7,52100
2017-03-14,1.68,1.71,1.67,1.69,1.69,42000
2017-03-15,1.67,1.7,1.57,1.69,1.69,59500
2017-03-16,1.7,1.85,1.58,1.84,1.84,214400
2017-03-17,1.83,1.91,1.74,1.79,1.79,89300
2017-03-20,1.77,1.77,1.65,1.74,1.74,101300
2017-03-21,1.73,1.79,1.66,1.7,1.7,53300
2017-03-22,1.69,1.71,1.6,1.62,1.62,98000
2017-03-23,1.62,1.67,1.58,1.61,1.61,71000
2017-03-24,1.61,1.75,1.61,1.75,1.75,77000
2017-03-27,1.63,1.75,1.63,1.69,1.69,35700
2017-03-28,1.67,1.75,1.64,1.71,1.71,68000
2017-03-29,1.68,1.74,1.65,1.68,1.68,10400
2017-03-30,1.66,1.7,1.65,1.69,1.69,20300
2017-03-31,1.73,1.73,1.63,1.66,1.66,49100
2017-04-03,1.64,1.65,1.56,1.65,1.65,57200
