Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.75,7.75,7.75,7.75,7.75,0
2017-01-04,7.9,8.0,7.9,7.9,7.9,8800
2017-01-05,7.9,7.9,7.9,7.9,7.9,0
2017-01-06,7.9,7.9,7.9,7.9,7.9,0
2017-01-09,7.9,7.9,7.9,7.9,7.9,0
2017-01-10,7.9,7.9,7.9,7.9,7.9,0
2017-01-11,7.9,7.9,7.9,7.9,7.9,0
2017-01-12,7.9,7.9,7.9,7.9,7.9,0
2017-01-13,7.9,7.9,7.9,7.9,7.9,0
2017-01-17,7.9,7.9,7.9,7.9,7.9,0
2017-01-18,7.9,7.9,7.9,7.9,7.9,0
2017-01-19,7.9,7.9,7.9,7.9,7.9,0
2017-01-20,7.9,7.9,7.9,7.9,7.9,0
2017-01-23,7.9,7.9,7.9,7.9,7.9,0
2017-01-24,7.9,7.9,7.9,7.9,7.9,0
2017-01-25,7.9,7.9,7.9,7.9,7.9,0
2017-01-26,7.9,7.9,7.9,7.9,7.9,0
2017-01-27,7.56,7.56,7.56,7.56,7.56,200
2017-01-30,7.56,7.56,7.56,7.56,7.56,0
2017-01-31,7.56,7.56,7.56,7.56,7.56,0
2017-02-01,7.56,7.56,7.56,7.56,7.56,0
2017-02-02,7.56,7.56,7.56,7.56,7.56,0
2017-02-03,7.65,7.65,7.65,7.65,7.65,300
2017-02-06,7.65,7.65,7.65,7.65,7.65,0
2017-02-07,7.65,7.65,7.65,7.65,7.65,0
2017-02-08,8.0,8.5,8.0,8.5,8.5,1800
2017-02-09,8.5,8.5,8.5,8.5,8.5,0
2017-02-10,8.5,8.5,8.5,8.5,8.5,600
2017-02-13,8.8,9.3,8.7,8.95,8.95,13200
2017-02-14,8.9,9.3,8.9,9.3,9.3,600
2017-02-15,8.95,8.95,8.95,8.95,8.95,200
2017-02-16,9.1,9.1,9.1,9.1,9.1,100
2017-02-17,9.0,9.4,9.0,9.35,9.35,400
2017-02-21,9.35,9.35,9.35,9.35,9.35,0
2017-02-22,9.4,9.4,8.45,8.5,8.5,1800
2017-02-23,8.2,8.2,8.2,8.2,8.2,200
2017-02-24,8.2,8.2,8.2,8.2,8.2,0
2017-02-27,8.2,8.2,8.2,8.2,8.2,0
2017-02-28,7.67,7.67,7.67,7.67,7.67,400
2017-03-01,7.67,7.67,7.67,7.67,7.67,0
2017-03-02,7.95,7.95,7.75,7.75,7.75,500
2017-03-03,7.75,7.75,7.75,7.75,7.75,0
2017-03-06,7.8,8.3,7.8,8.3,8.3,1200
2017-03-07,8.15,8.15,7.75,7.75,7.75,600
2017-03-08,7.8,7.8,7.7,7.7,7.7,1800
2017-03-09,7.7,7.7,7.7,7.7,7.7,0
2017-03-10,7.7,7.7,7.7,7.7,7.7,0
2017-03-13,7.7,7.7,7.7,7.7,7.7,0
2017-03-14,7.1,7.55,7.05,7.2,7.2,2900
2017-03-15,7.25,8.25,7.25,7.96,7.96,5500
2017-03-16,7.96,7.96,7.96,7.96,7.96,0
2017-03-17,7.95,7.95,7.95,7.95,7.95,100
2017-03-20,7.95,7.95,7.95,7.95,7.95,0
2017-03-21,7.95,7.95,7.95,7.95,7.95,0
2017-03-22,8.25,9.1,8.05,9.1,9.1,1300
2017-03-23,7.9,7.9,7.75,7.75,7.75,500
2017-03-24,8.3,8.3,8.3,8.3,8.3,100
