Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.54,3.67,3.5,3.66,3.66,1773200
2017-01-04,3.71,3.92,3.64,3.88,3.88,2072600
2017-01-05,3.91,3.92,3.68,3.76,3.76,1161900
2017-01-06,3.76,3.8,3.69,3.72,3.72,1120900
2017-01-09,3.76,3.85,3.69,3.77,3.77,1253900
2017-01-10,3.84,3.91,3.77,3.83,3.83,1319700
2017-01-11,3.83,3.87,3.62,3.71,3.71,2006800
2017-01-12,3.73,3.77,3.6,3.67,3.67,1248400
2017-01-13,3.69,3.77,3.66,3.7,3.7,970500
2017-01-17,3.73,3.76,3.51,3.55,3.55,1592900
2017-01-18,3.55,3.61,3.48,3.55,3.55,959900
2017-01-19,3.57,3.58,3.45,3.48,3.48,791700
2017-01-20,3.49,3.59,3.47,3.51,3.51,793300
2017-01-23,3.5,3.55,3.41,3.45,3.45,1007600
2017-01-24,3.36,3.52,3.35,3.49,3.49,1059500
2017-01-25,3.63,3.77,3.59,3.73,3.73,2239000
2017-01-26,3.73,3.74,3.6,3.6,3.6,1001900
2017-01-27,3.6,3.65,3.56,3.64,3.64,718600
2017-01-30,3.63,3.65,3.5,3.51,3.51,1008500
2017-01-31,3.46,3.71,3.46,3.69,3.69,1212300
2017-02-01,3.73,3.75,3.64,3.7,3.7,957600
2017-02-02,3.7,3.7,3.62,3.66,3.66,733300
2017-02-03,3.67,3.7,3.57,3.7,3.7,1078400
2017-02-06,3.72,3.85,3.67,3.83,3.83,1493100
2017-02-07,3.84,3.85,3.62,3.67,3.67,1605300
2017-02-08,3.69,3.69,3.6,3.68,3.68,887100
2017-02-09,3.7,3.77,3.63,3.77,3.77,1414400
2017-02-10,3.25,3.3,3.14,3.19,3.19,5609800
2017-02-13,3.22,3.23,3.0,3.05,3.05,3475500
2017-02-14,3.01,3.03,2.88,2.98,2.98,3290000
2017-02-15,2.99,3.03,2.88,2.97,2.97,1922700
2017-02-16,2.97,3.0,2.86,2.89,2.89,1594400
2017-02-17,2.9,2.98,2.84,2.97,2.97,1246000
2017-02-21,3.04,3.05,2.95,3.0,3.0,1288800
2017-02-22,3.0,3.01,2.9,2.97,2.97,1543100
2017-02-23,2.95,3.02,2.9,2.97,2.97,1003800
2017-02-24,2.95,3.01,2.92,2.97,2.97,960900
2017-02-27,2.97,3.2,2.97,3.2,3.2,1571700
2017-02-28,3.23,3.24,3.11,3.12,3.12,1117000
2017-03-01,3.15,3.23,3.11,3.17,3.17,967200
2017-03-02,3.13,3.17,2.98,2.99,2.99,1187400
2017-03-03,2.99,3.09,2.98,3.01,3.01,928800
2017-03-06,2.99,3.01,2.92,2.92,2.92,1390800
2017-03-07,2.9,2.97,2.85,2.87,2.87,1045100
2017-03-08,2.89,2.93,2.85,2.86,2.86,887200
2017-03-09,2.86,2.88,2.76,2.82,2.82,1267800
2017-03-10,2.8,2.95,2.77,2.91,2.91,813400
