Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.98,3.05,2.92,2.98,2.98,105900
2017-01-04,2.95,3.04,2.87,3.01,3.01,142700
2017-01-05,3.01,3.54,3.0,3.24,3.24,1741200
2017-01-06,3.21,3.25,3.06,3.09,3.09,263900
2017-01-09,3.08,3.13,2.95,3.02,3.02,251500
2017-01-10,3.02,3.18,3.0,3.07,3.07,439500
2017-01-11,3.08,3.15,3.0,3.05,3.05,188600
2017-01-12,3.06,3.48,3.02,3.13,3.13,1419000
2017-01-13,3.11,3.2,3.05,3.09,3.09,289600
2017-01-17,3.1,3.11,3.01,3.04,3.04,250300
2017-01-18,3.05,3.1,3.02,3.05,3.05,155400
2017-01-19,3.04,3.24,3.02,3.05,3.05,433700
2017-01-20,3.09,3.15,3.03,3.04,3.04,205300
2017-01-23,3.04,3.11,3.02,3.06,3.06,91400
2017-01-24,3.04,3.27,3.04,3.07,3.07,369200
2017-01-25,3.12,3.2,3.04,3.05,3.05,247300
2017-01-26,3.08,3.1,3.04,3.06,3.06,87500
2017-01-27,3.06,3.1,3.04,3.06,3.06,104700
2017-01-30,3.04,3.05,2.7,2.75,2.75,661200
2017-01-31,2.75,2.75,2.53,2.63,2.63,334200
2017-02-01,2.67,2.7,2.63,2.64,2.64,98700
2017-02-02,2.64,2.65,2.5,2.51,2.51,199900
2017-02-03,2.53,2.67,2.52,2.62,2.62,175900
2017-02-06,3.04,3.47,2.77,2.81,2.81,3730300
2017-02-07,2.81,2.81,2.63,2.69,2.69,372400
2017-02-08,2.67,2.84,2.55,2.71,2.71,262400
2017-02-09,2.75,2.78,2.62,2.74,2.74,122900
2017-02-10,2.75,2.75,2.65,2.72,2.72,132700
2017-02-13,2.7,2.79,2.67,2.7,2.7,113600
2017-02-14,2.72,2.84,2.7,2.77,2.77,239500
2017-02-15,2.76,2.93,2.73,2.74,2.74,322600
2017-02-16,2.75,2.8,2.65,2.68,2.68,127200
2017-02-17,2.68,2.78,2.65,2.71,2.71,179900
2017-02-21,2.73,2.77,2.67,2.67,2.67,90600
2017-02-22,2.67,2.78,2.64,2.64,2.64,256000
2017-02-23,2.69,2.73,2.66,2.71,2.71,54300
2017-02-24,2.67,2.74,2.56,2.62,2.62,132000
2017-02-27,2.62,2.68,2.55,2.68,2.68,128300
2017-02-28,2.63,2.65,2.5,2.56,2.56,91600
2017-03-01,2.56,2.72,2.52,2.58,2.58,504800
2017-03-02,2.55,2.63,2.51,2.57,2.57,119000
2017-03-03,2.56,2.57,2.5,2.53,2.53,65100
2017-03-06,2.53,2.56,2.41,2.41,2.41,116400
2017-03-07,2.44,2.49,2.4,2.44,2.44,105200
2017-03-08,2.54,2.54,2.12,2.25,2.25,383100
2017-03-09,2.24,2.24,2.15,2.17,2.17,143100
2017-03-10,2.26,2.26,2.13,2.17,2.17,150600
2017-03-13,2.2,2.22,2.09,2.11,2.11,140000
2017-03-14,2.11,2.11,1.9,2.05,2.05,246400
2017-03-15,2.08,2.13,1.96,2.09,2.09,190800
2017-03-16,2.13,2.35,1.97,2.01,2.01,361500
2017-03-17,2.06,2.34,2.01,2.34,2.34,325600
2017-03-20,2.33,2.33,2.12,2.13,2.13,125600
2017-03-21,2.15,2.19,2.03,2.07,2.07,114500
2017-03-22,2.06,2.17,2.0,2.09,2.09,100200
2017-03-23,2.11,2.17,2.03,2.05,2.05,98600
