Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.000006,6.9000070000000004,5.700006,6.300006,6.300006,104500
2017-01-04,6.600007000000001,6.600007000000001,6.000006,6.000006,6.000006,57300
2017-01-05,5.700006,6.300006,5.700006,5.700006,5.700006,173200
2017-01-06,5.700006,6.000006,4.500004,6.000006,6.000006,371600
2017-01-09,6.000006,6.000006,4.500004,5.100005,5.100005,289300
2017-01-10,5.400005,5.700006,5.100005,5.400005,5.400005,86900
2017-01-11,5.400005,5.400005,5.100005,5.400005,5.400005,23200
2017-01-12,5.400005,6.000006,5.100005,6.000006,6.000006,137100
2017-01-13,6.000006,6.000006,5.400005,6.000006,6.000006,290400
2017-01-17,5.700006,6.300006,5.700006,5.700006,5.700006,164000
2017-01-18,5.7,5.7,5.7,5.7,5.7,500
2017-01-19,5.700006,5.700006,5.100005,5.100005,5.100005,34700
2017-01-20,5.400005,5.700006,5.100005,5.400005,5.400005,61600
2017-01-23,5.400005,5.400005,5.100005,5.400005,5.400005,101100
2017-01-24,4.8000050000000005,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,69800
2017-01-25,4.8000050000000005,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,255000
2017-01-26,4.500004,4.8000050000000005,4.500004,4.500004,4.500004,22700
2017-01-27,4.500004,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,50100
2017-01-30,4.8000050000000005,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,41200
2017-01-31,4.500004,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,139700
2017-02-01,4.500004,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,25800
2017-02-02,4.8000050000000005,5.400005,4.500004,4.8000050000000005,4.8000050000000005,394400
2017-02-03,4.8000050000000005,5.100005,4.8000050000000005,4.8000050000000005,4.8000050000000005,103900
2017-02-06,4.8000050000000005,5.100005,4.8000050000000005,4.8000050000000005,4.8000050000000005,308800
2017-02-07,4.8000050000000005,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,69500
2017-02-08,4.8000050000000005,4.8000050000000005,4.8000050000000005,4.8000050000000005,4.8000050000000005,200
2017-02-09,4.500004,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,53000
2017-02-10,4.8000050000000005,4.8000050000000005,4.500004,4.500004,4.500004,141000
2017-02-13,4.8000050000000005,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,111900
2017-02-14,4.500004,4.8000050000000005,4.500004,4.8000050000000005,4.8000050000000005,159800
2017-02-15,4.8,4.8,4.5,4.8,4.8,2500
2017-02-16,4.8000050000000005,4.8000050000000005,4.500004,4.500004,4.500004,82400
2017-02-17,4.8000050000000005,5.700006,4.8000050000000005,5.400005,5.400005,311900
2017-02-21,5.700006,6.300006,5.700006,6.300006,6.300006,257400
2017-02-22,6.300006,6.9000070000000004,6.000006,6.9000070000000004,6.9000070000000004,117800
2017-02-23,6.9000070000000004,7.500008,6.300006,6.9000070000000004,6.9000070000000004,59300
2017-02-24,6.600007000000001,7.500008,6.300006,6.9000070000000004,6.9000070000000004,81900
2017-02-27,6.000006,7.200007,6.000006,6.9000070000000004,6.9000070000000004,79300
2017-02-28,6.000006,7.500008,6.000006,7.500008,7.500008,64500
2017-03-01,7.200007,8.700008,7.200007,7.800008,7.800008,183400
2017-03-02,8.100008,8.100008,7.500008,7.500008,7.500008,93200
2017-03-03,7.500008,7.500008,6.9000070000000004,7.200007,7.200007,46400
2017-03-06,7.2,7.5,6.9,7.5,7.5,500
2017-03-07,7.5,8.4,7.5,8.1,8.1,3200
2017-03-08,8.4,8.4,6.9,8.4,8.4,3000
2017-03-09,7.8,8.7,7.8,8.1,8.1,2400
2017-03-10,7.8,9.0,7.8,8.4,8.4,900
2017-03-13,7.8,8.1,6.9,8.1,8.1,1900
2017-03-14,7.2,7.5,6.3,6.9,6.9,4600
2017-03-15,6.9,6.9,5.7,6.6,6.6,5400
2017-03-16,6.3,7.8,6.3,7.5,7.5,2300
2017-03-17,7.5,8.1,7.2,7.5,7.5,2200
2017-03-20,7.5,8.1,7.5,8.1,8.1,1900
2017-03-21,8.1,8.1,7.8,7.8,7.8,1200
2017-03-22,8.1,8.4,7.8,8.1,8.1,4000
2017-03-23,8.1,8.4,8.1,8.4,8.4,5400
