Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,5.6,5.6,5.1,5.4,5.4,8900
2017-01-04,5.35,5.35,5.25,5.25,5.25,2600
2017-01-05,5.25,5.35,5.2,5.35,5.35,3700
2017-01-06,5.45,5.45,5.05,5.05,5.05,29400
2017-01-09,5.05,5.2,5.0,5.05,5.05,27300
2017-01-10,5.15,5.4,5.1,5.35,5.35,8000
2017-01-11,5.4,5.4,5.2,5.225,5.225,5300
2017-01-12,5.15,5.2,5.1,5.2,5.2,4900
2017-01-13,5.3,5.3,5.2,5.3,5.3,5300
2017-01-17,5.25,5.25,5.1,5.1,5.1,7600
2017-01-18,5.15,5.15,5.1,5.1,5.1,4700
2017-01-19,5.15,5.2,5.1,5.15,5.15,9300
2017-01-20,5.1,5.45,5.1,5.35,5.35,28600
2017-01-23,5.4,5.4,5.175,5.25,5.25,27000
2017-01-24,5.05,5.255,5.05,5.25,5.25,51200
2017-01-25,5.25,5.3,5.25,5.3,5.3,16700
2017-01-26,5.35,5.35,5.15,5.16,5.16,2800
2017-01-27,5.25,5.3,5.2,5.3,5.3,5000
2017-01-30,5.25,5.3,5.15,5.25,5.25,6100
2017-01-31,5.2,5.3,5.15,5.15,5.15,7600
2017-02-01,5.2,5.26,5.2,5.25,5.25,17100
2017-02-02,5.25,5.3,5.2,5.3,5.3,28500
2017-02-03,5.25,5.3,5.1,5.2,5.2,14600
2017-02-06,5.1,5.25,5.1,5.15,5.15,5200
2017-02-07,5.15,5.25,5.1,5.2,5.2,14500
2017-02-08,5.2,5.25,5.2,5.2,5.2,4900
2017-02-09,5.2,5.25,5.2,5.225,5.225,6700
2017-02-10,5.35,5.35,5.1,5.2,5.2,23900
2017-02-13,5.2,5.4,5.15,5.4,5.4,41500
2017-02-14,5.305,5.4,5.3,5.3,5.3,42700
2017-02-15,5.3,5.332,5.294,5.3,5.3,29300
2017-02-16,5.35,5.4,5.25,5.3,5.3,32200
2017-02-17,5.3,5.35,5.3,5.35,5.35,19100
2017-02-21,5.35,5.35,5.3,5.35,5.35,24300
2017-02-22,5.3,5.35,5.25,5.3,5.3,35700
2017-02-23,5.3,5.325,5.25,5.3,5.3,16900
2017-02-24,5.3,5.4,5.3,5.325,5.325,10000
2017-02-27,5.3,5.35,5.2,5.25,5.25,31300
2017-02-28,5.25,5.29,5.125,5.15,5.15,19600
2017-03-01,5.2,5.3,5.2,5.25,5.25,89300
2017-03-02,5.25,5.3,5.2,5.3,5.3,15800
2017-03-03,5.286,5.3,5.25,5.25,5.25,28600
2017-03-06,5.3,5.35,5.25,5.35,5.35,63000
2017-03-07,5.305,5.5,5.3,5.35,5.35,49300
2017-03-08,5.4,5.524,5.4,5.4,5.4,17600
2017-03-09,5.4,5.55,5.4,5.5,5.5,50100
2017-03-10,5.6,5.6,5.5,5.5,5.5,19300
2017-03-13,5.55,5.55,5.4,5.4,5.4,11700
2017-03-14,5.45,5.55,5.4,5.5,5.5,56800
2017-03-15,5.55,5.613,5.35,5.45,5.45,23300
2017-03-16,5.35,5.45,5.35,5.35,5.35,20600
2017-03-17,5.413,5.5,5.4,5.4,5.4,21400
2017-03-20,5.4,5.55,5.4,5.45,5.45,11400
2017-03-21,5.46,5.5,5.44,5.5,5.5,10500
2017-03-22,5.45,5.55,5.4,5.45,5.45,17800
2017-03-23,5.443,5.55,5.443,5.45,5.45,13000
2017-03-24,5.5,5.6,5.5,5.5,5.5,19200
2017-03-27,5.45,5.5,5.4,5.45,5.45,13800
2017-03-28,5.45,5.55,5.4,5.4,5.4,6000
2017-03-29,5.25,5.5,5.25,5.5,5.5,22900
2017-03-30,5.45,5.5,5.35,5.5,5.5,14800
2017-03-31,5.55,5.55,5.491,5.55,5.55,3100
2017-04-03,5.6,5.7,5.6,5.6,5.6,16700
2017-04-04,5.65,5.7,5.55,5.55,5.55,17300
2017-04-05,5.55,5.75,5.505,5.6,5.6,16900
2017-04-06,5.6,5.65,5.55,5.6,5.6,8900
2017-04-07,5.55,5.6,5.5,5.55,5.55,5900
2017-04-10,5.55,5.6,5.5,5.6,5.6,4700
2017-04-11,5.6,5.6,5.5,5.5,5.5,10700
2017-04-12,5.56,5.65,5.525,5.575,5.575,39900
2017-04-13,5.605,5.7,5.6,5.65,5.65,40700
2017-04-17,5.75,5.75,5.6,5.6,5.6,28000
2017-04-18,5.65,5.65,5.5,5.6,5.6,57800
2017-04-19,5.65,5.95,5.6,5.81,5.81,42300
2017-04-20,5.85,5.95,5.8,5.8,5.8,28700
2017-04-21,5.85,5.95,5.85,5.9,5.9,32500
2017-04-24,5.9,6.0,5.85,5.9,5.9,26200
2017-04-25,5.9,6.4,5.9,6.2,6.2,39700
2017-04-26,6.25,6.35,6.16,6.3,6.3,59200
2017-04-27,6.25,6.75,6.25,6.75,6.75,103700
2017-04-28,6.75,7.15,6.75,6.95,6.95,166400
2017-05-01,7.05,7.1,6.85,7.05,7.05,83100
2017-05-02,7.05,7.3,7.05,7.25,7.25,66100
2017-05-03,7.25,7.6,7.25,7.6,7.6,142600
2017-05-04,7.5,7.7,7.46,7.6,7.6,62500
2017-05-05,7.6,7.75,7.1,7.75,7.75,50400
2017-05-08,7.6,7.725,7.45,7.65,7.65,34800
2017-05-09,7.62,7.9,7.62,7.9,7.9,25000
2017-05-10,7.95,8.05,7.65,8.0,8.0,73400
2017-05-11,8.0,8.0,7.49,8.0,8.0,44600
2017-05-12,7.95,8.0,7.75,7.95,7.95,39600
2017-05-15,8.1,8.1,7.8,7.85,7.85,29000
2017-05-16,7.8,7.85,7.55,7.8,7.8,28000
