Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.12,2.23,2.09,2.23,2.23,2114200
2017-01-04,2.27,2.34,2.13,2.3,2.3,3999000
2017-01-05,2.33,2.34,2.29,2.31,2.31,2101800
2017-01-06,2.31,2.35,2.25,2.26,2.26,2130600
2017-01-09,2.26,2.32,2.24,2.27,2.27,2502600
2017-01-10,2.28,2.38,2.26,2.34,2.34,2479700
2017-01-11,2.38,2.39,2.27,2.32,2.32,3798800
2017-01-12,2.3,2.35,2.28,2.29,2.29,2817400
2017-01-13,2.29,2.35,2.24,2.27,2.27,3725200
2017-01-17,2.28,2.3,2.21,2.25,2.25,2874200
2017-01-18,2.27,2.37,2.23,2.35,2.35,2587100
2017-01-19,2.34,2.38,2.23,2.36,2.36,2851400
2017-01-20,2.36,2.37,2.25,2.32,2.32,1865500
2017-01-23,2.31,2.36,2.24,2.29,2.29,1902600
2017-01-24,2.29,2.34,2.25,2.32,2.32,1753200
2017-01-25,2.32,2.33,2.22,2.28,2.28,3266600
2017-01-26,2.29,2.31,2.24,2.27,2.27,757200
2017-01-27,2.26,2.3,2.23,2.25,2.25,1088900
2017-01-30,2.25,2.27,2.18,2.2,2.2,1298500
2017-01-31,2.18,2.24,2.14,2.2,2.2,2143100
2017-02-01,2.21,2.24,2.18,2.19,2.19,938000
2017-02-02,2.2,2.23,2.16,2.2,2.2,1097200
2017-02-03,2.21,2.21,2.18,2.21,2.21,1134600
2017-02-06,2.17,2.27,2.17,2.24,2.24,1768900
2017-02-07,2.24,2.27,2.19,2.21,2.21,986400
2017-02-08,2.19,2.24,2.15,2.22,2.22,2468800
2017-02-09,2.22,2.27,2.21,2.23,2.23,1204200
2017-02-10,2.26,2.3,2.24,2.26,2.26,1400700
2017-02-13,2.26,2.3,2.23,2.25,2.25,1101800
2017-02-14,2.22,2.32,2.22,2.31,2.31,1668500
2017-02-15,2.28,2.32,2.24,2.29,2.29,1796900
2017-02-16,2.28,2.34,2.26,2.31,2.31,2011800
2017-02-17,2.31,2.32,2.25,2.27,2.27,1726900
2017-02-21,2.27,2.31,2.21,2.22,2.22,1440200
2017-02-22,2.22,2.28,2.22,2.28,2.28,880500
2017-02-23,2.27,2.28,2.22,2.24,2.24,1031900
2017-02-24,2.22,2.26,2.18,2.22,2.22,914700
2017-02-27,2.2,2.26,2.16,2.19,2.19,2740500
2017-02-28,2.17,2.21,2.11,2.14,2.14,2092100
2017-03-01,2.21,2.25,2.09,2.12,2.12,3129500
2017-03-02,2.08,2.1,1.98,2.04,2.04,3027900
2017-03-03,2.05,2.2,2.02,2.17,2.17,2466800
2017-03-06,2.2,2.25,2.12,2.13,2.13,2226800
2017-03-07,2.12,2.15,2.09,2.09,2.09,1603400
2017-03-08,2.1,2.18,2.08,2.14,2.14,1554300
2017-03-09,2.13,2.19,2.13,2.15,2.15,1056500
2017-03-10,2.15,2.18,2.1,2.15,2.15,1248900
2017-03-13,2.15,2.21,2.15,2.15,2.15,1419400
2017-03-14,2.14,2.18,2.11,2.13,2.13,1311100
2017-03-15,2.12,2.19,2.12,2.16,2.16,1669600
2017-03-16,2.15,2.21,2.15,2.18,2.18,1946000
2017-03-17,2.16,2.24,2.15,2.21,2.21,2853100
2017-03-20,2.2,2.2,2.13,2.18,2.18,1795200
2017-03-21,2.18,2.19,2.12,2.16,2.16,1726900
2017-03-22,2.13,2.17,2.01,2.05,2.05,2675300
2017-03-23,2.05,2.07,2.02,2.03,2.03,1222400
2017-03-24,2.02,2.04,1.96,1.98,1.98,1708000
2017-03-27,2.0,2.08,1.98,2.05,2.05,1420200
2017-03-28,2.12,2.14,2.09,2.1,2.1,1502300
2017-03-29,2.1,2.22,2.08,2.19,2.19,1633300
2017-03-30,2.18,2.21,2.12,2.16,2.16,2403300
2017-03-31,2.15,2.29,2.15,2.27,2.27,2799500
2017-04-03,2.25,2.32,2.23,2.3,2.3,2850500
2017-04-04,2.3,2.31,2.22,2.23,2.23,2983500
2017-04-05,2.23,2.24,2.11,2.13,2.13,2418700
2017-04-06,2.13,2.17,2.1,2.13,2.13,2100200
2017-04-07,2.12,2.14,2.04,2.06,2.06,2716600
2017-04-10,2.07,2.13,2.05,2.06,2.06,1593800
2017-04-11,2.05,2.1,2.0,2.03,2.03,1915600
2017-04-12,2.03,2.09,2.02,2.03,2.03,1912200
2017-04-13,2.03,2.09,2.03,2.04,2.04,1345700
2017-04-17,2.02,2.1,2.02,2.09,2.09,1888000
2017-04-18,2.08,2.11,2.04,2.06,2.06,2177200
2017-04-19,2.08,2.1,2.02,2.02,2.02,1408400
2017-04-20,2.02,2.11,2.02,2.05,2.05,1757800
2017-04-21,2.05,2.09,2.01,2.02,2.02,1748700
2017-04-24,2.06,2.17,2.05,2.16,2.16,2184700
2017-04-25,2.16,2.23,2.15,2.23,2.23,1762300
2017-04-26,2.21,2.33,2.21,2.31,2.31,2571500
2017-04-27,2.3,2.35,2.28,2.28,2.28,1829400
2017-04-28,2.3,2.33,2.23,2.25,2.25,1531000
2017-05-01,2.24,2.28,2.21,2.22,2.22,912400
2017-05-02,2.23,2.26,2.15,2.15,2.15,1624500
2017-05-03,2.14,2.21,2.11,2.16,2.16,1398100
2017-05-04,2.11,2.3,2.11,2.23,2.23,1475100
2017-05-05,2.25,2.29,2.22,2.27,2.27,1694400
2017-05-08,2.27,2.3,2.22,2.22,2.22,1798300
2017-05-09,2.24,2.28,2.22,2.27,2.27,2371700
2017-05-10,2.28,2.44,2.25,2.4,2.4,2093000
2017-05-11,2.39,2.4,2.27,2.27,2.27,1949100
2017-05-12,2.28,2.34,2.27,2.29,2.29,1300400
2017-05-15,2.29,2.33,2.28,2.31,2.31,1293200
2017-05-16,2.3,2.41,2.3,2.38,2.38,1892800
2017-05-17,2.34,2.38,2.28,2.33,2.33,1791700
2017-05-18,2.32,2.41,2.32,2.38,2.38,1915900
2017-05-19,2.38,2.41,2.33,2.33,2.33,1550800
2017-05-22,2.34,2.39,2.34,2.35,2.35,1494300
2017-05-23,2.36,2.42,2.34,2.35,2.35,1321200
2017-05-24,2.36,2.39,2.3,2.32,2.32,1539800
2017-05-25,2.33,2.37,2.28,2.34,2.34,1555400
2017-05-26,2.33,2.39,2.33,2.39,2.39,891900
2017-05-30,2.39,2.4,2.35,2.39,2.39,1067000
2017-05-31,2.39,2.4,2.32,2.39,2.39,3413100
2017-06-01,2.39,2.42,2.38,2.41,2.41,2111000
2017-06-02,2.4,2.51,2.4,2.45,2.45,3448200
2017-06-05,2.45,2.52,2.43,2.44,2.44,1876300
2017-06-06,2.43,2.49,2.43,2.48,2.48,1311600
2017-06-07,2.48,2.49,2.41,2.43,2.43,1408200
2017-06-08,2.43,2.48,2.41,2.47,2.47,1430100
2017-06-09,2.5,2.52,2.42,2.47,2.47,1128500
2017-06-12,2.45,2.5,2.42,2.43,2.43,1446100
2017-06-13,2.44,2.44,2.32,2.34,2.34,1544300
2017-06-14,2.35,2.4,2.32,2.34,2.34,1322500
2017-06-15,2.32,2.35,2.26,2.27,2.27,1284200
2017-06-16,2.21,2.3,2.21,2.29,2.29,2442400
2017-06-19,2.29,2.34,2.29,2.33,2.33,890700
2017-06-20,2.35,2.37,2.34,2.36,2.36,4147400
2017-06-21,2.37,2.47,2.37,2.46,2.46,1535400
2017-06-22,2.47,2.49,2.44,2.46,2.46,1571000
2017-06-23,2.48,2.6,2.43,2.54,2.54,3675600
