Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.85,3.95,3.75,3.8,3.8,35200
2017-01-04,3.85,3.95,3.8,3.8,3.8,4800
2017-01-05,3.91,4.0,3.8,3.9,3.9,8100
2017-01-06,3.85,3.95,3.75,3.75,3.75,2500
2017-01-09,3.75,3.81,3.75,3.75,3.75,14200
2017-01-10,3.8,3.85,3.8,3.85,3.85,3600
2017-01-11,3.88,3.88,3.88,3.88,3.88,300
2017-01-12,3.8,3.84,3.75,3.8,3.8,8700
2017-01-13,3.85,3.9,3.85,3.9,3.9,1500
2017-01-17,3.85,3.85,3.8,3.8,3.8,1100
2017-01-18,3.75,3.82,3.75,3.78,3.78,3000
2017-01-19,3.75,3.78,3.75,3.78,3.78,1700
2017-01-20,3.75,3.75,3.67,3.7,3.7,50800
2017-01-23,3.7,3.75,3.6,3.6,3.6,23800
2017-01-24,3.61,3.61,3.61,3.61,3.61,200
2017-01-25,3.6,3.63,3.56,3.6,3.6,2200
2017-01-26,3.6,3.63,3.55,3.55,3.55,4000
2017-01-27,3.55,3.55,3.45,3.46,3.46,16300
2017-01-30,3.4,3.55,3.4,3.55,3.55,5100
2017-01-31,3.45,3.53,3.3,3.3,3.3,22000
2017-02-01,3.45,3.47,3.3,3.35,3.35,6700
2017-02-02,3.45,3.45,3.35,3.45,3.45,5200
2017-02-03,3.4,3.41,3.35,3.4,3.4,10400
2017-02-06,3.4,3.45,3.35,3.38,3.38,24900
2017-02-07,3.4,3.4,3.25,3.3,3.3,22700
2017-02-08,3.35,3.38,3.3,3.3,3.3,9100
2017-02-09,3.5,3.55,3.3,3.4,3.4,12400
2017-02-10,3.45,3.45,3.35,3.45,3.45,14900
2017-02-13,3.35,3.36,3.25,3.3,3.3,89000
2017-02-14,3.43,3.43,3.3,3.3,3.3,17500
2017-02-15,3.25,3.35,3.2,3.2,3.2,71700
2017-02-16,3.2,3.25,2.85,2.85,2.85,193100
2017-02-17,2.9,3.2,2.86,3.13,3.13,34000
2017-02-21,3.15,3.45,3.1,3.35,3.35,15100
2017-02-22,3.35,3.35,3.15,3.2,3.2,3100
2017-02-23,3.3,3.3,2.98,3.0,3.0,57100
2017-02-24,3.0,3.15,2.9,2.9,2.9,27200
2017-02-27,3.0,3.0,2.9,3.0,3.0,3400
2017-02-28,3.0,3.0,2.95,2.95,2.95,10000
2017-03-01,2.95,3.1,2.95,3.0,3.0,14400
2017-03-02,2.95,3.15,2.95,3.15,3.15,17200
2017-03-03,3.05,3.15,3.05,3.15,3.15,1400
2017-03-06,3.1,3.1,3.0,3.05,3.05,14800
2017-03-07,3.0,3.15,2.95,2.95,2.95,19700
2017-03-08,2.95,3.05,2.9,2.95,2.95,23900
2017-03-09,2.91,3.0,2.9,2.98,2.98,2800
2017-03-10,2.95,3.0,2.9,2.95,2.95,11200
2017-03-13,2.95,3.1,2.95,3.05,3.05,18400
2017-03-14,3.0,3.1,2.9,2.9,2.9,8200
2017-03-15,2.95,3.1,2.9,3.0,3.0,13500
2017-03-16,3.1,3.1,3.0,3.0,3.0,7300
2017-03-17,3.0,3.1,3.0,3.0,3.0,4400
2017-03-20,3.0,3.24,3.0,3.1,3.1,11100
2017-03-21,3.2,3.35,3.05,3.2,3.2,85700
2017-03-22,3.3,3.3,3.05,3.15,3.15,17600
2017-03-23,3.1,3.15,3.1,3.15,3.15,6800
2017-03-24,3.15,3.15,3.1,3.15,3.15,41400
2017-03-27,3.15,3.2,3.1,3.1,3.1,7200
2017-03-28,3.1,3.2,3.1,3.15,3.15,2800
2017-03-29,3.1,3.14,3.1,3.1,3.1,1600
2017-03-30,3.15,3.18,3.05,3.1,3.1,13800
2017-03-31,3.15,3.2,3.15,3.15,3.15,4500
2017-04-03,3.1,3.13,3.0,3.0,3.0,20900
2017-04-04,3.0,3.1,2.95,2.95,2.95,13100
2017-04-05,3.05,3.1,3.05,3.05,3.05,13600
2017-04-06,3.1,3.15,3.05,3.08,3.08,8600
2017-04-07,3.15,3.15,3.0,3.0,3.0,15700
2017-04-10,3.05,3.1,3.05,3.1,3.1,11600
2017-04-11,3.15,3.2,3.1,3.1,3.1,9000
2017-04-12,3.25,3.25,3.15,3.25,3.25,1700
2017-04-13,3.2,3.6,3.2,3.6,3.6,27600
2017-04-17,3.6,3.8,3.6,3.73,3.73,11000
2017-04-18,3.7,3.85,3.7,3.75,3.75,15500
2017-04-19,3.78,3.78,3.7,3.7,3.7,9700
2017-04-20,3.7,3.7,3.6,3.6,3.6,10300
2017-04-21,3.67,3.67,3.2,3.2,3.2,22500
2017-04-24,3.2,3.4,3.1,3.1,3.1,18500
2017-04-25,3.21,3.35,3.2,3.25,3.25,6500
2017-04-26,3.2,3.35,3.15,3.15,3.15,20300
2017-04-27,3.2,3.85,3.2,3.45,3.45,34300
2017-04-28,3.5,3.6,3.5,3.6,3.6,2300
2017-05-01,3.5,3.55,3.5,3.55,3.55,1000
2017-05-02,3.6,3.6,3.15,3.3,3.3,36800
2017-05-03,3.3,3.35,3.25,3.28,3.28,14300
2017-05-04,3.25,3.27,3.25,3.25,3.25,2200
2017-05-05,3.25,3.3,3.25,3.28,3.28,4300
2017-05-08,3.3,3.3,3.25,3.25,3.25,11900
2017-05-09,3.25,3.36,3.2,3.2,3.2,46200
2017-05-10,3.38,3.7,3.38,3.7,3.7,44200
2017-05-11,3.7,3.7,3.55,3.55,3.55,17600
2017-05-12,3.6,3.6,3.55,3.6,3.6,22800
2017-05-15,3.53,3.53,3.4,3.5,3.5,62700
2017-05-16,3.52,3.65,3.45,3.6,3.6,8900
2017-05-17,3.7,3.7,3.55,3.56,3.56,4400
2017-05-18,3.5,3.51,3.45,3.48,3.48,23500
2017-05-19,3.5,3.65,3.5,3.65,3.65,14300
2017-05-22,3.6,3.7,3.6,3.7,3.7,5900
2017-05-23,3.7,3.78,3.65,3.78,3.78,21400
2017-05-24,3.8,3.8,3.4,3.4,3.4,36300
2017-05-25,3.41,3.45,3.4,3.45,3.45,12200
2017-05-26,3.5,3.7,3.48,3.65,3.65,9100
2017-05-30,3.7,3.7,3.4,3.4,3.4,24400
2017-05-31,3.5,3.5,3.45,3.5,3.5,22700
2017-06-01,3.55,3.7,3.5,3.5,3.5,3000
2017-06-02,3.61,3.61,3.55,3.55,3.55,700
2017-06-05,3.6,3.6,3.55,3.56,3.56,8400
2017-06-06,3.55,3.6,3.45,3.6,3.6,13500
2017-06-07,3.6,3.65,3.45,3.51,3.51,7500
2017-06-08,3.6,3.6,3.5,3.6,3.6,300
2017-06-09,3.55,3.6,3.45,3.45,3.45,18400
2017-06-12,3.55,3.55,3.4,3.4,3.4,15600
2017-06-13,3.46,3.55,3.46,3.55,3.55,4600
2017-06-14,3.54,3.55,3.54,3.55,3.55,3000
2017-06-15,3.5,3.65,3.45,3.65,3.65,900
2017-06-16,3.6,3.65,3.4,3.5,3.5,9900
2017-06-19,3.55,3.65,3.55,3.65,3.65,5600
2017-06-20,3.65,3.7,3.55,3.6,3.6,10600
2017-06-21,3.65,3.65,3.55,3.55,3.55,13000
2017-06-22,3.6,3.75,3.6,3.75,3.75,3800
2017-06-23,3.7,3.75,3.65,3.75,3.75,31000
2017-06-26,3.75,3.75,3.5,3.5,3.5,19200
2017-06-27,3.5,3.65,3.5,3.65,3.65,2100
2017-06-28,3.6,3.7,3.5,3.5,3.5,2600
2017-06-29,3.55,3.7,3.55,3.7,3.7,6300
2017-06-30,3.6,3.7,3.6,3.65,3.65,800
2017-07-03,3.7,3.7,3.55,3.65,3.65,2000
2017-07-05,3.55,3.65,3.35,3.4,3.4,48400
2017-07-06,3.55,3.55,3.4,3.45,3.45,24200
2017-07-07,3.4,3.5,3.4,3.5,3.5,1000
2017-07-10,3.4,3.45,3.4,3.45,3.45,300
2017-07-11,3.5,3.5,3.25,3.25,3.25,13300
2017-07-12,3.35,3.45,3.35,3.45,3.45,4500
2017-07-13,3.55,3.55,3.45,3.55,3.55,1400
2017-07-14,3.55,3.55,3.5,3.5,3.5,500
2017-07-17,3.5,3.6,3.5,3.55,3.55,7400
2017-07-18,3.65,3.65,3.65,3.65,3.65,100
2017-07-19,3.54,3.58,3.4,3.55,3.55,35100
2017-07-20,3.6,3.6,3.6,3.6,3.6,500
2017-07-21,3.45,3.65,3.45,3.6,3.6,6000
2017-07-24,3.6,3.65,3.5,3.5,3.5,1300
2017-07-25,3.65,3.65,3.35,3.4,3.4,64100
2017-07-26,3.45,3.55,3.45,3.55,3.55,3900
2017-07-27,3.5,3.65,3.5,3.65,3.65,5000
2017-07-28,3.63,3.7,3.63,3.65,3.65,9400
2017-07-31,3.55,3.65,3.55,3.65,3.65,2100
2017-08-01,3.7,3.75,3.7,3.75,3.75,4300
2017-08-02,3.8,3.86,3.75,3.8,3.8,21400
2017-08-03,3.76,4.05,3.76,4.05,4.05,41500
2017-08-04,4.08,4.08,3.81,3.95,3.95,10000
2017-08-07,4.0,4.05,3.75,3.8,3.8,11800
2017-08-08,3.9,3.9,3.75,3.75,3.75,2800
2017-08-09,3.65,3.65,3.25,3.25,3.25,27400
2017-08-10,3.35,3.45,3.35,3.45,3.45,22100
2017-08-11,3.4,3.5,3.35,3.45,3.45,2600
2017-08-14,3.4,3.5,3.4,3.45,3.45,12600
2017-08-15,3.45,3.45,3.35,3.4,3.4,13500
2017-08-16,3.4,3.45,3.4,3.4,3.4,7700
2017-08-17,3.35,3.45,3.35,3.45,3.45,13500
2017-08-18,3.26,3.4,3.26,3.4,3.4,700
2017-08-21,3.45,3.45,3.4,3.45,3.45,1200
2017-08-22,3.4,3.45,3.3,3.45,3.45,12600
2017-08-23,3.45,3.5,3.4,3.5,3.5,3600
2017-08-24,3.5,3.6,3.45,3.6,3.6,63600
2017-08-25,3.5,3.6,3.5,3.6,3.6,7200
2017-08-28,3.55,3.55,3.45,3.45,3.45,29300
2017-08-29,3.45,3.5,3.3,3.45,3.45,28300
2017-08-30,3.5,3.55,3.45,3.55,3.55,108700
2017-08-31,3.55,3.55,3.4,3.55,3.55,21800
