Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.29,7.82,7.29,7.8,7.8,644100
2017-01-04,7.83,8.05,7.79,7.97,7.97,457100
2017-01-05,8.0,8.05,7.68,7.89,7.89,267500
2017-01-06,7.92,7.92,7.76,7.78,7.78,167000
2017-01-09,7.82,8.63,7.77,8.26,8.26,790200
2017-01-10,8.3,8.57,7.88,8.25,8.25,388400
2017-01-11,8.25,8.34,7.71,7.91,7.91,590500
2017-01-12,7.93,7.99,7.52,7.85,7.85,467600
2017-01-13,7.83,8.14,7.83,8.02,8.02,261300
2017-01-17,8.25,8.3,7.73,7.74,7.74,339000
2017-01-18,7.75,7.8,7.62,7.79,7.79,235700
2017-01-19,7.77,7.83,7.44,7.54,7.54,294600
2017-01-20,7.5,7.76,7.5,7.62,7.62,154000
2017-01-23,7.62,7.74,7.51,7.61,7.61,116000
2017-01-24,7.63,7.67,7.35,7.61,7.61,223800
2017-01-25,7.86,8.12,7.71,7.92,7.92,467800
2017-01-26,7.91,8.08,7.75,7.82,7.82,215200
2017-01-27,7.86,7.96,7.63,7.88,7.88,216700
2017-01-30,7.8,7.81,7.56,7.57,7.57,213500
2017-01-31,7.55,8.03,7.41,7.99,7.99,351500
2017-02-01,8.06,8.08,7.89,8.0,8.0,321500
2017-02-02,8.0,8.04,7.85,7.9,7.9,227300
2017-02-03,7.98,8.04,7.85,8.03,8.03,245100
2017-02-06,7.23,7.24,6.34,6.59,6.59,3626800
2017-02-07,6.58,6.59,6.06,6.14,6.14,2055400
2017-02-08,6.15,6.43,6.04,6.33,6.33,1232500
2017-02-09,6.35,6.47,6.16,6.27,6.27,656100
2017-02-10,6.26,6.74,6.25,6.6,6.6,984400
2017-02-13,6.65,6.72,6.27,6.36,6.36,736500
2017-02-14,6.4,6.56,6.27,6.54,6.54,481800
2017-02-15,6.55,6.55,6.36,6.5,6.5,546600
2017-02-16,6.49,6.53,6.27,6.45,6.45,409400
2017-02-17,6.43,6.52,6.27,6.34,6.34,399600
2017-02-21,6.57,6.6,6.31,6.53,6.53,658700
2017-02-22,6.52,6.55,6.42,6.5,6.5,318100
2017-02-23,6.54,6.59,6.41,6.59,6.59,353700
2017-02-24,6.52,6.6,6.47,6.55,6.55,263400
2017-02-27,6.55,6.9,6.52,6.85,6.85,588300
2017-02-28,6.82,6.89,6.59,6.61,6.61,335000
2017-03-01,6.73,6.84,6.65,6.78,6.78,334900
2017-03-02,6.76,7.2,6.67,6.9,6.9,568800
2017-03-03,6.9,7.1,6.75,6.86,6.86,311800
2017-03-06,6.78,7.02,6.58,6.69,6.69,589200
2017-03-07,6.6,6.67,6.5,6.51,6.51,313300
2017-03-08,6.53,6.74,6.47,6.51,6.51,299400
2017-03-09,6.53,6.89,6.53,6.78,6.78,398400
2017-03-10,6.85,6.89,6.67,6.82,6.82,296000
2017-03-13,6.82,7.05,6.82,6.95,6.95,400800
2017-03-14,6.39,6.41,5.22,5.32,5.32,3355500
2017-03-15,5.4,5.63,5.31,5.41,5.41,1346500
2017-03-16,5.4,5.43,5.26,5.38,5.38,737700
2017-03-17,5.35,5.35,5.13,5.24,5.24,788400
2017-03-20,5.24,5.37,5.16,5.32,5.32,350900
2017-03-21,5.33,5.35,5.07,5.07,5.07,470500
2017-03-22,5.1,5.23,4.99,5.21,5.21,396000
2017-03-23,5.25,5.3,5.13,5.14,5.14,355900
2017-03-24,5.14,5.22,4.99,5.05,5.05,509600
2017-03-27,5.0,5.17,4.97,5.1,5.1,309800
2017-03-28,5.07,5.19,5.01,5.17,5.17,391300
2017-03-29,5.17,5.38,5.1,5.31,5.31,419000
2017-03-30,5.32,5.33,5.22,5.32,5.32,343000
2017-03-31,5.3,5.4,5.21,5.3,5.3,384200
2017-04-03,5.31,5.34,5.12,5.19,5.19,270900
2017-04-04,5.18,5.31,5.17,5.22,5.22,301300
2017-04-05,5.23,5.29,5.09,5.15,5.15,325000
2017-04-06,5.17,5.24,5.02,5.22,5.22,319500
2017-04-07,5.19,5.42,5.19,5.39,5.39,325000
2017-04-10,5.4,5.64,5.27,5.27,5.27,421100
2017-04-11,5.28,5.43,5.25,5.36,5.36,239800
2017-04-12,5.35,5.41,5.26,5.33,5.33,232300
2017-04-13,5.3,5.64,5.3,5.56,5.56,399100
2017-04-17,5.59,5.7,5.47,5.55,5.55,296600
2017-04-18,5.51,5.67,5.43,5.66,5.66,274300
2017-04-19,5.66,5.98,5.62,5.8,5.8,565300
2017-04-20,5.88,5.94,5.75,5.87,5.87,297600
2017-04-21,5.87,6.3,5.87,6.16,6.16,443900
2017-04-24,6.25,6.31,6.08,6.11,6.11,388600
2017-04-25,6.14,6.27,6.02,6.04,6.04,425100
2017-04-26,6.2,6.6,6.12,6.4,6.4,675900
2017-04-27,6.4,6.5,6.18,6.3,6.3,386900
2017-04-28,6.3,6.37,6.18,6.2,6.2,212000
2017-05-01,6.21,6.32,6.04,6.27,6.27,221100
2017-05-02,6.26,6.5,6.22,6.35,6.35,311500
