Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,18.280001000000002,18.280001000000002,17.59,17.790001,17.790001,21200
2017-01-04,17.959999,17.959999,17.209999,17.860001,17.860001,23300
2017-01-05,17.790001,18.200001,17.5,17.83,17.83,38900
2017-01-06,17.969998999999998,18.049999,17.42,17.9,17.9,29200
2017-01-09,17.75,17.75,17.17,17.33,17.33,19400
2017-01-10,17.32,17.799999,17.32,17.700001,17.700001,27300
2017-01-11,17.790001,17.9,17.6,17.68,17.68,10700
2017-01-12,17.620001000000002,17.629998999999998,17.559998999999998,17.6,17.6,23000
2017-01-13,17.67,17.9,17.559998999999998,17.6,17.6,13800
2017-01-17,17.629998999999998,17.68,17.52,17.629998999999998,17.629998999999998,25700
2017-01-18,17.67,18.0,16.84,16.940001000000002,16.940001000000002,24000
2017-01-19,17.059998999999998,17.34,15.84,15.97,15.97,34800
2017-01-20,16.139999,16.469998999999998,15.75,16.049999,16.049999,46800
2017-01-23,16.040001,16.530001000000002,15.8,16.280001000000002,16.280001000000002,40500
2017-01-24,16.49,16.49,16.0,16.02,16.02,27000
2017-01-25,16.299999,16.309998999999998,15.91,16.049999,16.049999,20500
2017-01-26,16.049999,16.4,15.81,16.129998999999998,16.129998999999998,31300
2017-01-27,16.01,16.49,15.96,16.01,16.01,17800
2017-01-30,15.93,16.0,15.52,15.88,15.88,38400
2017-01-31,15.79,15.89,15.31,15.85,15.85,35100
2017-02-01,15.75,15.97,15.73,15.78,15.78,13600
2017-02-02,15.72,15.93,15.45,15.83,15.83,28000
2017-02-03,15.89,16.58,15.8,16.5,16.5,36700
2017-02-06,16.530001000000002,16.530001000000002,15.88,16.07,16.07,19600
2017-02-07,16.18,16.200001,15.61,15.67,15.67,27600
2017-02-08,15.54,15.81,15.48,15.76,15.76,63800
2017-02-09,15.74,16.059998999999998,15.74,15.84,15.84,40400
2017-02-10,16.209999,16.42,15.95,16.030001000000002,16.030001000000002,24500
2017-02-13,16.110001,16.84,15.9,15.98,15.98,11200
2017-02-14,16.0,16.08,15.79,15.89,15.89,18900
2017-02-15,15.75,16.1,15.68,16.02,16.02,50600
2017-02-16,15.97,16.110001,15.81,15.91,15.91,24400
2017-02-17,15.95,16.25,15.81,15.96,15.96,20000
2017-02-21,16.07,16.15,15.9,15.96,15.96,7200
2017-02-22,16.42,16.42,15.72,15.79,15.79,39000
2017-02-23,15.8,16.1,15.5,16.02,16.02,31200
2017-02-24,15.88,15.95,15.55,15.6,15.6,28000
2017-02-27,15.4,15.74,15.08,15.21,15.21,30400
2017-02-28,15.29,15.29,14.37,14.49,14.49,239600
2017-03-01,14.6,14.88,14.33,14.47,14.47,51800
2017-03-02,14.47,14.65,13.89,13.95,13.95,36400
2017-03-03,13.95,14.34,13.88,13.98,13.98,49200
2017-03-06,13.81,14.24,13.7,14.16,14.16,39900
2017-03-07,13.97,14.52,13.97,14.27,14.27,49600
2017-03-08,14.3,14.55,14.05,14.1,14.1,30500
2017-03-09,14.12,14.16,13.8,14.02,14.02,28500
2017-03-10,13.99,14.53,13.6,13.98,13.98,67300
2017-03-13,13.85,14.49,13.59,13.75,13.75,84200
2017-03-14,13.93,14.0,12.24,12.45,12.45,158700
2017-03-15,12.49,13.09,12.22,12.97,12.97,68100
2017-03-16,13.03,13.04,12.65,12.78,12.78,33100
2017-03-17,12.66,12.99,12.46,12.73,12.73,49900
2017-03-20,13.0,13.0,12.49,12.73,12.73,29800
2017-03-21,12.87,12.87,12.6,12.63,12.63,47900
2017-03-22,12.6,12.6,12.24,12.32,12.32,53500
