Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.49,14.56,14.47,14.55,14.180895000000001,362200
2017-01-04,14.61,14.72,14.6,14.72,14.346582000000001,261600
2017-01-05,14.81,14.84,14.74,14.82,14.444045000000001,356800
2017-01-06,14.82,14.82,14.71,14.72,14.346582000000001,271400
2017-01-09,14.7,14.73,14.63,14.72,14.346582000000001,195500
2017-01-10,14.77,14.8,14.71,14.75,14.375820999999998,205800
2017-01-11,14.76,14.9,14.71,14.87,14.492778,167700
2017-01-12,14.95,14.95,14.82,14.92,14.54151,197700
2017-01-13,14.97,14.99,14.89,14.98,14.599986,179400
2017-01-17,15.05,15.05,14.96,14.98,14.599986,532800
2017-01-18,14.83,14.87,14.7,14.71,14.336835999999998,289800
2017-01-19,14.77,14.77,14.63,14.68,14.307595999999998,232500
2017-01-20,14.81,14.81,14.68,14.74,14.366075,206600
2017-01-23,14.79,14.79,14.68,14.74,14.366075,606000
2017-01-24,14.82,14.9,14.73,14.88,14.502523000000002,280200
2017-01-25,14.94,14.96,14.91,14.95,14.570748000000002,257000
2017-01-26,14.96,14.97,14.9,14.93,14.551255,209500
2017-01-27,15.03,15.03,14.9,14.93,14.551255,247100
2017-01-30,14.89,14.89,14.72,14.77,14.395314,317300
2017-01-31,14.8,14.85,14.73,14.81,14.434299,224500
2017-02-01,14.86,14.86,14.68,14.75,14.375820999999998,273900
2017-02-02,14.76,14.76,14.62,14.65,14.278357999999999,307100
2017-02-03,14.75,14.78,14.67,14.77,14.395314,206100
2017-02-06,14.7,14.71,14.62,14.65,14.278357999999999,221700
2017-02-07,14.66,14.66,14.58,14.6,14.229626999999999,263300
2017-02-08,14.63,14.63,14.53,14.61,14.239372,252400
2017-02-09,14.68,14.74,14.68,14.73,14.356326999999999,281200
2017-02-10,14.8,14.82,14.75,14.81,14.434299,182500
2017-02-13,14.9,14.9,14.83,14.88,14.502523000000002,176100
2017-02-14,14.91,14.94,14.82,14.94,14.561001999999998,217100
2017-02-15,14.97,15.02,14.9,15.02,14.638972,181900
2017-02-16,15.06,15.07,14.98,15.0,14.61948,201900
2017-02-17,14.99,14.99,14.88,14.98,14.599986,176000
2017-02-21,15.02,15.08,14.97,15.06,14.677957999999999,234000
2017-02-22,15.1,15.1,15.01,15.07,14.687702999999999,322500
2017-02-23,15.15,15.19,15.04,15.05,14.668211999999999,209900
2017-02-24,15.01,15.01,14.88,14.91,14.531763,166000
2017-02-27,14.94,14.94,14.87,14.93,14.551255,194100
2017-02-28,14.98,14.98,14.8,14.82,14.444045000000001,187800
2017-03-01,14.94,14.94,14.86,14.91,14.531763,252700
2017-03-02,14.92,14.92,14.8,14.81,14.434299,250600
2017-03-03,14.85,14.88,14.77,14.88,14.502523000000002,185700
2017-03-06,14.85,14.85,14.75,14.82,14.444045000000001,153500
2017-03-07,14.82,14.82,14.71,14.71,14.336835999999998,151600
2017-03-08,14.7,14.71,14.55,14.55,14.180895000000001,258300
2017-03-09,14.6,14.62,14.54,14.59,14.219879999999998,226500
