Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.2,1.23,1.19,1.21,1.21,2075600
2017-01-04,1.21,1.3,1.2,1.3,1.3,2930500
2017-01-05,1.3,1.32,1.26,1.26,1.26,3506400
2017-01-06,1.28,1.29,1.25,1.25,1.25,1861100
2017-01-09,1.26,1.27,1.22,1.25,1.25,1378700
2017-01-10,1.25,1.26,1.22,1.24,1.24,2251800
2017-01-11,1.24,1.28,1.23,1.26,1.26,2079400
2017-01-12,1.26,1.26,1.22,1.23,1.23,2319400
2017-01-13,1.22,1.25,1.22,1.25,1.25,997000
2017-01-17,1.24,1.25,1.22,1.25,1.25,2503500
2017-01-18,1.23,1.26,1.22,1.23,1.23,2268800
2017-01-19,1.22,1.24,1.18,1.18,1.18,3565500
2017-01-20,1.19,1.2,1.18,1.18,1.18,1242200
2017-01-23,1.18,1.19,1.1,1.14,1.14,3360900
2017-01-24,1.16,1.2,1.14,1.16,1.16,7151600
2017-01-25,1.16,1.19,1.11,1.13,1.13,4805500
2017-01-26,1.13,1.15,1.12,1.13,1.13,3225500
2017-01-27,1.13,1.14,1.11,1.12,1.12,2416100
2017-01-30,1.11,1.13,1.03,1.06,1.06,5323900
2017-01-31,1.06,1.09,1.02,1.06,1.06,8780300
2017-02-01,1.06,1.07,1.0,1.02,1.02,11647300
2017-02-02,1.01,1.02,0.91,0.92,0.92,5960000
2017-02-03,0.95,0.95,0.93,0.94,0.94,2321900
2017-02-06,0.94,0.95,0.93,0.93,0.93,2331100
2017-02-07,0.93,0.93,0.9,0.9,0.9,2213000
2017-02-08,0.91,0.92,0.86,0.88,0.88,3716500
2017-02-09,0.85,0.88,0.83,0.85,0.85,3922600
2017-02-10,0.85,1.23,0.84,1.18,1.18,24708600
2017-02-13,1.3,1.31,1.06,1.1,1.1,24623800
2017-02-14,1.1,1.17,1.03,1.11,1.11,13269300
2017-02-15,1.1,1.13,1.07,1.08,1.08,14201800
2017-02-16,1.08,1.17,1.06,1.14,1.14,14991300
2017-02-17,1.15,1.15,1.07,1.11,1.11,20562600
2017-02-21,1.12,1.2,1.1,1.16,1.16,16962100
2017-02-22,1.15,1.22,1.14,1.17,1.17,12617700
2017-02-23,1.2,1.26,1.17,1.2,1.2,18246800
2017-02-24,1.2,1.25,1.1,1.13,1.13,14348300
2017-02-27,1.12,1.13,1.05,1.1,1.1,12965400
2017-02-28,1.05,1.09,1.05,1.08,1.08,7328400
2017-03-01,1.09,1.1,1.05,1.07,1.07,7412600
2017-03-02,1.06,1.08,1.05,1.07,1.07,4941800
2017-03-03,1.05,1.08,1.05,1.07,1.07,2112000
2017-03-06,1.06,1.07,1.03,1.05,1.05,2847000
2017-03-07,1.06,1.07,1.04,1.07,1.07,3455900
2017-03-08,1.06,1.07,1.04,1.06,1.06,4102200
2017-03-09,1.0,1.0,0.92,0.95,0.95,4006200
2017-03-10,0.95,1.01,0.95,1.01,1.01,2090400
2017-03-13,1.01,1.01,0.98,1.0,1.0,1308800
2017-03-14,1.0,1.03,0.96,1.03,1.03,2660000
