Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.15,4.25,4.05,4.2,4.0776129999999995,250800
2017-01-04,4.25,4.55,4.25,4.5,4.3688709999999995,335800
2017-01-05,4.55,4.732,4.5,4.65,4.5145,292600
2017-01-06,4.75,4.75,4.5,4.65,4.5145,372500
2017-01-09,4.6,4.75,4.45,4.6,4.465957,150600
2017-01-10,4.6,4.7,4.5,4.65,4.5145,162500
2017-01-11,4.7,4.7,4.4,4.55,4.417415,91400
2017-01-12,4.5,4.593,4.35,4.35,4.223242,103900
2017-01-13,4.4,4.4,4.25,4.35,4.223242,110800
2017-01-17,4.3,4.55,4.25,4.4,4.2717849999999995,142200
2017-01-18,4.35,4.4,4.214,4.25,4.126156,176600
2017-01-19,4.3,4.3,4.225,4.25,4.126156,100600
2017-01-20,4.35,4.65,4.347,4.6,4.465957,246400
2017-01-23,4.65,4.75,4.4,4.45,4.320328,660500
2017-01-24,4.5,4.6,4.4,4.6,4.465957,234800
2017-01-25,4.65,4.7,4.55,4.6,4.465957,198100
2017-01-26,4.6,4.8,4.6,4.8,4.6601300000000005,286200
2017-01-27,4.8,4.85,4.55,4.65,4.5145,140800
2017-01-30,4.65,4.75,4.558,4.7,4.563043,112700
2017-01-31,4.75,4.75,4.45,4.55,4.417415,132500
2017-02-01,4.6,4.8,4.55,4.75,4.611587,184100
2017-02-02,4.75,4.8,4.65,4.75,4.611587,118200
2017-02-03,4.8,4.8,4.75,4.8,4.6601300000000005,54700
2017-02-06,4.8,5.05,4.8,5.0,4.854301,127500
2017-02-07,5.0,5.0,4.55,4.65,4.5145,169200
2017-02-08,4.6,4.8,4.5,4.7,4.563043,134800
2017-02-09,4.75,5.1,4.7,5.05,4.902844,121200
2017-02-10,5.05,5.1,4.95,5.0,4.854301,68000
2017-02-13,5.0,5.0,4.55,4.6,4.465957,122500
2017-02-14,4.6,4.675,4.55,4.6,4.465957,75000
2017-02-15,4.6,4.85,4.564,4.85,4.708672,137600
2017-02-16,4.9,4.9,4.8,4.85,4.708672,394400
2017-02-17,4.9,4.9,4.8,4.9,4.757215,236800
2017-02-21,4.95,4.95,4.7,4.8,4.6601300000000005,108500
2017-02-22,4.8,4.85,4.45,4.5,4.3688709999999995,156900
2017-02-23,4.55,4.55,4.3,4.5,4.3688709999999995,49300
2017-02-24,4.55,4.55,4.35,4.4,4.2717849999999995,182900
2017-02-27,4.45,4.489,4.35,4.4,4.2717849999999995,58400
2017-02-28,4.4,4.55,4.3,4.5,4.3688709999999995,263800
2017-03-01,4.5,4.55,4.4,4.4,4.2717849999999995,123900
2017-03-02,4.85,5.05,4.65,4.7,4.563043,717500
2017-03-03,4.75,4.8,4.7,4.75,4.611587,156800
2017-03-06,4.75,4.75,4.4,4.5,4.3688709999999995,282200
2017-03-07,4.5,4.5,4.35,4.45,4.320328,66300
2017-03-08,4.4,4.5,4.2,4.4,4.2717849999999995,294200
2017-03-09,4.4,4.45,4.35,4.4,4.2717849999999995,74600
2017-03-10,4.45,4.5,4.3,4.45,4.320328,153600
2017-03-13,4.45,4.55,4.3,4.35,4.223242,134600
2017-03-14,4.4,4.4,4.2,4.25,4.126156,230700
2017-03-15,4.25,4.55,4.25,4.5,4.415625,267300
2017-03-16,4.45,4.525,4.4,4.5,4.415625,272300
2017-03-17,4.45,4.55,4.325,4.45,4.366562,422800
2017-03-20,4.45,4.45,4.3,4.3,4.219375,95500
2017-03-21,4.35,4.4,4.3,4.3,4.219375,176200
2017-03-22,4.35,4.4,4.15,4.35,4.2684370000000005,267200
2017-03-23,4.4,4.45,4.3,4.4,4.3175,92300
2017-03-24,4.4,4.55,4.35,4.35,4.2684370000000005,136900
