Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.1,9.1,8.5,8.6,8.6,33400
2017-01-04,8.5,8.6,8.11,8.37,8.37,45500
2017-01-05,8.49,8.6,8.28,8.36,8.36,83400
2017-01-06,8.4,8.45,8.35,8.4,8.4,66400
2017-01-09,8.6,8.66,8.11,8.33,8.33,41700
2017-01-10,8.4,8.42,7.8,8.29,8.29,79800
2017-01-11,8.27,8.3,8.15,8.19,8.19,16900
2017-01-12,8.27,8.28,7.63,7.96,7.96,64600
2017-01-13,7.63,8.23,7.63,8.18,8.18,16200
2017-01-17,8.2,8.2,7.77,7.96,7.96,13000
2017-01-18,7.96,8.08,7.66,7.71,7.71,55200
2017-01-19,7.69,8.22,7.63,8.12,8.12,34800
2017-01-20,8.25,8.26,8.07,8.18,8.18,48900
2017-01-23,8.18,8.18,8.0,8.18,8.18,15300
2017-01-24,8.18,8.19,8.07,8.17,8.17,21900
2017-01-25,8.11,8.25,8.11,8.17,8.17,27400
2017-01-26,8.25,8.5,8.25,8.35,8.35,37000
2017-01-27,8.26,8.37,8.01,8.12,8.12,24400
2017-01-30,8.2,8.35,8.01,8.22,8.22,52100
2017-01-31,8.26,8.37,8.2,8.3,8.3,24500
2017-02-01,8.3,8.3,8.01,8.13,8.13,60400
2017-02-02,8.1,8.1,7.8,7.82,7.82,59600
2017-02-03,7.8,8.0,7.8,7.89,7.89,6200
2017-02-06,8.0,8.0,7.83,7.95,7.95,32000
2017-02-07,7.95,8.0,7.81,7.95,7.95,30600
2017-02-08,7.84,7.95,7.83,7.9,7.9,23700
2017-02-09,7.92,8.43,7.92,8.25,8.25,114800
2017-02-10,8.25,8.8,8.15,8.42,8.42,247400
2017-02-13,8.6,9.17,8.56,8.95,8.95,67300
2017-02-14,9.38,9.4,8.6,8.76,8.76,102400
2017-02-15,8.83,8.95,8.49,8.92,8.92,39100
2017-02-16,8.95,9.16,8.81,9.15,9.15,80300
2017-02-17,9.05,9.15,8.86,8.91,8.91,37100
2017-02-21,8.95,9.05,8.76,8.91,8.91,32000
2017-02-22,8.91,9.12,8.62,8.82,8.82,31500
2017-02-23,9.04,9.05,8.76,9.01,9.01,63600
