Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1.89,2.15,1.89,2.07,2.07,97000
2017-01-04,2.09,2.14,2.02,2.04,2.04,91500
2017-01-05,2.08,2.12,2.02,2.1,2.1,52600
2017-01-06,2.1,2.1,2.03,2.05,2.05,31500
2017-01-09,2.07,2.12,2.0,2.03,2.03,52700
2017-01-10,2.05,2.06,2.0,2.05,2.05,34000
2017-01-11,2.08,2.12,2.05,2.08,2.08,259000
2017-01-12,2.1,2.12,2.05,2.06,2.06,129300
2017-01-13,2.02,2.09,2.02,2.04,2.04,87800
2017-01-17,2.12,2.12,2.05,2.06,2.06,171900
2017-01-18,2.08,2.08,2.0,2.01,2.01,49900
2017-01-19,2.03,2.05,2.0,2.03,2.03,37400
2017-01-20,2.05,2.95,2.04,2.57,2.57,1133200
2017-01-23,2.27,2.5,2.18,2.31,2.31,305500
2017-01-24,2.33,2.43,2.27,2.39,2.39,117300
2017-01-25,2.39,2.4,2.27,2.33,2.33,78800
2017-01-26,2.35,2.38,2.2,2.29,2.29,156800
2017-01-27,2.35,2.35,2.23,2.28,2.28,69100
2017-01-30,2.3,2.3,2.18,2.24,2.24,59200
2017-01-31,2.25,2.29,2.19,2.21,2.21,55200
2017-02-01,2.2,2.23,2.2,2.21,2.21,85500
2017-02-02,2.2,2.22,2.0,2.12,2.12,168300
2017-02-03,2.14,2.37,2.1,2.19,2.19,194300
2017-02-06,2.2,2.21,2.03,2.11,2.11,61600
2017-02-07,2.1,2.13,2.06,2.09,2.09,66200
2017-02-08,2.1,2.12,2.01,2.07,2.07,84700
2017-02-09,2.07,2.19,2.03,2.15,2.15,201500
2017-02-10,2.17,2.33,2.16,2.19,2.19,87900
2017-02-13,2.19,2.33,2.15,2.23,2.23,367500
2017-02-14,2.22,2.22,2.15,2.19,2.19,96000
2017-02-15,2.18,2.43,2.15,2.31,2.31,875900
2017-02-16,2.34,2.34,2.15,2.24,2.24,275800
2017-02-17,2.22,2.23,2.17,2.2,2.2,168400
2017-02-21,2.2,2.22,2.07,2.11,2.11,204700
2017-02-22,2.13,2.18,2.03,2.05,2.05,103200
2017-02-23,2.08,2.08,2.03,2.07,2.07,204300
2017-02-24,2.07,2.25,1.99,2.13,2.13,1105200
2017-02-27,2.15,2.25,2.06,2.2,2.2,449100
2017-02-28,2.23,2.23,2.08,2.11,2.11,130200
2017-03-01,2.15,2.23,2.12,2.15,2.15,411900
2017-03-02,2.15,2.17,2.08,2.13,2.13,425900
2017-03-03,2.11,2.16,2.07,2.1,2.1,146400
2017-03-06,2.18,2.18,2.08,2.11,2.11,120400
2017-03-07,2.13,2.65,2.07,2.59,2.59,3850300
2017-03-08,3.71,3.8,2.72,2.81,2.81,16509200
2017-03-09,2.75,2.75,2.36,2.42,2.42,2042000
2017-03-10,2.52,2.95,2.42,2.64,2.64,2602900
2017-03-13,2.33,2.35,2.15,2.22,2.22,1084000
2017-03-14,2.21,2.21,1.88,2.04,2.04,1069300
2017-03-15,2.03,2.07,1.91,1.98,1.98,459700
2017-03-16,1.98,2.02,1.91,1.94,1.94,364000
2017-03-17,1.94,1.94,1.85,1.87,1.87,475700
2017-03-20,1.87,1.94,1.78,1.82,1.82,341900
2017-03-21,1.82,1.82,1.6,1.66,1.66,629600
