Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.94,3.16,2.94,2.97,2.97,27000
2017-01-04,2.99,3.08,2.97,3.0,3.0,14700
2017-01-05,3.06,3.08,2.98,3.02,3.02,9600
2017-01-06,3.08,3.08,3.01,3.01,3.01,7300
2017-01-09,3.09,3.16,3.07,3.07,3.07,5200
2017-01-10,3.18,3.18,3.03,3.14,3.14,23900
2017-01-11,3.18,3.2,3.04,3.16,3.16,64100
2017-01-12,3.13,3.2,3.13,3.19,3.19,1800
2017-01-13,3.2,3.72,3.17,3.47,3.47,105300
2017-01-17,3.65,3.66,3.31,3.4,3.4,17500
2017-01-18,3.34,3.55,3.34,3.46,3.46,2200
2017-01-19,3.41,3.52,3.36,3.41,3.41,29200
2017-01-20,3.39,3.49,3.38,3.49,3.49,12300
2017-01-23,3.61,3.61,3.39,3.43,3.43,58000
2017-01-24,3.45,3.55,3.39,3.41,3.41,12300
2017-01-25,3.4,3.53,3.39,3.42,3.42,12200
2017-01-26,3.45,3.45,3.41,3.41,3.41,7500
2017-01-27,3.45,3.49,3.36,3.44,3.44,33000
2017-01-30,3.39,3.39,3.39,3.39,3.39,100
2017-01-31,3.37,3.44,3.37,3.44,3.44,3900
2017-02-01,3.39,3.58,3.35,3.36,3.36,57400
2017-02-02,3.49,3.49,3.36,3.4,3.4,12900
2017-02-03,3.38,3.47,3.35,3.41,3.41,12100
2017-02-06,3.41,3.49,3.38,3.44,3.44,25300
2017-02-07,3.4,3.48,3.35,3.41,3.41,26000
2017-02-08,3.44,3.48,3.35,3.37,3.37,31300
2017-02-09,3.36,3.37,3.09,3.28,3.28,186900
2017-02-10,3.17,3.42,3.16,3.39,3.39,82000
2017-02-13,3.34,3.43,3.33,3.36,3.36,29500
2017-02-14,3.36,3.43,3.34,3.37,3.37,25200
2017-02-15,3.36,3.37,3.34,3.35,3.35,1000
2017-02-16,3.32,3.35,3.31,3.31,3.31,1700
2017-02-17,3.3,3.3,3.2,3.3,3.3,14000
2017-02-21,3.3,3.31,3.28,3.28,3.28,1200
2017-02-22,3.27,3.27,3.23,3.23,3.23,11100
2017-02-23,3.23,3.27,3.17,3.17,3.17,16100
2017-02-24,3.15,3.19,3.15,3.17,3.17,3000
2017-02-27,3.1,3.16,3.0,3.15,3.15,95300
2017-02-28,3.15,3.18,3.02,3.02,3.02,8600
2017-03-01,3.07,3.16,3.02,3.03,3.03,1300
2017-03-02,3.04,3.42,3.04,3.09,3.09,101700
2017-03-03,3.16,3.25,3.1,3.1,3.1,49500
2017-03-06,3.14,3.27,3.09,3.09,3.09,62900
2017-03-07,3.09,3.15,2.91,2.91,2.91,96500
2017-03-08,3.5,3.5,3.18,3.32,3.32,73300
2017-03-09,3.34,3.45,3.14,3.28,3.28,96800
2017-03-10,3.17,3.36,3.13,3.13,3.13,15400
2017-03-13,3.26,3.33,3.16,3.18,3.18,23900
2017-03-14,3.2,3.25,3.13,3.19,3.19,15600
2017-03-15,3.17,3.22,3.05,3.05,3.05,16800
2017-03-16,3.1,3.23,3.06,3.21,3.21,78700
2017-03-17,3.24,3.29,3.06,3.12,3.12,53900
2017-03-20,3.18,3.29,3.17,3.2,3.2,39200
2017-03-21,3.2,3.2,3.16,3.19,3.19,6200
2017-03-22,3.15,3.18,3.08,3.1,3.1,7600
2017-03-23,3.1,3.21,3.1,3.17,3.17,14900
2017-03-24,3.17,3.2,3.17,3.19,3.19,12300
2017-03-27,3.19,3.25,3.11,3.13,3.13,6800
2017-03-28,3.1,3.14,3.01,3.04,3.04,26900
2017-03-29,3.03,3.11,3.01,3.01,3.01,20700
2017-03-30,3.05,3.11,3.04,3.1,3.1,900
2017-03-31,3.06,3.06,3.0,3.02,3.02,21000
2017-04-03,3.02,3.1,2.95,2.95,2.95,36100
2017-04-04,2.96,2.96,2.88,2.88,2.88,13300
2017-04-05,3.0,3.11,2.85,2.88,2.88,70100
2017-04-06,2.87,2.97,2.81,2.84,2.84,21700
2017-04-07,2.88,3.08,2.82,2.89,2.89,65200
2017-04-10,2.83,3.09,2.83,2.98,2.98,43600
2017-04-11,3.02,3.02,2.86,2.9,2.9,9200
2017-04-12,2.91,3.04,2.8,2.85,2.85,112900
2017-04-13,2.83,2.89,2.78,2.89,2.89,61100
2017-04-17,2.9,2.91,2.75,2.89,2.89,141100
2017-04-18,2.91,2.92,2.82,2.86,2.86,83700
2017-04-19,2.94,2.94,2.85,2.85,2.85,61000
2017-04-20,2.85,2.91,2.81,2.84,2.84,50500
2017-04-21,2.9,2.98,2.83,2.83,2.83,67500
2017-04-24,2.93,2.93,2.83,2.84,2.84,28100
2017-04-25,2.9,2.9,2.84,2.85,2.85,25600
2017-04-26,2.88,2.97,2.83,2.83,2.83,158400
2017-04-27,2.85,2.92,2.83,2.84,2.84,132000
2017-04-28,2.81,2.9,2.81,2.85,2.85,35700
2017-05-01,2.87,2.89,2.84,2.84,2.84,78000
2017-05-02,2.85,2.89,2.81,2.83,2.83,52200
2017-05-03,2.8,2.8,2.45,2.56,2.56,358600
2017-05-04,2.6,2.67,2.55,2.59,2.59,25100
2017-05-05,2.58,2.81,2.55,2.78,2.78,59200
2017-05-08,2.72,2.77,2.68,2.77,2.77,35400
2017-05-09,2.76,2.77,2.68,2.68,2.68,9800
2017-05-10,2.8,2.8,2.6,2.74,2.74,13900
2017-05-11,2.76,2.76,2.6,2.68,2.68,36900
2017-05-12,2.6,2.67,2.6,2.61,2.61,17100
2017-05-15,2.61,2.71,2.52,2.67,2.67,51200
2017-05-16,2.63,2.67,2.55,2.55,2.55,60300
2017-05-17,2.63,2.63,2.5,2.53,2.53,15300
2017-05-18,2.52,2.64,2.5,2.61,2.61,31900
2017-05-19,2.64,2.65,2.55,2.65,2.65,14000
2017-05-22,2.64,2.64,2.55,2.62,2.62,7900
2017-05-23,2.56,2.65,2.56,2.6,2.6,8700
2017-05-24,2.54,2.6,2.54,2.58,2.58,1700
2017-05-25,2.58,2.58,2.54,2.54,2.54,14500
2017-05-26,2.55,2.64,2.54,2.64,2.64,41700
2017-05-30,2.55,2.56,2.48,2.48,2.48,42100
2017-05-31,2.48,2.69,2.48,2.55,2.55,94400
2017-06-01,2.54,2.55,2.49,2.51,2.51,29400
2017-06-02,2.5,2.58,2.48,2.51,2.51,19600
2017-06-05,2.49,2.6,2.48,2.51,2.51,11100
2017-06-06,2.5,2.64,2.47,2.48,2.48,5500
2017-06-07,2.56,2.64,2.51,2.6,2.6,50500
2017-06-08,2.6,2.67,2.5,2.52,2.52,30900
2017-06-09,2.56,2.56,2.51,2.52,2.52,20900
2017-06-12,2.52,2.61,2.48,2.53,2.53,22100
2017-06-13,2.5,2.59,2.47,2.54,2.54,17000
2017-06-14,2.49,2.55,2.45,2.45,2.45,21100
2017-06-15,2.45,2.62,2.45,2.45,2.45,101200
2017-06-16,2.45,2.6,2.45,2.51,2.51,40800
2017-06-19,2.58,2.6,2.53,2.55,2.55,27200
2017-06-20,2.54,2.64,2.53,2.53,2.53,23800
2017-06-21,2.57,2.6,2.52,2.58,2.58,7100
2017-06-22,2.58,2.58,2.51,2.52,2.52,4600
2017-06-23,2.51,2.6,2.51,2.51,2.51,27300
2017-06-26,2.57,2.59,2.5,2.52,2.52,12800
2017-06-27,2.55,2.55,2.4,2.43,2.43,99100
2017-06-28,2.49,2.6,2.41,2.51,2.51,35800
2017-06-29,2.51,2.64,2.51,2.59,2.59,16000
2017-06-30,2.59,2.68,2.44,2.48,2.48,84300
2017-07-03,2.56,2.59,2.51,2.52,2.52,4200
2017-07-05,2.42,2.61,2.42,2.46,2.46,60200
2017-07-06,2.47,2.53,2.41,2.41,2.41,15400
2017-07-07,2.41,2.55,2.36,2.42,2.42,26700
2017-07-10,2.43,2.48,2.36,2.46,2.46,15500
2017-07-11,2.39,2.48,2.36,2.37,2.37,18800
2017-07-12,2.37,2.48,2.35,2.41,2.41,12300
2017-07-13,2.46,2.46,2.35,2.35,2.35,7300
2017-07-14,2.47,2.47,2.35,2.35,2.35,16300
2017-07-17,2.39,2.49,2.27,2.4,2.4,72800
2017-07-18,2.28,2.47,2.28,2.41,2.41,11200
2017-07-19,2.43,2.5,2.43,2.46,2.46,21600
2017-07-20,2.43,2.45,2.43,2.45,2.45,19200
2017-07-21,2.43,2.45,2.33,2.43,2.43,107700
2017-07-24,2.39,2.45,2.23,2.26,2.26,57600
2017-07-25,2.29,2.36,2.26,2.27,2.27,27700
2017-07-26,2.29,2.35,2.25,2.3,2.3,37300
2017-07-27,2.29,2.3,2.26,2.26,2.26,15800
2017-07-28,1.96,2.01,1.8,1.89,1.89,99900
2017-07-31,1.94,1.94,1.75,1.84,1.84,46700
2017-08-01,1.83,1.83,1.75,1.8,1.8,37100
2017-08-02,1.79,1.8,1.75,1.75,1.75,20800
2017-08-03,1.75,1.89,1.75,1.76,1.76,100400
2017-08-04,1.8,1.88,1.77,1.8,1.8,90000
2017-08-07,1.83,1.88,1.8,1.8,1.8,15600
2017-08-08,1.82,1.85,1.81,1.82,1.82,41000
2017-08-09,1.83,1.88,1.83,1.85,1.85,50800
2017-08-10,1.84,1.88,1.82,1.83,1.83,51300
2017-08-11,1.83,1.93,1.8,1.84,1.84,53900
2017-08-14,1.87,1.99,1.86,1.9,1.9,52000
2017-08-15,1.88,1.98,1.85,1.98,1.98,58900
2017-08-16,1.98,1.99,1.9,1.96,1.96,10700
2017-08-17,1.95,2.04,1.92,2.04,2.04,29900
2017-08-18,2.04,2.04,1.96,1.96,1.96,9400
2017-08-21,2.0,2.05,1.94,1.97,1.97,15700
2017-08-22,2.05,2.14,1.94,2.02,2.02,49200
2017-08-23,2.0,2.15,1.99,2.13,2.13,29600
2017-08-24,2.05,2.19,2.0,2.11,2.11,79800
2017-08-25,2.12,2.2,2.05,2.2,2.2,23200
2017-08-28,2.2,2.22,2.1,2.11,2.11,12200
2017-08-29,2.1,2.15,2.1,2.11,2.11,3400
2017-08-30,2.1,2.12,2.05,2.07,2.07,19600
2017-08-31,2.06,2.15,2.06,2.12,2.12,14500
2017-09-01,2.11,2.2,2.1,2.16,2.16,19700
2017-09-05,2.11,2.17,2.03,2.16,2.16,50500
2017-09-06,2.09,2.18,2.09,2.18,2.18,21700
2017-09-07,2.18,2.19,2.07,2.19,2.19,11900
2017-09-08,2.13,2.24,2.12,2.21,2.21,9600
2017-09-11,2.2,2.24,2.19,2.19,2.19,4700
2017-09-12,2.19,2.22,2.18,2.2,2.2,8200
2017-09-13,2.2,2.22,2.19,2.2,2.2,9300
2017-09-14,2.2,2.23,2.19,2.19,2.19,5500
2017-09-15,2.19,2.26,2.19,2.26,2.26,29300
2017-09-18,2.2,2.3,2.19,2.24,2.24,8700
2017-09-19,2.25,2.25,2.19,2.2,2.2,6300
2017-09-20,2.19,2.2,2.07,2.11,2.11,34500
2017-09-21,2.11,2.11,2.08,2.08,2.08,1400
2017-09-22,2.05,2.05,1.99,2.02,2.02,12500
2017-09-25,1.99,2.01,1.9,1.9,1.9,25100
2017-09-26,1.91,2.01,1.85,1.87,1.87,26400
2017-09-27,1.95,1.98,1.87,1.87,1.87,8900
2017-09-28,1.97,1.97,1.85,1.88,1.88,1300
2017-09-29,1.8801,1.885,1.68,1.81,1.81,2951157
