Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.93,10.99,10.74,10.85,10.740157,139700
2017-01-04,10.87,10.98,10.79,10.98,10.868841,161500
2017-01-05,10.98,10.98,10.75,10.8,10.690664,129800
2017-01-06,10.76,10.83,10.75,10.76,10.651069999999999,81300
2017-01-09,10.75,10.77,10.57,10.57,10.462992,143200
2017-01-10,10.66,10.74,10.57,10.63,10.522386000000001,176600
2017-01-11,10.64,10.9,10.43,10.88,10.769855,160100
2017-01-12,10.84,10.84,10.55,10.78,10.670866,150200
2017-01-13,10.85,11.04,10.82,10.85,10.740157,210400
2017-01-17,10.85,10.85,10.53,10.59,10.48279,137700
2017-01-18,10.63,10.73,10.56,10.71,10.601575,424300
2017-01-19,10.74,10.76,10.59,10.73,10.621372000000001,125600
2017-01-20,10.7,10.91,10.7,10.86,10.750055999999999,129100
2017-01-23,10.9,11.01,10.84,10.99,10.878739999999999,241200
2017-01-24,11.0,11.44,10.95,11.24,11.126209,601000
2017-01-25,11.35,11.64,11.32,11.61,11.492463,621900
2017-01-26,11.61,11.9,11.54,11.65,11.532059,420200
2017-01-27,11.67,12.18,11.6,12.15,12.026997999999999,356000
2017-01-30,12.09,12.09,11.6,11.7,11.581553,182300
2017-01-31,11.71,11.86,11.62,11.7,11.581553,188900
2017-02-01,11.79,12.0,11.63,11.67,11.551855999999999,194100
2017-02-02,11.66,11.7,11.48,11.57,11.452867999999999,157500
2017-02-03,11.61,11.89,11.56,11.88,11.800527,171900
2017-02-06,11.84,11.98,11.73,11.79,11.711129,114300
2017-02-07,11.82,11.84,11.68,11.8,11.721063000000001,213900
2017-02-08,11.78,11.86,11.44,11.65,11.572065,141700
2017-02-09,11.65,11.85,11.65,11.81,11.730995,96400
2017-02-10,11.89,11.98,11.71,11.87,11.790593,98600
2017-02-13,11.98,12.0,11.82,11.91,11.830326,182700
2017-02-14,11.9,11.95,11.8,11.93,11.850192999999999,163500
2017-02-15,11.93,12.1,11.79,12.02,11.939591,235400
2017-02-16,12.02,12.15,11.81,12.1,12.019055,172500
2017-02-17,12.1,12.1,11.94,12.02,11.939591,112700
2017-02-21,12.1,12.1,11.97,12.1,12.019055,83400
2017-02-22,12.1,12.13,12.04,12.1,12.019055,58100
2017-02-23,12.15,12.15,11.86,12.07,11.989256,75800
2017-02-24,11.97,11.98,11.82,11.86,11.780661,117000
2017-02-27,11.8,12.0,11.8,11.97,11.889925,130500
2017-02-28,11.97,11.97,11.78,11.86,11.780661,127100
2017-03-01,11.98,12.37,11.97,12.16,12.078653,158200
2017-03-02,12.2,12.2,11.91,12.02,11.939591,114900
2017-03-03,12.02,12.21,11.95,12.11,12.028988,73500
2017-03-06,12.07,12.08,11.85,11.94,11.860125,72900
2017-03-07,11.93,12.05,11.84,11.87,11.790593,47700
2017-03-08,11.97,12.0,11.64,11.72,11.641597,118800
2017-03-09,11.72,11.91,11.65,11.66,11.581998,103400
