Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.38,11.72,11.3,11.64,11.459206,1317500
2017-01-04,11.72,11.98,11.72,11.76,11.577341,841900
2017-01-05,11.63,11.63,11.09,11.21,11.035884,1233700
2017-01-06,11.27,11.27,10.68,10.75,10.583029,1168600
2017-01-09,10.75,10.98,10.63,10.81,10.642097,781900
2017-01-10,10.77,11.16,10.77,10.84,10.671631,1729800
2017-01-11,10.82,10.82,10.47,10.69,10.52396,1157000
2017-01-12,10.52,10.74,10.42,10.57,10.405824,946100
2017-01-13,10.63,10.75,10.29,10.39,10.22862,763700
2017-01-17,10.44,10.79,10.04,10.05,9.893901,2104500
2017-01-18,10.08,10.24,9.72,10.19,10.031725999999999,1605500
2017-01-19,8.53,9.27,8.02,8.31,8.180927,10246700
2017-01-20,8.29,8.43,7.86,8.4,8.269528,5211100
2017-01-23,8.32,8.55,8.03,8.22,8.092325,2567300
2017-01-24,8.3,8.51,8.09,8.45,8.318752,2253800
2017-01-25,8.53,8.66,8.19,8.33,8.200617,1503600
2017-01-26,8.36,8.5,8.12,8.19,8.062791,1378300
2017-01-27,8.25,8.25,7.76,8.01,7.885586999999999,2410100
2017-01-30,8.51,8.95,8.25,8.55,8.4172,3566800
2017-01-31,8.48,9.01,8.35,8.96,8.820831,3044800
2017-02-01,9.0,9.17,8.75,8.94,8.801142,2779300
2017-02-02,8.92,9.02,8.57,8.69,8.555024000000001,2435900
2017-02-03,8.8,8.9,8.57,8.74,8.604248,1500100
2017-02-06,8.8,8.9,8.63,8.72,8.584558,1148500
2017-02-07,8.73,8.76,8.53,8.61,8.476267,1259600
2017-02-08,8.63,8.7,8.31,8.52,8.387666000000001,1586800
2017-02-09,8.58,8.77,8.54,8.6,8.466422999999999,3048100
2017-02-10,8.61,8.75,8.4,8.47,8.338442,3107000
2017-02-13,8.53,8.67,8.41,8.45,8.318752,1938100
2017-02-14,8.15,8.9,7.93,7.98,7.856053,7372700
2017-02-15,8.01,8.52,8.0,8.32,8.190772,4807700
2017-02-16,8.35,8.47,8.21,8.46,8.328597,1973000
2017-02-17,8.43,8.5,7.95,8.2,8.072636,4109900
2017-02-21,8.28,8.43,8.16,8.23,8.102169,1744200
2017-02-22,8.28,8.53,8.24,8.4,8.269528,1470800
2017-02-23,8.49,8.81,8.4,8.7,8.564869,2950000
2017-02-24,8.59,8.87,8.45,8.64,8.505802000000001,2405200
2017-02-27,8.65,8.77,8.51,8.7,8.564869,1260000
2017-02-28,8.69,8.72,8.42,8.67,8.535336000000001,1908900
2017-03-01,8.79,9.06,8.71,9.03,8.889744,2917100
2017-03-02,9.02,9.61,9.02,9.43,9.283531,2559000
2017-03-03,9.37,9.45,8.91,9.02,8.8799,1952000
2017-03-06,9.0,9.02,8.61,8.65,8.515646,1430700
2017-03-07,8.63,8.74,8.49,8.74,8.604248,1656900
2017-03-08,8.78,9.18,8.69,9.0,8.860209,1434300
2017-03-09,9.0,9.09,8.87,8.94,8.801142,1179400
2017-03-10,8.97,9.1,8.83,8.87,8.732229,892100
2017-03-13,8.9,9.04,8.73,9.02,8.8799,1587900
2017-03-14,9.04,9.26,8.84,9.19,9.047258,1551900
2017-03-15,9.21,9.41,9.03,9.4,9.253996,4395200
2017-03-16,9.42,9.62,9.23,9.38,9.234308,1806000
2017-03-17,9.35,9.47,9.24,9.33,9.185083,2328600
2017-03-20,9.35,9.35,8.85,8.88,8.742074,1217400
2017-03-21,8.92,8.92,8.5,8.59,8.456578,3270500
2017-03-22,8.55,8.76,8.47,8.71,8.574715,1961700
2017-03-23,8.7,8.93,8.62,8.74,8.604248,1134300
2017-03-24,8.84,8.99,8.81,8.88,8.742074,1481400
2017-03-27,8.83,9.19,8.77,9.07,8.929122,1339000
2017-03-28,9.07,9.16,9.0,9.1,8.958657,1006200
2017-03-29,9.09,9.32,9.08,9.2,9.057103,1249200
2017-03-30,9.13,9.41,9.13,9.3,9.235862,952300
2017-03-31,9.39,9.48,8.74,8.87,8.808827,3341000
2017-04-03,8.79,8.98,8.56,8.62,8.560552000000001,1510200
2017-04-04,8.64,9.46,8.52,9.28,9.216,5789100
2017-04-05,9.34,9.34,9.0,9.11,9.047172,2753000
2017-04-06,9.39,9.56,9.28,9.5,9.434483,2619300
2017-04-07,9.46,9.76,9.46,9.6,9.533793,1527000
2017-04-10,10.3,10.5,9.83,10.29,10.219033999999999,5056800
2017-04-11,10.29,10.66,10.23,10.48,10.407722999999999,2407100
2017-04-12,10.85,10.85,10.51,10.53,10.457379,2901800
2017-04-13,10.55,10.7,10.14,10.56,10.487173,2975100
2017-04-17,10.61,10.76,10.53,10.64,10.566621000000001,1628800
2017-04-18,10.55,10.86,10.53,10.81,10.735449000000001,1407400
2017-04-19,10.8,11.0,10.79,10.82,10.745378,1451100
2017-04-20,10.85,11.0,10.73,10.86,10.785103,1878800
2017-04-21,10.87,10.93,10.44,10.9,10.824827,1537200
2017-04-24,10.98,11.1,10.78,11.01,10.934069000000001,1658800
2017-04-25,11.1,11.33,10.85,10.86,10.785103,1556100
2017-04-26,10.85,11.28,10.85,11.07,10.993655,1680100
2017-04-27,11.02,11.09,10.88,10.98,10.904275,1130400
2017-04-28,11.06,11.08,10.64,10.69,10.616276,1597500
2017-05-01,10.68,10.82,10.38,10.67,10.596414,4591600
2017-05-02,11.17,12.56,11.17,11.86,11.778207,5063400
2017-05-03,11.92,11.93,11.6,11.66,11.579586,2095500
2017-05-04,11.69,11.8,11.6,11.67,11.589518,1728400
2017-05-05,11.67,11.83,11.53,11.76,11.678897000000001,1527000
2017-05-08,11.79,11.89,11.66,11.73,11.649103,1521900
2017-05-09,11.71,11.84,11.57,11.72,11.639173,1442100
2017-05-10,11.67,11.83,11.51,11.74,11.659034,2691700
2017-05-11,11.99,12.0,11.44,11.77,11.688827999999999,1743400
2017-05-12,11.71,11.71,11.48,11.59,11.510069,943000
2017-05-15,11.59,11.85,11.39,11.5,11.420689999999999,1572100
2017-05-16,11.54,11.59,11.29,11.4,11.321378999999999,1873000
2017-05-17,11.26,11.42,11.08,11.14,11.063172,1299200
2017-05-18,11.09,11.25,10.89,10.89,10.814897,1027400
2017-05-19,10.92,10.96,10.79,10.92,10.844689,703000
2017-05-22,10.95,11.05,10.89,11.04,10.963861999999999,865400
2017-05-23,11.04,11.09,10.81,10.84,10.765242,943700
2017-05-24,10.85,11.01,10.65,10.94,10.864552,1666100
2017-05-25,11.06,11.33,10.94,11.14,11.063172,1346400
2017-05-26,11.13,11.23,10.99,11.21,11.132689,655000
2017-05-30,11.14,11.3,10.98,11.2,11.122759,891000
2017-05-31,11.24,11.47,11.07,11.41,11.33131,1518800
2017-06-01,11.47,12.4,11.36,12.36,12.274758,1837000
2017-06-02,12.42,12.66,12.38,12.5,12.413793,1354200
2017-06-05,12.53,13.09,12.38,13.0,12.910345,1570700
2017-06-06,12.81,13.05,12.61,12.94,12.850759,1802500
2017-06-07,12.1,13.3,11.84,13.14,13.049379,5373100
2017-06-08,13.29,13.33,11.97,12.2,12.115862,2639700
2017-06-09,12.22,12.7,12.15,12.61,12.523033999999999,1908300
2017-06-12,12.67,13.25,12.6,12.93,12.840828,1989100
2017-06-13,12.92,12.92,12.46,12.56,12.47338,915200
2017-06-14,12.54,12.73,12.24,12.47,12.384,707500
2017-06-15,12.47,12.47,12.07,12.12,12.036413,877400
2017-06-16,12.01,12.03,11.63,11.91,11.827862,1888900
2017-06-19,11.87,11.89,11.53,11.72,11.639173,850100
2017-06-20,11.67,11.71,11.32,11.48,11.400827,921300
2017-06-21,11.49,11.67,11.18,11.26,11.182345,1240100
2017-06-22,11.26,11.46,11.15,11.33,11.251862,965900
2017-06-23,11.33,11.43,11.15,11.2,11.122759,1486400
2017-06-26,11.23,11.52,11.22,11.48,11.400827,781200
2017-06-27,11.43,11.81,11.43,11.57,11.490207,736100
2017-06-28,11.63,11.85,11.47,11.6,11.52,691700
2017-06-29,11.57,11.81,11.48,11.64,11.64,871600
2017-06-30,11.69,12.0,11.65,11.72,11.72,812100
2017-07-03,11.71,11.87,11.5,11.75,11.75,518000
2017-07-05,11.71,11.89,11.4,11.44,11.44,649200
2017-07-06,11.35,11.35,10.93,10.96,10.96,874900
2017-07-07,10.97,11.35,10.84,11.31,11.31,838300
2017-07-10,11.4,11.41,10.99,11.1,11.1,845900
2017-07-11,12.5,12.75,11.76,12.09,12.09,6561300
2017-07-12,12.22,12.5,11.97,12.36,12.36,2890900
2017-07-13,12.39,12.66,12.34,12.49,12.49,1988400
2017-07-14,12.51,12.63,12.36,12.45,12.45,1260500
2017-07-17,12.48,12.65,12.3,12.5,12.5,1908100
2017-07-18,12.4,12.56,12.21,12.38,12.38,1410800
2017-07-19,12.37,12.51,12.32,12.37,12.37,1623800
2017-07-20,12.42,13.0,12.2,12.58,12.58,2368600
2017-07-21,12.65,12.89,12.45,12.77,12.77,1214800
2017-07-24,12.73,12.75,12.34,12.37,12.37,1329400
2017-07-25,12.43,12.83,12.3,12.71,12.71,1734800
2017-07-26,12.67,12.85,12.51,12.78,12.78,1313800
2017-07-27,12.2,13.3,12.1,13.08,13.08,3283500
2017-07-28,12.96,13.43,12.9,13.2,13.2,2094300
2017-07-31,13.19,13.38,13.06,13.22,13.22,1253500
2017-08-01,13.33,13.71,13.25,13.6,13.6,1674800
2017-08-02,13.56,13.78,13.44,13.61,13.61,910400
2017-08-03,13.63,13.89,13.57,13.71,13.71,1108100
2017-08-04,13.76,13.78,13.54,13.65,13.65,1030000
2017-08-07,13.65,13.7,13.26,13.31,13.31,1597100
2017-08-08,13.3,13.6,13.26,13.44,13.44,770100
2017-08-09,13.37,13.45,13.11,13.36,13.36,821000
2017-08-10,13.29,13.46,12.93,12.96,12.96,954500
2017-08-11,13.03,13.21,12.8,13.17,13.17,750900
2017-08-14,13.23,13.43,13.13,13.28,13.28,494800
2017-08-15,13.26,13.26,12.94,13.0,13.0,762400
2017-08-16,13.04,13.21,12.81,13.05,13.05,476400
2017-08-17,13.1,13.1,12.29,12.37,12.37,2364600
2017-08-18,12.3,12.61,12.26,12.5,12.5,1595500
2017-08-21,12.5,12.53,12.25,12.31,12.31,973600
2017-08-22,12.4,12.47,12.15,12.3,12.3,856700
2017-08-23,12.21,12.31,12.08,12.19,12.19,649100
2017-08-24,12.34,12.48,12.28,12.31,12.31,477500
2017-08-25,12.32,12.4,12.13,12.29,12.29,818100
2017-08-28,12.29,12.6,12.29,12.48,12.48,699900
2017-08-29,12.34,12.49,12.24,12.31,12.31,666600
2017-08-30,12.29,12.29,12.0,12.15,12.15,947500
2017-08-31,12.16,12.42,12.02,12.1,12.1,753400
2017-09-01,12.13,12.24,12.05,12.17,12.17,514300
2017-09-05,12.13,12.19,11.77,12.11,12.11,1271500
2017-09-06,12.15,12.32,12.04,12.09,12.09,843500
2017-09-07,12.16,12.41,11.98,12.27,12.27,1029700
2017-09-08,12.27,12.46,12.06,12.4,12.4,922400
2017-09-11,12.45,12.55,12.16,12.2,12.2,446700
2017-09-12,12.24,12.58,12.18,12.46,12.46,719400
2017-09-13,12.49,12.8,12.46,12.72,12.72,928500
2017-09-14,12.73,12.73,12.49,12.57,12.57,743900
2017-09-15,12.59,12.69,12.44,12.54,12.54,1720400
2017-09-18,12.59,12.6,12.21,12.21,12.21,1010700
2017-09-19,12.21,12.29,12.03,12.16,12.16,953500
2017-09-20,12.17,12.17,11.12,11.15,11.15,3456300
2017-09-21,11.15,11.37,10.77,10.87,10.87,2221800
2017-09-22,10.74,10.92,10.66,10.8,10.8,1062300
2017-09-25,10.78,11.2,10.78,11.11,11.11,1505600
2017-09-26,11.09,11.33,11.02,11.18,11.18,774800
2017-09-27,11.19,11.46,11.06,11.42,11.42,938100
2017-09-28,11.36,11.61,11.36,11.53,11.53,899100
2017-09-29,11.59,11.76,11.47,11.48,11.48,1463101
