Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.55,11.65,11.46,11.65,11.354466,18100
2017-01-04,11.65,11.9,11.65,11.75,11.451931,45100
2017-01-05,11.8,11.9,11.75,11.75,11.451931,17800
2017-01-06,11.7,11.73,11.45,11.7,11.403199,20900
2017-01-09,11.65,11.77,11.65,11.7,11.403199,21100
2017-01-10,11.76,11.8,11.6,11.7,11.403199,26600
2017-01-11,11.65,11.65,11.5,11.56,11.266751,8500
2017-01-12,11.6,11.85,11.55,11.7,11.403199,27300
2017-01-13,11.85,11.95,11.85,11.9,11.598125,31900
2017-01-17,11.95,12.45,11.95,12.35,12.036711,16200
2017-01-18,12.5,12.5,12.2,12.2,11.890514999999999,13900
2017-01-19,12.3,12.3,12.2,12.3,11.987978,16900
2017-01-20,12.4,12.6,12.25,12.25,11.939247,8400
2017-01-23,12.4,12.4,12.29,12.35,12.036711,12200
2017-01-24,12.39,12.4,12.25,12.33,12.017217,6900
2017-01-25,12.35,12.5,12.35,12.5,12.182905,14100
2017-01-26,12.48,12.7,12.48,12.7,12.377831,13500
2017-01-27,12.8,12.8,12.4,12.4,12.085441000000001,7700
2017-01-30,12.55,12.6,12.45,12.5,12.182905,16600
2017-01-31,12.5,12.65,12.45,12.65,12.329101,10000
2017-02-01,12.6,12.8,12.49,12.5,12.182905,30300
2017-02-02,12.4,12.41,11.95,12.1,11.793052000000001,27900
2017-02-03,12.05,12.15,11.9,11.9,11.598125,25100
2017-02-06,12.0,12.0,11.44,11.55,11.257005,42000
2017-02-07,11.8,11.8,11.2,11.2,10.915882,24000
2017-02-08,11.35,11.35,11.05,11.2,10.915882,16100
2017-02-09,11.15,11.95,11.15,11.55,11.257005,93600
2017-02-10,11.63,11.85,11.55,11.7,11.403199,43700
2017-02-13,11.85,11.85,11.05,11.1,10.81842,35500
2017-02-14,11.2,11.3,11.15,11.2,10.915882,15900
2017-02-15,11.1,11.6,11.1,11.15,10.86715,33300
2017-02-16,11.46,11.55,11.05,11.05,10.769689,6600
2017-02-17,11.0,11.2,10.88,11.05,10.769689,30200
2017-02-21,11.05,11.45,11.05,11.35,11.062078,30200
2017-02-22,11.35,11.48,11.35,11.45,11.15954,18800
2017-02-23,11.35,11.5,11.35,11.45,11.15954,8800
2017-02-24,11.4,11.42,11.3,11.3,11.120177,10600
2017-02-27,11.3,11.4,11.3,11.35,11.169382,11500
2017-02-28,11.25,11.3,10.7,10.8,10.628134,30700
2017-03-01,10.87,10.89,10.65,10.8,10.628134,23300
2017-03-02,10.8,10.8,10.6,10.6,10.431316,29600
2017-03-03,10.6,11.35,10.5,10.5,10.332908,10300
2017-03-06,10.55,10.6,10.25,10.25,10.086886,24100
2017-03-07,10.35,10.8,10.3,10.5,10.332908,26900
2017-03-08,10.5,10.53,10.35,10.35,10.185296000000001,6300
2017-03-09,10.45,10.5,10.25,10.5,10.332908,53200
2017-03-10,10.8,10.9,10.55,10.8,10.628134,53200
2017-03-13,10.9,11.3,10.9,11.25,11.070972,19400
2017-03-14,11.25,11.3,10.95,11.15,10.972564,9800
2017-03-15,11.25,11.45,11.05,11.05,10.874156,16900
2017-03-16,11.15,11.4,10.8,11.0,10.824950999999999,10200
2017-03-17,11.0,11.15,10.83,10.9,10.726542,56100
2017-03-20,10.85,11.3,10.8,11.3,11.120177,42200
2017-03-21,11.35,11.55,10.8,11.1,10.923361,69500
2017-03-22,10.95,11.05,10.4,11.0,10.824950999999999,9900
2017-03-23,11.0,11.2,10.9,11.15,10.972564,5800
2017-03-24,11.12,11.45,11.08,11.1,10.923361,10200
2017-03-27,11.2,11.2,11.1,11.2,11.021769,8000
2017-03-28,11.25,11.35,11.2,11.25,11.070972,7100
2017-03-29,11.34,11.4,11.15,11.15,10.972564,7500
2017-03-30,11.25,11.4,11.1,11.15,10.972564,5700
2017-03-31,11.35,11.58,10.95,11.55,11.366199,58500
2017-04-03,11.55,11.6,11.33,11.5,11.316995,48600
2017-04-04,11.25,11.6,10.75,10.8,10.628134,22900
2017-04-05,10.85,11.1,10.75,11.05,10.874156,61100
2017-04-06,11.15,11.2,10.75,10.8,10.628134,62400
2017-04-07,10.8,11.0,10.7,10.8,10.628134,16400
2017-04-10,11.0,11.2,10.9,11.15,10.972564,23500
2017-04-11,11.1,11.3,11.1,11.2,11.021769,6200
2017-04-12,11.15,11.25,11.1,11.2,11.021769,9000
2017-04-13,11.04,11.1,11.0,11.05,10.874156,5900
2017-04-17,11.15,11.2,11.0,11.0,10.824950999999999,6600
2017-04-18,11.0,11.0,10.85,11.0,10.824950999999999,29400
2017-04-19,11.0,11.2,10.8,10.85,10.677339,45600
2017-04-20,10.85,11.0,10.75,10.9,10.726542,30900
2017-04-21,11.5,12.3,11.3,12.0,11.809037,73800
2017-04-24,12.25,13.4,12.25,13.35,13.137554000000002,135900
2017-04-25,13.45,14.14,13.35,13.8,13.580394,157700
2017-04-26,13.95,14.35,13.75,13.93,13.708325,48900
2017-04-27,13.95,14.0,13.8,13.95,13.728005,47700
2017-04-28,13.95,14.25,13.95,14.2,13.974028,51200
2017-05-01,14.55,15.2,14.5,14.85,14.613685,174900
2017-05-02,15.0,15.15,14.85,15.0,14.761297,69400
2017-05-03,15.0,15.05,14.6,14.85,14.613685,81600
2017-05-04,14.75,14.95,14.65,14.8,14.56448,32800
2017-05-05,14.75,15.1,14.65,15.05,14.810501,66500
2017-05-08,15.45,15.65,15.0,15.1,14.859707,111900
2017-05-09,15.15,15.7,15.15,15.4,15.154932,74200
2017-05-10,15.4,15.43,14.55,14.9,14.662888,84600
2017-05-11,14.5,15.15,14.5,15.05,14.810501,35500
2017-05-12,14.85,14.85,14.2,14.3,14.072435999999998,52300
2017-05-15,14.3,15.04,14.25,14.8,14.56448,78800
2017-05-16,14.8,14.91,14.35,14.55,14.318458999999999,30100
2017-05-17,14.25,14.37,13.65,13.85,13.629598000000001,41200
2017-05-18,13.75,14.0,13.6,13.8,13.580394,18500
2017-05-19,13.7,13.95,13.5,13.85,13.629598000000001,48900
2017-05-22,13.6,13.8,13.05,13.7,13.481983999999999,69300
2017-05-23,13.6,13.85,13.55,13.8,13.580394,31000
2017-05-24,13.8,14.15,13.7,14.05,13.826416,31500
2017-05-25,14.05,14.35,13.72,14.0,13.885926000000001,33400
2017-05-26,13.95,14.1,13.9,14.05,13.935519000000001,14000
2017-05-30,13.8,14.55,13.75,14.3,14.183482000000001,56900
2017-05-31,14.3,14.6,14.06,14.25,14.133889000000002,33800
2017-06-01,14.3,14.6,14.2,14.45,14.332259,17500
2017-06-02,14.5,14.69,14.2,14.55,14.431445000000002,37000
2017-06-05,14.7,14.9,14.48,14.65,14.530629000000001,31700
2017-06-06,14.75,14.75,14.2,14.4,14.282666,23500
2017-06-07,14.2,14.4,13.71,14.25,14.133889000000002,51300
2017-06-08,14.3,14.45,13.9,14.4,14.282666,32300
2017-06-09,14.2,14.5,14.15,14.15,14.034703,15100
2017-06-12,13.7,14.1,13.65,13.9,13.78674,45200
2017-06-13,14.0,14.2,13.95,14.15,14.034703,18700
2017-06-14,14.0,14.3,14.0,14.25,14.133889000000002,18900
2017-06-15,14.2,14.68,13.9,14.0,13.885926000000001,22100
2017-06-16,13.85,13.85,13.55,13.6,13.489185,15600
2017-06-19,14.0,14.0,13.55,13.7,13.588370000000001,38900
2017-06-20,13.45,13.69,13.25,13.35,13.241222,18200
2017-06-21,13.3,13.4,13.15,13.3,13.191629999999998,16200
2017-06-22,13.25,13.4,12.9,13.1,12.993259,26700
2017-06-23,13.2,13.2,12.7,12.7,12.596519,27000
