Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.5,6.7,6.35,6.5,6.5,98500
2017-01-04,6.55,6.775,6.4,6.45,6.45,158100
2017-01-05,6.45,6.5,6.35,6.35,6.35,70900
2017-01-06,6.4,6.45,6.2,6.3,6.3,83400
2017-01-09,6.25,6.4,6.2,6.25,6.25,74600
2017-01-10,6.2,6.65,6.2,6.5,6.5,88700
2017-01-11,6.45,6.5,6.15,6.25,6.25,133600
2017-01-12,6.15,6.25,6.1,6.1,6.1,90100
2017-01-13,6.15,6.35,6.125,6.2,6.2,77800
2017-01-17,6.15,6.15,5.95,5.95,5.95,119800
2017-01-18,5.9,6.15,5.894,6.1,6.1,91500
2017-01-19,6.1,6.1,5.85,5.9,5.9,115800
2017-01-20,5.9,6.05,5.9,5.9,5.9,59600
2017-01-23,5.85,6.1,5.85,5.85,5.85,70300
2017-01-24,5.85,6.0,5.85,6.0,6.0,51500
2017-01-25,6.05,6.3,5.9,6.0,6.0,75600
2017-01-26,6.0,6.15,5.95,6.1,6.1,128900
2017-01-27,6.05,6.25,6.0,6.05,6.05,80200
2017-01-30,6.0,6.05,5.85,5.9,5.9,112000
2017-01-31,5.85,5.9,5.8,5.8,5.8,65300
2017-02-01,5.85,5.9,5.8,5.85,5.85,59700
2017-02-02,5.85,5.975,5.75,5.8,5.8,44100
2017-02-03,5.85,5.9,5.65,5.9,5.9,76600
2017-02-06,5.8,5.95,5.7,5.75,5.75,77100
2017-02-07,5.8,6.05,5.75,5.825,5.825,236500
2017-02-08,5.75,6.1,5.75,6.0,6.0,200300
2017-02-09,6.0,6.05,5.9,5.95,5.95,67000
2017-02-10,5.95,6.15,5.95,5.95,5.95,93900
2017-02-13,6.0,6.0,5.85,5.9,5.9,97800
2017-02-14,5.8,6.1,5.8,6.0,6.0,117300
2017-02-15,5.95,6.25,5.95,6.25,6.25,75400
2017-02-16,6.25,6.3,6.2,6.25,6.25,108800
2017-02-17,6.25,6.3,6.1,6.2,6.2,89000
2017-02-21,6.25,6.35,6.15,6.2,6.2,42500
2017-02-22,6.2,6.2,6.0,6.2,6.2,64300
2017-02-23,6.2,6.2,6.025,6.05,6.05,45500
2017-02-24,6.05,6.15,5.95,5.95,5.95,66200
2017-02-27,5.95,6.1,5.95,6.0,6.0,65200
2017-02-28,6.05,6.05,5.705,5.95,5.95,184000
2017-03-01,6.05,6.3,5.75,6.15,6.15,160300
2017-03-02,6.2,6.2,5.95,6.0,6.0,47000
2017-03-03,5.95,6.05,5.9,6.0,6.0,37800
2017-03-06,5.9,6.1,5.75,5.85,5.85,100900
2017-03-07,5.8,5.805,5.6,5.7,5.7,123500
2017-03-08,5.75,5.8,5.45,5.45,5.45,144200
2017-03-09,5.5,5.65,5.35,5.4,5.4,87200
2017-03-10,5.45,5.55,5.3,5.35,5.35,152500
2017-03-13,5.25,5.8,5.25,5.75,5.75,151300
2017-03-14,5.9,5.9,5.35,5.45,5.45,90200
2017-03-15,5.45,5.5,5.3,5.4,5.4,138000
2017-03-16,5.4,5.45,5.325,5.425,5.425,110900
2017-03-17,5.35,5.75,5.35,5.65,5.65,197100
2017-03-20,5.6,6.0,5.46,5.95,5.95,345000
2017-03-21,5.95,5.95,5.7,5.75,5.75,145800
2017-03-22,5.8,5.85,5.628,5.65,5.65,84800
2017-03-23,5.7,5.95,5.621,5.9,5.9,96500
2017-03-24,5.9,5.95,5.65,5.8,5.8,132300
2017-03-27,5.7,5.95,5.7,5.85,5.85,132200
2017-03-28,5.8,5.85,5.7,5.8,5.8,95400
2017-03-29,5.75,5.9,5.75,5.85,5.85,78000
2017-03-30,5.85,6.0,5.8,6.0,6.0,126500
2017-03-31,6.0,6.0,5.85,5.9,5.9,75900
2017-04-03,5.8,5.9,5.6,5.6,5.6,164300
2017-04-04,5.6,5.65,5.4,5.5,5.5,248500
2017-04-05,5.55,5.7,5.5,5.55,5.55,207500
2017-04-06,5.55,5.875,5.5,5.75,5.75,163200
2017-04-07,5.75,5.85,5.65,5.75,5.75,183100
2017-04-10,5.85,5.95,5.7,5.75,5.75,168300
2017-04-11,5.75,5.8,5.65,5.7,5.7,130300
2017-04-12,5.7,5.975,5.7,5.8,5.8,166700
2017-04-13,5.8,5.95,5.8,5.9,5.9,109900
2017-04-17,5.95,5.975,5.9,5.95,5.95,139600
2017-04-18,5.85,6.0,5.8,5.95,5.95,125300
2017-04-19,6.0,6.1,5.95,6.0,6.0,191700
2017-04-20,6.05,6.2,6.025,6.15,6.15,159200
2017-04-21,6.05,6.125,5.95,6.05,6.05,123500
2017-04-24,6.15,6.2,6.1,6.2,6.2,129100
2017-04-25,6.2,6.25,6.105,6.25,6.25,139500
2017-04-26,6.25,6.45,6.2,6.35,6.35,155500
2017-04-27,6.4,6.444,6.35,6.35,6.35,59500
2017-04-28,6.35,6.35,6.0,6.05,6.05,135800
2017-05-01,6.0,6.15,6.0,6.1,6.1,74000
2017-05-02,6.1,6.25,6.05,6.1,6.1,82000
2017-05-03,6.1,6.2,6.0,6.05,6.05,76600
2017-05-04,6.05,6.1,6.0,6.0,6.0,60200
2017-05-05,6.0,6.1,6.0,6.05,6.05,47000
2017-05-08,6.0,6.2,6.0,6.1,6.1,140900
2017-05-09,6.1,6.35,6.025,6.3,6.3,141700
2017-05-10,6.0,6.35,6.0,6.2,6.2,233500
2017-05-11,6.2,6.5,6.1,6.4,6.4,311700
2017-05-12,6.4,6.65,6.35,6.5,6.5,228500
2017-05-15,6.55,6.91,6.55,6.85,6.85,255800
2017-05-16,6.9,7.181,6.76,7.1,7.1,277300
2017-05-17,7.0,7.35,6.975,7.2,7.2,332200
2017-05-18,7.05,7.55,7.05,7.45,7.45,463000
2017-05-19,7.45,7.75,7.45,7.65,7.65,399100
2017-05-22,7.65,7.75,7.4,7.6,7.6,145200
2017-05-23,7.6,7.6,7.3,7.4,7.4,218000
2017-05-24,7.35,7.5,7.25,7.35,7.35,224600
2017-05-25,7.4,7.4,7.175,7.25,7.25,188800
2017-05-26,7.15,7.35,7.15,7.25,7.25,174200
