Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.65,2.65,2.3,2.35,2.35,113600
2017-01-04,2.3,2.3,2.0,2.3,2.3,166700
2017-01-05,2.3,2.55,2.25,2.3,2.3,71700
2017-01-06,2.35,2.55,2.25,2.3,2.3,67100
2017-01-09,2.2,2.375,2.175,2.3,2.3,108600
2017-01-10,2.325,2.7,2.325,2.4,2.4,625300
2017-01-11,2.6,2.75,2.5,2.675,2.675,90600
2017-01-12,2.663,2.85,2.663,2.741,2.741,82400
2017-01-13,2.85,2.85,2.6,2.6,2.6,49400
2017-01-17,2.6,2.85,2.55,2.8,2.8,236700
2017-01-18,2.85,2.85,2.55,2.7,2.7,128500
2017-01-19,2.65,2.7,2.445,2.45,2.45,79300
2017-01-20,2.45,2.5,2.4,2.5,2.5,60600
2017-01-23,2.55,2.55,2.35,2.4,2.4,70300
2017-01-24,2.45,2.55,2.25,2.35,2.35,28200
2017-01-25,2.35,2.45,2.3,2.3,2.3,32100
2017-01-26,2.35,2.5,2.35,2.4,2.4,108300
2017-01-27,2.4,2.4,2.35,2.35,2.35,41200
2017-01-30,2.3,2.35,2.2,2.2,2.2,68100
2017-01-31,2.2,2.5,2.15,2.45,2.45,39400
2017-02-01,2.45,2.5,2.25,2.4,2.4,21900
2017-02-02,2.4,2.45,2.3,2.3,2.3,19500
2017-02-03,2.3,2.35,2.25,2.35,2.35,16600
2017-02-06,2.35,2.5,2.3,2.45,2.45,37000
2017-02-07,2.4,2.5,2.4,2.4,2.4,36400
2017-02-08,2.45,2.45,2.3,2.35,2.35,45400
2017-02-09,2.35,2.45,2.3,2.3,2.3,32900
2017-02-10,2.35,2.45,2.25,2.25,2.25,736500
2017-02-13,2.25,2.3,2.15,2.2,2.2,767900
2017-02-14,2.2,2.325,2.1,2.3,2.3,473000
2017-02-15,2.35,2.5,2.345,2.5,2.5,106700
2017-02-16,2.5,2.6,2.45,2.45,2.45,107100
2017-02-17,2.45,2.9,2.45,2.6,2.6,150600
2017-02-21,2.75,3.1,2.69,3.0,3.0,115600
2017-02-22,3.1,3.15,3.0,3.05,3.05,87200
2017-02-23,3.15,3.15,2.769,2.9,2.9,59200
2017-02-24,2.9,2.9,2.75,2.9,2.9,39900
2017-02-27,2.95,3.0,2.9,3.0,3.0,31600
2017-02-28,3.0,3.05,2.95,2.95,2.95,43300
2017-03-01,3.0,3.05,2.85,3.05,3.05,60200
2017-03-02,3.15,4.75,3.05,3.75,3.75,810000
2017-03-03,3.8,4.275,3.45,3.8,3.8,174400
2017-03-06,4.0,4.0,3.5,3.7,3.7,82200
2017-03-07,3.65,3.65,3.405,3.55,3.55,46200
2017-03-08,3.6,3.95,3.55,3.9,3.9,49700
2017-03-09,3.95,3.95,3.6,3.75,3.75,41000
2017-03-10,3.7,4.05,3.7,3.8,3.8,14600
2017-03-13,3.9,3.95,3.85,3.95,3.95,23500
2017-03-14,3.95,3.975,3.75,3.75,3.75,47300
2017-03-15,3.85,3.85,3.65,3.8,3.8,43000
2017-03-16,3.9,4.1,3.85,4.1,4.1,61900
2017-03-17,4.1,4.688,4.1,4.35,4.35,87900
2017-03-20,4.4,4.7,4.15,4.65,4.65,82800
2017-03-21,4.75,4.75,4.1,4.3,4.3,93800
2017-03-22,4.3,4.3,4.25,4.3,4.3,11700
2017-03-23,4.25,4.25,3.95,4.0,4.0,40700
2017-03-24,3.95,4.0,3.8,4.0,4.0,25000
2017-03-27,4.1,4.1,3.795,3.9,3.9,65700
2017-03-28,3.9,4.2,3.75,4.1,4.1,71200
2017-03-29,4.1,4.65,4.1,4.6,4.6,97400
2017-03-30,4.5,4.639,4.45,4.6,4.6,16700
2017-03-31,4.55,4.75,4.2,4.75,4.75,73900
2017-04-03,4.65,4.9,4.534,4.6,4.6,27800
2017-04-04,4.55,4.55,4.35,4.45,4.45,45700
2017-04-05,4.45,4.5,4.323,4.35,4.35,16200
2017-04-06,4.3,4.305,4.05,4.1,4.1,22400
2017-04-07,4.125,4.3,4.05,4.15,4.15,26900
2017-04-10,4.2,4.25,4.175,4.2,4.2,7600
2017-04-11,4.25,4.25,4.05,4.15,4.15,7300
2017-04-12,4.15,4.25,4.05,4.15,4.15,9900
2017-04-13,4.2,4.2,4.15,4.15,4.15,15400
2017-04-17,4.0,4.1,3.9,4.0,4.0,53800
2017-04-18,4.05,4.15,3.65,3.65,3.65,59400
2017-04-19,3.55,4.35,3.5,4.2,4.2,71200
2017-04-20,4.15,4.35,4.0,4.35,4.35,10400
2017-04-21,4.2,4.35,4.2,4.25,4.25,17000
2017-04-24,4.3,4.5,4.25,4.4,4.4,22000
2017-04-25,4.45,4.825,4.1,4.8,4.8,31400
2017-04-26,4.75,4.75,4.35,4.4,4.4,16500
2017-04-27,4.4,4.45,4.3,4.45,4.45,10900
2017-04-28,4.4,4.5,4.35,4.5,4.5,35900
2017-05-01,4.5,4.55,4.4,4.45,4.45,48900
2017-05-02,4.45,4.5,4.327,4.45,4.45,20400
2017-05-03,4.45,4.5,4.4,4.5,4.5,47300
2017-05-04,4.5,4.5,4.35,4.4,4.4,23400
2017-05-05,4.35,4.35,4.15,4.2,4.2,23800
2017-05-08,4.15,4.2,4.074,4.175,4.175,8600
2017-05-09,4.15,4.4,4.0,4.4,4.4,64500
2017-05-10,4.4,4.45,4.259,4.45,4.45,20000
2017-05-11,4.4,4.455,4.25,4.4,4.4,44500
2017-05-12,4.35,4.45,4.25,4.45,4.45,38800
2017-05-15,4.35,4.4,4.2,4.35,4.35,7500
2017-05-16,4.0,4.5,4.0,4.35,4.35,50900
2017-05-17,4.35,4.55,4.161,4.55,4.55,21300
2017-05-18,4.45,4.6,4.35,4.6,4.6,29700
2017-05-19,4.5,4.6,4.35,4.5,4.5,41900
2017-05-22,4.5,4.6,4.4,4.55,4.55,34700
2017-05-23,4.55,4.6,4.3,4.55,4.55,37100
2017-05-24,4.6,4.6,4.4,4.5,4.5,31000
2017-05-25,4.55,4.7,4.45,4.7,4.7,41700
2017-05-26,4.738,4.738,4.65,4.7,4.7,29700
2017-05-30,4.7,4.75,4.6,4.7,4.7,31300
2017-05-31,4.75,4.75,4.4,4.75,4.75,22900
2017-06-01,4.792,4.8,4.65,4.75,4.75,52000
2017-06-02,4.7,4.8,4.65,4.75,4.75,20100
2017-06-05,4.6,4.743,4.35,4.35,4.35,38800
2017-06-06,4.35,4.35,4.1,4.1,4.1,38800
2017-06-07,4.239,4.4,4.1,4.35,4.35,26800
2017-06-08,4.55,4.65,4.35,4.6,4.6,29100
2017-06-09,4.5,4.5,4.3,4.45,4.45,18600
2017-06-12,4.4,4.55,4.2,4.4,4.4,58400
2017-06-13,4.05,4.7,4.05,4.65,4.65,44500
2017-06-14,4.7,4.7,4.3,4.3,4.3,49300
2017-06-15,4.5,4.5,4.15,4.3,4.3,55700
2017-06-16,4.35,4.4,4.15,4.15,4.15,37500
2017-06-19,4.2,4.5,4.2,4.3,4.3,67000
2017-06-20,4.25,4.95,4.25,4.9,4.9,213000
2017-06-21,4.9,5.5,4.6,4.75,4.75,210800
2017-06-22,4.8,5.7,4.7,5.5,5.5,268500
2017-06-23,5.5,5.7,5.0,5.5,5.5,1774400
2017-06-26,5.45,6.25,5.35,5.95,5.95,193800
2017-06-27,6.45,7.895,6.2,6.55,6.55,181400
2017-06-28,6.55,6.595,5.9,6.15,6.15,127000
2017-06-29,6.1,7.45,6.1,7.35,7.35,385100
2017-06-30,7.5,7.5,6.55,7.15,7.15,90000
2017-07-03,7.05,7.55,7.0,7.35,7.35,44500
2017-07-05,7.4,7.4,7.0,7.2,7.2,63200
2017-07-06,7.2,7.2,6.55,7.0,7.0,53300
2017-07-07,6.95,7.1,6.75,7.0,7.0,40000
2017-07-10,7.05,7.05,6.55,6.85,6.85,46500
2017-07-11,6.9,6.95,6.75,6.75,6.75,76300
2017-07-12,6.75,6.8,6.7,6.8,6.8,39200
2017-07-13,6.75,6.8,6.7,6.7,6.7,20300
2017-07-14,6.65,6.75,6.6,6.75,6.75,12100
2017-07-17,6.8,7.2,6.555,6.85,6.85,152200
2017-07-18,6.9,6.9,6.2,6.4,6.4,67500
2017-07-19,6.4,6.7,5.7,6.6,6.6,81200
2017-07-20,6.4,7.0,6.1,6.8,6.8,51100
2017-07-21,7.1,7.1,6.7,6.75,6.75,31500
2017-07-24,6.85,7.1,6.8,6.95,6.95,31500
2017-07-25,7.0,7.2,6.85,7.15,7.15,32400
2017-07-26,7.15,7.25,7.1,7.15,7.15,35200
2017-07-27,7.0,7.15,6.5,6.55,6.55,28700
2017-07-28,6.5,7.05,6.4,6.8,6.8,141700
2017-07-31,6.9,8.25,6.8,7.95,7.95,376500
2017-08-01,8.2,8.85,7.1,7.65,7.65,113700
2017-08-02,7.6,7.6,6.8,6.9,6.9,52900
2017-08-03,6.8,7.05,6.75,6.95,6.95,21800
2017-08-04,7.0,7.3,6.761,7.1,7.1,42900
2017-08-07,7.45,7.45,6.85,6.9,6.9,34900
