Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.0,8.0,7.62,7.86,7.86,18800
2017-01-04,7.75,7.79,7.681,7.79,7.79,8700
2017-01-05,7.79,7.79,7.661,7.71,7.71,17000
2017-01-06,7.71,7.71,7.65,7.664,7.664,10000
2017-01-09,7.7,7.7,7.7,7.7,7.7,200
2017-01-10,7.7,7.7,7.6,7.601,7.601,11100
2017-01-11,7.69,7.83,7.656,7.8,7.8,5400
2017-01-12,7.95,7.95,7.66,7.84,7.84,10500
2017-01-13,7.634,7.757,7.634,7.751,7.751,1100
2017-01-17,7.8,7.835,7.75,7.75,7.75,9900
2017-01-18,7.8,7.8,7.75,7.781,7.781,3000
2017-01-19,7.99,7.99,7.47,7.49,7.49,18600
2017-01-20,7.401,7.44,7.4,7.4,7.4,700
2017-01-23,7.45,7.688,7.281,7.281,7.281,8600
2017-01-24,7.424,7.424,7.07,7.07,7.07,7100
2017-01-25,7.17,7.215,6.306,6.41,6.41,37400
2017-01-26,6.67,6.99,6.45,6.99,6.99,19900
2017-01-27,6.99,7.48,6.75,7.206,7.206,9800
2017-01-30,7.45,7.45,6.944,7.09,7.09,5900
2017-01-31,7.2,7.83,7.19,7.74,7.74,49100
2017-02-01,7.733,7.86,7.5,7.829,7.829,39700
2017-02-02,7.712,7.8,6.92,7.06,7.06,15400
2017-02-03,7.02,7.72,7.01,7.72,7.72,8900
2017-02-06,8.0,8.0,7.56,7.805,7.805,12200
2017-02-07,7.638,7.75,7.261,7.31,7.31,5300
2017-02-08,7.3,7.832,7.25,7.5,7.5,13700
2017-02-09,7.55,7.672,7.5,7.66,7.66,14300
2017-02-10,7.653,7.85,7.53,7.85,7.85,7200
2017-02-13,7.56,7.839,7.529,7.672,7.672,10200
2017-02-14,7.69,8.4,7.69,7.816,7.816,10100
2017-02-15,7.892,7.972,7.85,7.94,7.94,13500
2017-02-16,7.94,8.5,7.776,8.5,8.5,64200
2017-02-17,8.6,8.6,8.163,8.3,8.3,23700
2017-02-21,8.3,8.59,8.3,8.4,8.4,10600
2017-02-22,8.6,8.953,8.27,8.74,8.74,17200
2017-02-23,9.076,9.12,8.655,9.12,9.12,44400
2017-02-24,8.895,9.12,8.895,9.0,9.0,5900
2017-02-27,9.12,10.46,9.066,9.85,9.85,57700
2017-02-28,9.75,10.99,9.75,10.53,10.53,64200
2017-03-01,10.25,10.65,10.013,10.47,10.47,60800
2017-03-02,10.419,11.71,10.36,11.45,11.45,59600
2017-03-03,11.45,11.5,11.0,11.1,11.1,34000
2017-03-06,10.95,11.556,9.13,9.82,9.82,27100
2017-03-07,9.65,9.65,9.4,9.44,9.44,26100
2017-03-08,9.55,10.725,9.55,10.01,10.01,29500
2017-03-09,10.26,10.53,10.02,10.34,10.34,12500
2017-03-10,10.24,10.24,9.76,9.76,9.76,7600
2017-03-13,10.09,10.5,9.96,10.46,10.46,11400
2017-03-14,10.27,10.27,9.8,10.0,10.0,7200
2017-03-15,10.0,10.01,9.61,9.76,9.76,23400
2017-03-16,9.658,9.97,9.42,9.42,9.42,21700
2017-03-17,9.64,10.73,9.32,10.41,10.41,65500
2017-03-20,10.15,10.29,10.0,10.06,10.06,12000
2017-03-21,10.27,10.27,9.3,9.33,9.33,10600
2017-03-22,9.4,9.69,9.18,9.18,9.18,29900
2017-03-23,9.4,9.45,8.677,8.96,8.96,11100
2017-03-24,9.85,10.0,9.05,9.43,9.43,6300
2017-03-27,9.72,9.72,9.17,9.33,9.33,12900
2017-03-28,9.33,10.11,9.04,9.13,9.13,7200
2017-03-29,9.251,9.945,9.1,9.1,9.1,10600
2017-03-30,9.2,9.366,9.1,9.1,9.1,8200
2017-03-31,10.0,10.0,8.9,8.9,8.9,4600
2017-04-03,9.312,9.55,8.67,8.67,8.67,16700
2017-04-04,8.74,8.932,8.26,8.48,8.48,14300
2017-04-05,8.697,8.697,8.176,8.337,8.337,13700
2017-04-06,8.23,8.3,8.05,8.05,8.05,7800
2017-04-07,8.08,8.27,8.05,8.08,8.08,6200
2017-04-10,8.368,8.368,8.01,8.15,8.15,9000
2017-04-11,8.486,8.486,8.06,8.06,8.06,15400
2017-04-12,8.21,8.21,8.05,8.05,8.05,5000
2017-04-13,8.35,8.95,8.26,8.27,8.27,17400
2017-04-17,7.95,8.26,7.95,8.08,8.08,13600
2017-04-18,8.267,9.4,8.17,8.75,8.75,7300
2017-04-19,8.68,9.42,8.52,9.18,9.18,10900
2017-04-20,9.06,9.15,8.837,8.94,8.94,10900
2017-04-21,8.87,9.09,8.84,9.08,9.08,2600
2017-04-24,9.05,9.42,8.91,9.29,9.29,2400
2017-04-25,9.03,9.26,9.0,9.02,9.02,14400
2017-04-26,9.19,9.301,8.47,9.05,9.05,34100
2017-04-27,9.16,9.37,9.1,9.2,9.2,5600
2017-04-28,9.28,9.692,9.11,9.55,9.55,14100
2017-05-01,9.64,9.931,8.685,9.62,9.62,5100
2017-05-02,9.76,10.47,9.57,10.0,10.0,17900
