Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.2,3.433,3.19,3.4,3.4,473500
2017-01-04,3.4,3.47,3.306,3.37,3.37,251700
2017-01-05,3.36,3.39,3.27,3.33,3.33,174700
2017-01-06,3.31,3.42,3.291,3.365,3.365,174100
2017-01-09,3.5,3.68,3.32,3.52,3.52,1612100
2017-01-10,3.58,3.6,3.41,3.54,3.54,225600
2017-01-11,3.54,3.6,3.32,3.34,3.34,250200
2017-01-12,3.31,3.45,3.26,3.4,3.4,321400
2017-01-13,3.4,3.61,3.39,3.58,3.58,849300
2017-01-17,3.65,3.82,3.61,3.72,3.72,757200
2017-01-18,3.72,3.772,3.51,3.56,3.56,363700
2017-01-19,3.53,3.56,3.33,3.36,3.36,366100
2017-01-20,3.39,3.452,3.25,3.28,3.28,467500
2017-01-23,3.28,3.28,3.08,3.16,3.16,450600
2017-01-24,3.16,3.18,2.89,3.08,3.08,519000
2017-01-25,3.08,3.238,3.08,3.15,3.15,280300
2017-01-26,3.19,3.219,3.08,3.15,3.15,205000
2017-01-27,3.1,3.17,3.1,3.1,3.1,184500
2017-01-30,3.1,3.11,2.97,3.005,3.005,337700
2017-01-31,3.02,3.25,2.9,3.02,3.02,1108100
2017-02-01,3.07,3.109,2.96,2.98,2.98,347800
2017-02-02,2.97,3.0,2.8,2.92,2.92,1088300
2017-02-03,2.9,3.1,2.87,3.06,3.06,489000
2017-02-06,3.09,3.16,3.05,3.15,3.15,272500
2017-02-07,3.13,3.45,3.07,3.44,3.44,642000
2017-02-08,3.45,3.5,3.19,3.48,3.48,600800
2017-02-09,3.48,3.5,3.34,3.42,3.42,233100
2017-02-10,3.4,3.43,3.33,3.42,3.42,201300
2017-02-13,3.4,3.58,3.4,3.51,3.51,515500
2017-02-14,3.49,3.51,3.39,3.47,3.47,198500
2017-02-15,3.46,3.58,3.381,3.51,3.51,245400
2017-02-16,3.5,3.55,3.4,3.49,3.49,131000
2017-02-17,3.46,3.69,3.46,3.62,3.62,1290600
2017-02-21,3.72,3.72,3.46,3.47,3.47,334700
2017-02-22,3.46,3.48,3.35,3.38,3.38,223200
2017-02-23,3.41,3.41,3.17,3.23,3.23,286300
2017-02-24,3.2,3.4,3.17,3.4,3.4,264100
2017-02-27,3.42,3.47,3.319,3.43,3.43,191300
2017-02-28,3.45,3.455,3.285,3.3,3.3,249100
2017-03-01,3.3,3.35,3.23,3.25,3.25,241300
2017-03-02,3.27,3.418,3.22,3.27,3.27,581200
2017-03-03,2.75,2.85,2.57,2.7,2.7,2592900
2017-03-06,2.68,2.73,2.55,2.61,2.61,646600
2017-03-07,2.64,2.64,2.4,2.47,2.47,740400
2017-03-08,2.5,2.57,2.44,2.51,2.51,326400
2017-03-09,2.49,2.5,2.42,2.49,2.49,216600
2017-03-10,2.49,2.73,2.45,2.68,2.68,582400
2017-03-13,2.73,3.1,2.68,3.03,3.03,859100
2017-03-14,3.08,3.122,2.84,2.92,2.92,483300
2017-03-15,2.95,3.24,2.92,3.17,3.17,554300
2017-03-16,3.17,3.186,3.01,3.11,3.11,184200
2017-03-17,3.14,3.14,2.95,3.0,3.0,393600
2017-03-20,2.98,3.0,2.72,2.82,2.82,680600
2017-03-21,2.86,2.9,2.75,2.8,2.8,178100
2017-03-22,2.8,2.8,2.671,2.73,2.73,141900
2017-03-23,2.72,2.88,2.72,2.8,2.8,105800
2017-03-24,2.81,2.81,2.72,2.74,2.74,128000
2017-03-27,2.69,2.825,2.69,2.77,2.77,158500
2017-03-28,2.85,2.92,2.69,2.79,2.79,281200
2017-03-29,2.8,2.86,2.75,2.82,2.82,172800
2017-03-30,2.8,2.84,2.71,2.79,2.79,97000
2017-03-31,2.79,2.84,2.75,2.76,2.76,77800
2017-04-03,2.78,2.81,2.65,2.65,2.65,164300
2017-04-04,2.66,2.84,2.65,2.67,2.67,292200
2017-04-05,2.67,2.71,2.52,2.52,2.52,328200
2017-04-06,2.51,2.62,2.42,2.47,2.47,446400
2017-04-07,2.5,2.63,2.44,2.61,2.61,268600
2017-04-10,2.63,2.73,2.48,2.67,2.67,265000
2017-04-11,2.67,2.67,2.56,2.58,2.58,101900
2017-04-12,2.55,2.57,2.45,2.54,2.54,151100
2017-04-13,2.5,2.625,2.499,2.6,2.6,93300
2017-04-17,2.6,2.68,2.5,2.58,2.58,199800
2017-04-18,2.56,2.563,2.436,2.51,2.51,275400
2017-04-19,2.51,2.617,2.49,2.6,2.6,105900
2017-04-20,2.59,2.65,2.49,2.54,2.54,131500
2017-04-21,2.54,2.58,2.49,2.57,2.57,236900
2017-04-24,2.92,2.935,2.68,2.76,2.76,846700
2017-04-25,2.83,2.88,2.75,2.83,2.83,493900
2017-04-26,2.83,2.851,2.62,2.73,2.73,405400
2017-04-27,2.7,2.75,2.6,2.6,2.6,136700
2017-04-28,2.6,2.81,2.58,2.78,2.78,683100
2017-05-01,2.75,2.85,2.71,2.75,2.75,148200
2017-05-02,2.77,2.82,2.63,2.69,2.69,206900
2017-05-03,2.66,2.73,2.65,2.67,2.67,159800
2017-05-04,2.67,2.75,2.55,2.63,2.63,256700
2017-05-05,2.64,2.66,2.55,2.65,2.65,275800
2017-05-08,2.61,2.79,2.5,2.54,2.54,293700
2017-05-09,1.82,1.88,1.55,1.62,1.62,4365800
2017-05-10,1.59,1.7,1.56,1.64,1.64,798800
2017-05-11,1.73,1.8,1.65,1.7,1.7,2946900
2017-05-12,1.74,1.74,1.67,1.69,1.69,429300
2017-05-15,1.78,1.8,1.73,1.76,1.76,650400
2017-05-16,1.76,1.77,1.65,1.69,1.69,489100
2017-05-17,1.68,1.71,1.64,1.64,1.64,427400
2017-05-18,1.64,1.67,1.6,1.64,1.64,292100
2017-05-19,1.65,1.71,1.58,1.6,1.6,342500
2017-05-22,1.6,1.63,1.56,1.59,1.59,306300
2017-05-23,1.6,1.62,1.57,1.62,1.62,142900
2017-05-24,1.62,1.715,1.62,1.69,1.69,403800
2017-05-25,1.7,1.7,1.61,1.63,1.63,211800
2017-05-26,1.63,1.69,1.63,1.67,1.67,173000
