Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.24,6.41,6.06,6.25,6.25,6163400
2017-01-04,6.35,6.82,6.27,6.68,6.68,9082600
2017-01-05,6.95,6.97,6.43,6.59,6.59,8749000
2017-01-06,6.62,6.76,6.52,6.73,6.73,3969800
2017-01-09,6.78,6.87,6.47,6.77,6.77,4978800
2017-01-10,6.7,6.88,6.66,6.77,6.77,4835100
2017-01-11,6.79,6.79,6.5,6.6,6.6,5186600
2017-01-12,6.56,6.81,6.42,6.67,6.67,4487400
2017-01-13,6.72,6.79,6.64,6.73,6.73,3162600
2017-01-17,6.7,6.71,6.48,6.48,6.48,4972200
2017-01-18,6.5,6.61,6.43,6.53,6.53,3808300
2017-01-19,6.52,6.53,6.31,6.41,6.41,3876200
2017-01-20,6.57,6.71,5.76,5.91,5.91,20115100
2017-01-23,5.9,5.93,5.54,5.76,5.76,6194400
2017-01-24,5.69,5.79,5.43,5.53,5.53,7105000
2017-01-25,5.49,5.71,5.35,5.56,5.56,6609100
2017-01-26,5.59,6.0,5.57,5.83,5.83,7884200
2017-01-27,5.79,6.51,5.76,6.27,6.27,10145600
2017-01-30,6.35,6.58,6.1,6.54,6.54,12428600
2017-01-31,6.56,7.15,6.5,7.07,7.07,19019900
2017-02-01,6.27,6.33,5.86,6.04,6.04,22729200
2017-02-02,6.08,6.45,6.08,6.34,6.34,9133800
2017-02-03,6.35,6.45,6.26,6.42,6.42,4822100
2017-02-06,6.42,6.65,6.34,6.36,6.36,5798800
2017-02-07,6.4,6.45,6.1,6.12,6.12,5636000
2017-02-08,6.1,6.24,6.01,6.19,6.19,4247100
2017-02-09,6.18,6.31,6.13,6.26,6.26,3531400
2017-02-10,6.25,6.28,6.13,6.17,6.17,4755700
2017-02-13,6.2,6.22,6.13,6.18,6.18,3133100
2017-02-14,6.18,6.32,6.14,6.3,6.3,3147300
2017-02-15,6.27,6.44,6.25,6.33,6.33,3218900
2017-02-16,6.35,6.45,6.04,6.06,6.06,6147800
2017-02-17,6.08,6.15,5.93,6.07,6.07,4808200
2017-02-21,6.07,6.12,5.76,5.83,5.83,5128800
2017-02-22,5.8,5.85,5.62,5.65,5.65,4219200
2017-02-23,5.66,5.71,5.26,5.48,5.48,9691300
2017-02-24,5.45,5.53,5.34,5.49,5.49,5209600
2017-02-27,5.52,5.97,5.45,5.92,5.92,7841400
2017-02-28,5.9,5.96,5.73,5.79,5.79,6709200
2017-03-01,5.85,5.89,5.63,5.68,5.68,4775400
2017-03-02,5.57,5.89,5.35,5.37,5.37,7487500
2017-03-03,5.42,5.71,5.41,5.7,5.7,4552300
2017-03-06,5.69,5.72,5.51,5.57,5.57,3532500
2017-03-07,5.54,5.58,5.45,5.5,5.5,3278500
2017-03-08,5.5,5.67,5.5,5.56,5.56,3712800
2017-03-09,5.55,5.63,5.23,5.3,5.3,5434100
2017-03-10,5.3,5.43,5.12,5.24,5.24,5716400
2017-03-13,5.24,5.37,5.17,5.29,5.29,4139900
2017-03-14,5.35,5.35,5.13,5.14,5.14,3971200
2017-03-15,5.16,5.39,5.15,5.28,5.28,6379200
2017-03-16,5.32,5.35,5.18,5.25,5.25,3932400
2017-03-17,5.2,5.22,4.99,5.07,5.07,22366000
2017-03-20,5.03,5.1,4.92,5.09,5.09,4790700
2017-03-21,5.1,5.1,4.56,4.65,4.65,12655300
2017-03-22,4.64,4.69,4.38,4.56,4.56,9384000
2017-03-23,4.6,4.62,4.45,4.47,4.47,7193500
2017-03-24,4.5,4.59,4.48,4.57,4.57,4878800
2017-03-27,4.55,4.86,4.5,4.78,4.78,10609400
2017-03-28,4.78,4.86,4.59,4.69,4.69,7987500
2017-03-29,4.72,4.84,4.68,4.76,4.76,4056400
2017-03-30,4.68,4.74,4.5,4.66,4.66,6330800
2017-03-31,4.67,4.69,4.59,4.66,4.66,4136200
2017-04-03,4.66,4.7,4.51,4.56,4.56,4607000
2017-04-04,4.56,4.57,4.43,4.47,4.47,3931600
2017-04-05,4.47,4.5,4.29,4.32,4.32,5899800
2017-04-06,4.06,4.32,3.98,4.09,4.09,12735600
2017-04-07,4.07,4.31,4.01,4.26,4.26,7954700
2017-04-10,4.3,4.53,4.28,4.35,4.35,7023000
2017-04-11,4.35,4.46,4.27,4.41,4.41,5242900
2017-04-12,4.5,4.58,4.43,4.5,4.5,7321800
2017-04-13,4.48,4.57,4.4,4.55,4.55,7127500
2017-04-17,4.55,4.55,4.37,4.42,4.42,5206000
2017-04-18,4.37,4.39,4.13,4.17,4.17,5307600
2017-04-19,4.2,4.22,4.06,4.1,4.1,4663600
2017-04-20,4.1,4.14,4.03,4.11,4.11,3451500
2017-04-21,4.1,4.21,4.09,4.11,4.11,3900900
2017-04-24,4.17,4.17,4.07,4.11,4.11,2919900
2017-04-25,4.12,4.33,4.09,4.21,4.21,5489700
2017-04-26,4.2,4.3,4.19,4.27,4.27,3615800
2017-04-27,4.29,4.34,4.21,4.22,4.22,3546800
2017-04-28,4.23,4.23,4.11,4.12,4.12,2903300
2017-05-01,4.13,4.28,4.13,4.22,4.22,3015600
2017-05-02,4.24,4.25,4.08,4.09,4.09,3364500
2017-05-03,4.1,4.13,3.95,3.98,3.98,3603100
2017-05-04,4.02,4.02,3.84,3.99,3.99,3589600
2017-05-05,4.0,4.11,3.87,4.0,4.0,4757700
2017-05-08,4.09,4.1,3.91,3.92,3.92,3958900
2017-05-09,3.92,4.1,3.91,4.04,4.04,6862800
2017-05-10,4.06,4.14,3.96,4.14,4.14,4207500
2017-05-11,4.06,4.12,3.72,3.88,3.88,8131300
2017-05-12,3.87,4.38,3.84,4.33,4.33,7902000
2017-05-15,4.38,4.38,3.95,3.97,3.97,9425600
2017-05-16,4.0,4.18,3.91,4.11,4.11,6214200
2017-05-17,4.01,4.03,3.85,3.85,3.85,6713400
2017-05-18,3.87,4.01,3.83,3.99,3.99,4491800
2017-05-19,3.94,4.07,3.91,3.92,3.92,3815000
2017-05-22,3.93,3.97,3.85,3.93,3.93,3348400
2017-05-23,3.92,3.96,3.76,3.77,3.77,6254800
2017-05-24,3.8,3.85,3.72,3.74,3.74,3571000
2017-05-25,3.77,3.81,3.63,3.69,3.69,3768600
2017-05-26,3.6,3.63,3.48,3.48,3.48,7672100
2017-05-30,3.5,3.6,3.37,3.39,3.39,5328200
2017-05-31,3.45,3.57,3.34,3.51,3.51,6162000
2017-06-01,3.51,3.64,3.5,3.63,3.63,3865900
2017-06-02,3.82,4.29,3.82,4.0,4.0,18469000
2017-06-05,4.05,4.08,3.74,3.79,3.79,8527800
2017-06-06,3.79,3.99,3.78,3.97,3.97,4717200
2017-06-07,4.1,4.23,3.88,3.93,3.93,6620800
2017-06-08,3.96,4.03,3.93,4.01,4.01,2769600
2017-06-09,4.03,4.14,3.95,4.02,4.02,4714200
2017-06-12,4.03,4.07,3.89,4.07,4.07,3586300
2017-06-13,4.09,4.17,4.04,4.16,4.16,4307200
2017-06-14,4.19,4.23,4.11,4.19,4.19,3251700
2017-06-15,4.15,4.28,4.05,4.09,4.09,4184300
2017-06-16,4.06,4.15,4.02,4.07,4.07,4825200
2017-06-19,4.12,4.18,4.05,4.13,4.13,3512900
2017-06-20,4.14,4.38,4.1,4.25,4.25,4860200
2017-06-21,4.32,4.59,4.32,4.52,4.52,5975500
2017-06-22,4.6,4.77,4.55,4.59,4.59,7154000
2017-06-23,4.64,4.78,4.46,4.74,4.74,7844000
2017-06-26,4.76,4.84,4.57,4.63,4.63,4379300
2017-06-27,4.6,4.62,4.39,4.39,4.39,4806600
2017-06-28,4.43,4.53,4.27,4.5,4.5,5079900
2017-06-29,4.47,4.56,4.31,4.36,4.36,3966200
2017-06-30,4.37,4.52,4.29,4.45,4.45,3905300
2017-07-03,4.46,4.53,4.41,4.52,4.52,1403100
2017-07-05,4.53,4.64,4.43,4.6,4.6,3566500
2017-07-06,4.56,4.6,4.45,4.49,4.49,4185300
2017-07-07,4.52,4.52,4.35,4.46,4.46,3267100
2017-07-10,4.44,4.49,4.37,4.44,4.44,2090700
2017-07-11,4.44,4.54,4.43,4.49,4.49,2225400
2017-07-12,4.52,4.54,4.4,4.46,4.46,3019300
2017-07-13,4.45,4.61,4.38,4.53,4.53,2945100
2017-07-14,4.54,4.56,4.43,4.48,4.48,1828100
2017-07-17,4.49,4.49,4.35,4.35,4.35,2418500
2017-07-18,4.31,4.32,4.16,4.25,4.25,2498200
