Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2.23,2.27,2.23,2.24,2.24,8800
2017-01-04,2.29,2.29,2.24,2.258,2.258,6900
2017-01-05,2.23,2.27,2.23,2.26,2.26,16300
2017-01-06,2.29,2.29,2.25,2.26,2.26,7300
2017-01-09,2.25,2.298,2.25,2.25,2.25,10900
2017-01-10,2.23,2.249,2.21,2.21,2.21,13300
2017-01-11,2.21,2.25,2.19,2.23,2.23,27900
2017-01-12,2.25,2.25,2.19,2.19,2.19,15000
2017-01-13,2.22,2.24,2.19,2.202,2.202,13900
2017-01-17,2.23,2.24,2.193,2.23,2.23,11800
2017-01-18,2.23,2.24,2.15,2.17,2.17,30000
2017-01-19,2.188,2.188,2.006,2.06,2.06,28200
2017-01-20,2.013,2.14,2.013,2.08,2.08,17200
2017-01-23,2.11,2.11,2.0,2.11,2.11,30200
2017-01-24,2.04,2.127,1.91,1.97,1.97,28400
2017-01-25,2.0,2.0,1.9,1.95,1.95,40900
2017-01-26,2.0,2.088,1.779,1.788,1.788,59200
2017-01-27,1.8,1.8,1.77,1.79,1.79,27200
2017-01-30,1.8,1.8,1.74,1.74,1.74,11800
2017-01-31,1.8,1.93,1.5,1.889,1.889,132600
2017-02-01,1.82,1.99,1.71,1.82,1.82,29500
2017-02-02,1.81,1.98,1.81,1.94,1.94,67200
2017-02-03,1.92,2.02,1.88,1.99,1.99,80000
2017-02-06,1.95,2.0,1.9,1.97,1.97,68700
2017-02-07,1.94,1.94,1.828,1.84,1.84,21200
2017-02-08,1.8,1.84,1.722,1.792,1.792,31900
2017-02-09,2.81,3.62,2.4,2.53,2.53,9016900
2017-02-10,2.41,2.5,2.25,2.3,2.3,672300
2017-02-13,2.34,2.376,2.15,2.29,2.29,241200
2017-02-14,2.3,2.3,2.24,2.3,2.3,93600
2017-02-15,2.28,2.35,2.28,2.31,2.31,134200
2017-02-16,2.22,2.28,2.18,2.28,2.28,87400
2017-02-17,2.25,2.28,2.2,2.25,2.25,46300
2017-02-21,2.2,2.43,2.17,2.27,2.27,310600
2017-02-22,2.28,2.375,2.25,2.25,2.25,126400
2017-02-23,2.25,2.28,2.02,2.08,2.08,288300
2017-02-24,2.01,2.15,1.91,2.09,2.09,67000
2017-02-27,2.07,2.12,2.05,2.12,2.12,29300
2017-02-28,2.08,2.176,2.071,2.12,2.12,108300
2017-03-01,2.12,2.149,2.044,2.13,2.13,59500
2017-03-02,2.12,2.12,1.98,2.03,2.03,118600
2017-03-03,2.0,2.027,1.95,1.98,1.98,124600
2017-03-06,2.01,2.02,1.955,2.0,2.0,84600
2017-03-07,2.0,2.08,1.94,1.96,1.96,81100
2017-03-08,1.92,1.99,1.91,1.92,1.92,50900
2017-03-09,1.92,1.99,1.92,1.93,1.93,4800
2017-03-10,1.92,1.98,1.92,1.96,1.96,7700
2017-03-13,1.94,2.04,1.92,2.01,2.01,37300
2017-03-14,1.97,1.988,1.94,1.94,1.94,17800
2017-03-15,1.98,1.98,1.94,1.97,1.97,15000
2017-03-16,2.0,2.0,1.95,1.95,1.95,10900
2017-03-17,1.95,1.99,1.95,1.97,1.97,5100
2017-03-20,1.96,1.97,1.935,1.96,1.96,25300
2017-03-21,1.92,1.97,1.92,1.94,1.94,33500
2017-03-22,1.96,1.96,1.9,1.92,1.92,40600
2017-03-23,1.93,1.98,1.9,1.92,1.92,18600
2017-03-24,1.9,1.97,1.88,1.95,1.95,36200
2017-03-27,1.92,1.92,1.835,1.89,1.89,87000
2017-03-28,1.92,2.02,1.92,1.95,1.95,63200
2017-03-29,1.99,2.04,1.96,2.03,2.03,101300
2017-03-30,2.1,2.249,2.0,2.07,2.07,153600
2017-03-31,2.11,2.12,1.99,2.04,2.04,30900
