Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,0.811,0.823,0.81,0.81,0.81,30200
2017-01-04,0.81,0.84,0.81,0.82,0.82,88700
2017-01-05,0.81,0.86,0.81,0.85,0.85,64100
2017-01-06,0.84,0.86,0.81,0.85,0.85,3700
2017-01-09,0.85,0.89,0.85,0.87,0.87,107600
2017-01-10,0.85,0.9,0.85,0.864,0.864,177400
2017-01-11,0.88,0.897,0.86,0.86,0.86,108500
2017-01-12,0.88,0.9,0.87,0.884,0.884,32300
2017-01-13,0.89,0.9,0.89,0.89,0.89,66200
2017-01-17,0.824,0.9,0.824,0.89,0.89,42700
2017-01-18,0.9,0.9,0.84,0.89,0.89,16800
2017-01-19,0.884,0.9,0.82,0.88,0.88,48600
2017-01-20,0.85,0.9,0.85,0.894,0.894,29400
2017-01-23,0.91,0.91,0.851,0.9,0.9,39800
2017-01-24,0.9,0.9,0.841,0.88,0.88,37200
2017-01-25,0.801,0.88,0.801,0.82,0.82,33800
2017-01-26,0.9,0.9,0.85,0.85,0.85,447200
2017-01-27,0.86,0.885,0.85,0.85,0.85,185600
2017-01-30,0.85,0.869,0.82,0.845,0.845,85000
2017-01-31,0.82,0.85,0.81,0.85,0.85,66300
2017-02-01,0.83,0.85,0.83,0.831,0.831,31300
2017-02-02,0.83,0.85,0.83,0.85,0.85,20900
2017-02-03,0.83,0.84,0.82,0.82,0.82,10800
2017-02-06,0.82,0.84,0.82,0.837,0.837,32900
2017-02-07,0.85,0.85,0.835,0.847,0.847,22000
2017-02-08,0.85,0.85,0.82,0.839,0.839,10600
2017-02-09,0.82,0.837,0.8,0.83,0.83,49000
2017-02-10,0.85,0.85,0.81,0.83,0.83,9600
2017-02-13,0.815,0.83,0.8,0.83,0.83,20600
2017-02-14,0.829,0.83,0.8,0.82,0.82,22500
2017-02-15,0.84,0.84,0.817,0.825,0.825,9300
2017-02-16,0.81,0.83,0.81,0.82,0.82,8700
2017-02-17,0.82,0.83,0.801,0.801,0.801,34000
2017-02-21,0.81,0.84,0.8,0.82,0.82,26600
2017-02-22,0.8,0.827,0.799,0.82,0.82,8300
2017-02-23,0.79,0.82,0.78,0.78,0.78,12300
2017-02-24,0.776,0.8,0.71,0.71,0.71,45200
2017-02-27,0.745,0.745,0.7,0.73,0.73,43800
2017-02-28,0.73,0.73,0.55,0.65,0.65,114700
2017-03-01,0.68,0.719,0.65,0.7,0.7,166300
2017-03-02,0.695,0.71,0.67,0.673,0.673,37600
2017-03-03,0.664,0.67,0.66,0.67,0.67,12400
2017-03-06,0.66,0.673,0.591,0.64,0.64,30100
2017-03-07,0.64,0.68,0.64,0.65,0.65,28900
2017-03-08,0.69,0.82,0.69,0.77,0.77,599800
2017-03-09,0.77,0.772,0.618,0.717,0.717,94200
2017-03-10,0.74,0.759,0.68,0.71,0.71,55200
2017-03-13,0.74,0.75,0.724,0.724,0.724,93600
2017-03-14,0.8,0.8,0.72,0.727,0.727,89900
2017-03-15,0.76,0.76,0.719,0.75,0.75,42800
2017-03-16,0.76,0.78,0.75,0.773,0.773,21300
2017-03-17,0.74,0.759,0.692,0.692,0.692,89000
2017-03-20,0.71,0.74,0.71,0.728,0.728,17700
2017-03-21,0.728,0.777,0.72,0.74,0.74,94200
2017-03-22,0.749,0.749,0.68,0.707,0.707,12500
2017-03-23,0.691,0.72,0.685,0.689,0.689,29600
2017-03-24,0.68,0.711,0.68,0.705,0.705,4700
2017-03-27,0.7,0.7,0.68,0.68,0.68,21400
2017-03-28,0.71,0.71,0.68,0.68,0.68,15800
2017-03-29,0.68,0.7,0.68,0.689,0.689,8500
2017-03-30,0.681,0.7,0.68,0.7,0.7,151500
