Date,Open,High,Low,Close,Adj Close,Volume
2017-07-05,9.97,9.97,9.97,9.97,9.97,0
2017-07-06,9.94,9.94,9.94,9.94,9.94,0
2017-07-07,9.95,9.95,9.95,9.95,9.95,0
2017-07-10,9.96,9.96,9.96,9.96,9.96,0
2017-07-11,9.97,9.97,9.97,9.97,9.97,0
2017-07-12,12.39,12.39,11.9,12.23,12.23,391400
2017-07-13,12.01,12.2,11.8,12.0,12.0,68400
2017-07-14,12.08,12.105,11.9,11.99,11.99,1491600
2017-07-17,11.98,12.065,11.6,11.95,11.95,352200
2017-07-18,11.97,12.495,11.58,11.8,11.8,859100
2017-07-19,11.84,12.0,11.7,11.82,11.82,699900
2017-07-20,11.9,12.0,11.75,11.8,11.8,622100
2017-07-21,11.85,11.955,11.77,11.9,11.9,402100
2017-07-24,11.956,12.0,11.78,11.9,11.9,451300
2017-07-25,11.874,11.99,11.76,11.87,11.87,129200
2017-07-26,11.86,11.99,11.68,11.79,11.79,450900
2017-07-27,11.851,11.99,11.5,11.98,11.98,55800
2017-07-28,12.0,12.0,11.77,11.88,11.88,344400
2017-07-31,11.99,12.03,11.84,11.85,11.85,492500
2017-08-01,11.9,11.95,11.85,11.9,11.9,1060000
2017-08-02,11.81,11.91,11.8,11.85,11.85,28700
2017-08-03,11.82,11.99,11.79,11.9,11.9,66700
2017-08-04,11.99,12.02,11.75,11.89,11.89,185500
2017-08-07,11.83,11.94,11.21,11.76,11.76,81600
2017-08-08,11.77,11.94,11.61,11.8,11.8,246900
2017-08-09,11.73,11.85,11.0,11.81,11.81,192300
2017-08-10,11.7,11.9,11.49,11.75,11.75,322600
2017-08-11,11.75,12.24,11.5,11.91,11.91,907800
2017-08-14,12.1,12.43,11.89,11.99,11.99,387300
2017-08-15,12.13,12.13,11.61,11.9,11.9,150800
2017-08-16,11.9,12.1,11.78,12.03,12.03,648100
2017-08-17,12.03,12.03,11.58,11.95,11.95,110100
2017-08-18,12.0,12.32,11.85,12.04,12.04,378300
2017-08-21,11.98,12.1,11.81,12.04,12.04,157200
2017-08-22,12.05,12.1,11.66,11.96,11.96,100400
2017-08-23,11.88,11.99,11.55,11.81,11.81,115400
2017-08-24,11.79,11.96,11.66,11.94,11.94,126700
2017-08-25,11.95,11.95,11.8,11.88,11.88,241800
2017-08-28,11.8,11.97,11.77,11.84,11.84,220700
2017-08-29,11.8,11.97,11.8,11.88,11.88,320700
2017-08-30,11.91,11.991,11.67,11.79,11.79,143300
2017-08-31,11.83,11.97,11.769,11.85,11.85,165100
2017-09-01,11.93,12.03,11.82,11.85,11.85,354000
2017-09-05,11.85,12.42,11.64,11.83,11.83,986600
2017-09-06,11.91,12.0,11.73,11.91,11.91,891400
2017-09-07,11.95,12.11,11.79,11.91,11.91,928400
2017-09-08,12.09,12.28,11.93,12.07,12.07,307500
2017-09-11,12.1,12.201,11.91,12.07,12.07,385700
2017-09-12,12.06,12.2,11.98,12.16,12.16,164400
2017-09-13,12.11,12.45,12.06,12.23,12.23,631300
2017-09-14,12.22,12.4,12.145,12.21,12.21,507400
2017-09-15,12.2,12.24,11.72,11.83,11.83,1556000
2017-09-18,11.91,12.0,11.57,11.63,11.63,368500
2017-09-19,11.71,11.88,11.25,11.28,11.28,467300
2017-09-20,11.32,11.715,10.93,11.27,11.27,503600
2017-09-21,11.34,11.46,11.12,11.39,11.39,232000
2017-09-22,11.37,11.52,11.15,11.36,11.36,181500
2017-09-25,11.39,11.64,11.01,11.17,11.17,153500
2017-09-26,11.18,11.55,11.18,11.54,11.54,114700
2017-09-27,11.63,11.63,11.48,11.6,11.6,114400
2017-09-28,11.57,11.69,11.54,11.66,11.66,156200
2017-09-29,11.64,11.77,11.44,11.71,11.71,157906
