Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.5,3.5,3.3,3.45,3.45,72500
2017-01-04,3.44,3.73,3.42,3.65,3.65,105800
2017-01-05,3.74,3.76,3.56,3.66,3.66,80900
2017-01-06,3.67,3.98,3.44,3.88,3.88,145800
2017-01-09,3.9,3.9,3.52,3.77,3.77,53800
2017-01-10,3.88,3.88,3.72,3.88,3.88,21700
2017-01-11,3.9,3.9,3.66,3.88,3.88,66100
2017-01-12,3.9,3.9,3.71,3.87,3.87,29000
2017-01-13,3.88,3.96,3.85,3.88,3.88,47000
2017-01-17,3.88,3.89,3.71,3.74,3.74,41500
2017-01-18,3.79,3.85,3.62,3.74,3.74,66500
2017-01-19,3.75,3.76,3.65,3.65,3.65,17700
2017-01-20,3.65,3.75,3.52,3.75,3.75,8800
2017-01-23,3.76,3.76,3.65,3.68,3.68,16900
2017-01-24,3.71,3.74,3.65,3.7,3.7,11500
2017-01-25,3.7,3.75,3.67,3.7,3.7,27800
2017-01-26,3.71,3.76,3.66,3.71,3.71,17300
2017-01-27,3.74,3.76,3.56,3.66,3.66,26400
2017-01-30,3.67,3.69,3.62,3.65,3.65,10600
2017-01-31,3.74,3.74,3.5,3.51,3.51,19900
2017-02-01,3.45,3.88,3.43,3.88,3.88,44900
2017-02-02,3.68,3.91,3.68,3.74,3.74,27100
2017-02-03,3.83,3.83,3.69,3.8,3.8,13300
2017-02-06,3.87,3.87,3.6,3.7,3.7,39600
2017-02-07,3.69,3.9,3.65,3.71,3.71,21200
2017-02-08,3.78,3.79,3.65,3.79,3.79,27600
2017-02-09,3.83,3.85,3.71,3.71,3.71,5900
2017-02-10,3.77,3.79,3.65,3.79,3.79,11000
2017-02-13,3.69,3.78,3.69,3.75,3.75,18500
2017-02-14,3.65,3.79,3.65,3.77,3.77,4700
2017-02-15,3.72,3.79,3.65,3.77,3.77,8700
2017-02-16,3.72,3.79,3.57,3.57,3.57,42700
2017-02-17,3.58,3.7,3.41,3.52,3.52,27100
2017-02-21,3.63,3.63,3.4,3.42,3.42,20600
2017-02-22,3.4,3.4,3.33,3.37,3.37,22300
2017-02-23,3.35,3.35,3.2,3.27,3.27,54200
2017-02-24,3.25,3.34,3.17,3.21,3.21,21500
2017-02-27,3.18,3.19,3.05,3.07,3.07,28900
2017-02-28,3.01,3.07,2.94,2.95,2.95,21200
2017-03-01,2.95,3.0,2.85,2.87,2.87,32700
2017-03-02,2.86,2.86,2.75,2.8,2.8,40800
2017-03-03,2.8,2.8,2.7,2.76,2.76,22500
2017-03-06,2.75,2.79,2.66,2.77,2.77,25500
2017-03-07,2.73,2.79,2.64,2.71,2.71,27900
2017-03-08,2.69,2.74,2.63,2.7,2.7,6700
2017-03-09,2.67,2.7,2.62,2.65,2.65,15000
2017-03-10,2.65,2.73,2.65,2.69,2.69,33700
2017-03-13,2.65,2.73,2.5,2.5,2.5,71500
2017-03-14,2.55,2.68,2.53,2.6,2.6,37700
2017-03-15,2.87,2.87,2.65,2.73,2.73,41400
2017-03-16,2.76,2.88,2.67,2.88,2.88,91100
2017-03-17,2.9,3.14,2.9,2.95,2.95,24700
2017-03-20,2.99,3.02,2.91,2.99,2.99,40400
2017-03-21,3.02,3.03,2.81,2.91,2.91,59800
2017-03-22,2.9,3.01,2.8,2.86,2.86,31400
