Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,14.45,14.79,14.45,14.69,14.69,79100
2017-01-04,14.7,15.0,14.62,14.94,14.94,60600
2017-01-05,14.91,14.91,14.4,14.73,14.73,62700
2017-01-06,14.81,15.01,14.45,14.87,14.87,25200
2017-01-09,14.8,14.8,14.52,14.53,14.53,39400
2017-01-10,14.52,14.58,14.42,14.45,14.45,27500
2017-01-11,14.39,14.39,13.82,14.03,14.03,56300
2017-01-12,13.88,14.12,13.83,14.03,14.03,43100
2017-01-13,14.12,14.26,13.78,14.22,14.22,23200
2017-01-17,14.09,14.09,13.54,13.68,13.68,87300
2017-01-18,13.64,13.89,13.57,13.7,13.7,29500
2017-01-19,13.46,13.53,13.23,13.27,13.27,82500
2017-01-20,13.27,13.44,13.06,13.35,13.35,49800
2017-01-23,13.27,13.27,12.98,13.1,13.1,69900
2017-01-24,13.07,13.34,12.94,13.21,13.21,57000
2017-01-25,13.34,13.39,13.22,13.35,13.35,42500
2017-01-26,13.3,13.49,13.18,13.33,13.33,25700
2017-01-27,13.38,13.47,13.22,13.41,13.41,26400
2017-01-30,13.39,13.41,13.04,13.07,13.07,41000
2017-01-31,13.16,13.41,13.16,13.36,13.36,38600
2017-02-01,13.6,13.64,13.4,13.47,13.47,36300
2017-02-02,13.56,13.83,13.56,13.62,13.62,29700
2017-02-03,13.73,13.88,13.64,13.85,13.85,28100
2017-02-06,13.92,13.93,13.73,13.84,13.84,80700
2017-02-07,13.93,13.96,13.67,13.72,13.72,27100
2017-02-08,13.75,13.9,13.66,13.68,13.68,42500
2017-02-09,13.7,13.84,13.53,13.57,13.57,27700
2017-02-10,13.66,13.66,13.43,13.55,13.55,27800
2017-02-13,13.72,13.72,13.57,13.59,13.59,39400
2017-02-14,13.61,13.93,13.61,13.88,13.88,72300
2017-02-15,14.48,14.69,14.31,14.68,14.68,108100
2017-02-16,15.0,15.07,14.73,14.89,14.89,78100
2017-02-17,14.9,15.04,14.72,15.02,15.02,48400
2017-02-21,15.18,15.46,15.18,15.45,15.45,34900
2017-02-22,15.41,15.41,15.06,15.17,15.17,34700
2017-02-23,15.24,15.24,14.83,15.08,15.08,24200
2017-02-24,14.97,15.08,14.84,15.01,15.01,29200
2017-02-27,14.99,15.28,14.98,15.13,15.13,41200
2017-02-28,13.93,14.67,13.86,14.48,14.48,117500
2017-03-01,14.35,14.48,14.16,14.44,14.44,63200
2017-03-02,14.41,14.55,14.17,14.18,14.18,41200
2017-03-03,14.21,14.22,14.0,14.16,14.16,34700
2017-03-06,14.0,14.05,13.89,13.91,13.91,27300
2017-03-07,13.97,13.97,13.72,13.72,13.72,61100
2017-03-08,13.77,13.87,13.46,13.52,13.52,37100
2017-03-09,13.56,13.59,13.33,13.36,13.36,76300
2017-03-10,13.49,13.49,13.15,13.25,13.25,68100
2017-03-13,13.28,13.31,13.1,13.23,13.23,26700
2017-03-14,13.13,13.19,13.05,13.12,13.12,24900
2017-03-15,13.18,13.31,12.99,13.28,13.28,44600
2017-03-16,13.24,13.39,13.22,13.38,13.38,34100
2017-03-17,13.31,13.54,13.27,13.41,13.41,84400
2017-03-20,13.32,13.65,13.26,13.5,13.5,33900
2017-03-21,13.69,13.71,13.3,13.33,13.33,85700
2017-03-22,13.23,13.27,13.04,13.11,13.11,44600
2017-03-23,13.05,13.24,13.03,13.08,13.08,28200
2017-03-24,13.17,13.38,13.03,13.07,13.07,21700
2017-03-27,12.96,13.08,12.79,12.99,12.99,37100
2017-03-28,13.05,13.09,12.9,13.04,13.04,15400
2017-03-29,13.14,13.26,13.1,13.14,13.14,35900
2017-03-30,13.13,13.13,12.96,13.01,13.01,25900
2017-03-31,12.85,13.0,12.85,12.88,12.88,54100
2017-04-03,12.89,13.1,12.87,12.99,12.99,26400
2017-04-04,13.02,13.1,12.95,13.04,13.04,38000
2017-04-05,13.27,13.38,13.1,13.11,13.11,60300
2017-04-06,13.9,13.94,13.63,13.73,13.73,123800
2017-04-07,13.67,13.83,13.64,13.68,13.68,36400
2017-04-10,13.68,13.77,13.4,13.46,13.46,35400
2017-04-11,13.45,13.69,12.95,13.39,13.39,102800
2017-04-12,13.35,13.35,13.1,13.23,13.23,22500
2017-04-13,13.18,13.36,13.0,13.07,13.07,60500
2017-04-17,13.05,13.3,12.95,12.98,12.98,91300
2017-04-18,12.91,12.98,12.16,12.67,12.67,105600
2017-04-19,12.98,13.03,12.83,12.92,12.92,27800
2017-04-20,13.06,13.16,12.92,13.0,13.0,42600
2017-04-21,12.93,13.0,12.81,12.98,12.98,29100
2017-04-24,13.0,13.14,12.94,13.12,13.12,35500
2017-04-25,13.21,13.55,13.18,13.45,13.45,49400
2017-04-26,13.42,13.61,13.31,13.35,13.35,41400
2017-04-27,12.36,12.4,11.5,11.67,11.67,232000
2017-04-28,11.48,11.97,11.48,11.86,11.86,128700
2017-05-01,12.04,12.25,12.04,12.14,12.14,82000
2017-05-02,12.12,12.13,12.0,12.05,12.05,113300
2017-05-03,12.52,12.52,12.01,12.18,12.18,57500
2017-05-04,12.44,12.6,12.3,12.36,12.36,89000
2017-05-05,12.4,12.47,12.2,12.38,12.38,84000
2017-05-08,12.57,12.74,12.5,12.71,12.71,56800
2017-05-09,12.94,12.96,12.62,12.72,12.72,54200
2017-05-10,13.05,13.09,12.88,13.03,13.03,71500
2017-05-11,12.9,13.02,12.75,12.83,12.83,87600
2017-05-12,12.8,12.82,12.5,12.61,12.61,82600
2017-05-15,12.7,13.44,12.7,13.36,13.36,175900
2017-05-16,13.47,13.47,12.93,13.09,13.09,91500
2017-05-17,13.0,13.14,12.67,12.86,12.86,178400
2017-05-18,13.04,13.06,12.73,12.85,12.85,141500
2017-05-19,12.8,12.86,12.61,12.77,12.77,105000
2017-05-22,12.74,12.77,12.35,12.59,12.59,131700
2017-05-23,12.65,12.68,12.33,12.36,12.36,115100
2017-05-24,12.47,12.55,12.32,12.4,12.4,167600
2017-05-25,12.47,12.79,12.47,12.54,12.54,128000
2017-05-26,12.5,12.61,12.3,12.54,12.54,108200
2017-05-30,12.69,12.71,12.41,12.46,12.46,56200
2017-05-31,12.45,12.46,12.27,12.41,12.41,116300
2017-06-01,12.48,12.81,12.26,12.8,12.8,127300
2017-06-02,12.8,12.91,12.51,12.55,12.55,92100
2017-06-05,12.41,12.63,12.38,12.47,12.47,154500
2017-06-06,12.47,12.5,12.14,12.2,12.2,124300
2017-06-07,12.2,12.29,12.16,12.2,12.2,287800
2017-06-08,12.24,12.29,11.99,12.08,12.08,96800
2017-06-09,12.05,12.16,11.83,11.96,11.96,115500
2017-06-12,11.89,12.16,11.78,12.14,12.14,193000
2017-06-13,12.17,12.17,11.78,12.01,12.01,189100
2017-06-14,12.22,12.45,12.14,12.28,12.28,160700
2017-06-15,12.15,12.15,11.67,11.7,11.7,118200
2017-06-16,11.61,11.7,11.12,11.37,11.37,352400
2017-06-19,11.38,11.49,11.3,11.47,11.47,159600
2017-06-20,11.48,11.55,11.36,11.4,11.4,118800
2017-06-21,11.41,11.73,11.4,11.68,11.68,207700
2017-06-22,11.67,12.01,11.63,11.88,11.88,324600
2017-06-23,11.88,12.01,11.63,11.71,11.71,2698500
2017-06-26,11.74,11.88,11.62,11.7,11.7,264100
2017-06-27,11.68,11.85,11.41,11.46,11.46,223500
2017-06-28,11.48,11.53,11.22,11.45,11.45,145700
2017-06-29,11.6,11.62,11.04,11.09,11.09,136000
2017-06-30,11.1,11.31,10.99,11.19,11.19,119400
2017-07-03,11.22,11.23,11.04,11.11,11.11,46600
