Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.95,5.15,4.95,5.05,5.05,168200
2017-01-04,5.15,5.45,5.08,5.45,5.45,197100
2017-01-05,5.4,6.05,5.35,6.0,6.0,279100
2017-01-06,6.0,6.08,5.65,5.9,5.9,353100
2017-01-09,6.0,6.05,5.65,5.65,5.65,136400
2017-01-10,5.65,6.0,5.45,5.9,5.9,228200
2017-01-11,5.85,5.95,5.6,5.7,5.7,94200
2017-01-12,5.6,5.6,5.41,5.5,5.5,107700
2017-01-13,5.5,5.75,5.5,5.65,5.65,59800
2017-01-17,5.75,5.75,5.35,5.35,5.35,95100
2017-01-18,5.45,5.55,5.3,5.5,5.5,116700
2017-01-19,5.5,5.5,5.3,5.3,5.3,60000
2017-01-20,5.3,5.45,5.25,5.4,5.4,126900
2017-01-23,5.4,5.45,5.2,5.2,5.2,64400
2017-01-24,5.2,5.3,5.1,5.3,5.3,200500
2017-01-25,5.35,5.45,5.25,5.45,5.45,68600
2017-01-26,5.4,5.5,5.2,5.25,5.25,57300
2017-01-27,5.25,5.45,5.25,5.35,5.35,48200
2017-01-30,5.35,5.35,5.1,5.25,5.25,85500
2017-01-31,5.2,5.43,5.15,5.4,5.4,125000
2017-02-01,5.4,5.4,5.1,5.1,5.1,95600
2017-02-02,5.15,5.28,5.1,5.15,5.15,90000
2017-02-03,5.2,5.2,5.05,5.1,5.1,123700
2017-02-06,5.2,5.71,5.2,5.5,5.5,482500
2017-02-07,5.55,5.65,5.45,5.5,5.5,118100
2017-02-08,5.5,5.6,5.3,5.4,5.4,93800
2017-02-09,5.4,5.5,5.4,5.5,5.5,73600
2017-02-10,5.5,5.6,5.4,5.5,5.5,100500
2017-02-13,5.5,5.65,5.48,5.6,5.6,164200
2017-02-14,5.55,5.7,5.5,5.7,5.7,127100
2017-02-15,5.7,5.73,5.56,5.65,5.65,77400
2017-02-16,5.65,5.65,5.6,5.63,5.63,82800
2017-02-17,5.65,5.65,5.5,5.55,5.55,100800
2017-02-21,5.55,5.58,5.2,5.25,5.25,198900
2017-02-22,5.3,5.4,5.2,5.25,5.25,79500
2017-02-23,5.3,5.3,5.2,5.2,5.2,68400
2017-02-24,5.2,5.25,5.0,5.1,5.1,245100
