Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,0.44,0.48,0.43,0.45,0.45,15200
2017-01-04,0.48,0.48,0.46,0.46,0.46,8300
2017-01-05,0.47,0.48,0.47,0.48,0.48,11200
2017-01-06,0.47,0.51,0.47,0.47,0.47,9800
2017-01-09,0.48,0.5,0.47,0.48,0.48,9900
2017-01-10,0.47,0.52,0.47,0.48,0.48,18400
2017-01-11,0.48,0.7,0.48,0.6,0.6,1056500
2017-01-12,0.62,0.62,0.51,0.56,0.56,263400
2017-01-13,0.56,0.59,0.52,0.52,0.52,75600
2017-01-17,0.52,0.63,0.52,0.59,0.59,189700
2017-01-18,0.59,0.62,0.57,0.58,0.58,44500
2017-01-19,0.6,0.6,0.55,0.57,0.57,69400
2017-01-20,0.52,0.54,0.52,0.52,0.52,20800
2017-01-23,0.57,0.57,0.52,0.53,0.53,30100
2017-01-24,0.54,0.59,0.53,0.55,0.55,23600
2017-01-25,0.55,0.55,0.52,0.53,0.53,16800
2017-01-26,0.53,0.53,0.52,0.53,0.53,21400
2017-01-27,0.54,0.55,0.52,0.54,0.54,10000
2017-01-30,0.54,0.57,0.52,0.56,0.56,26100
2017-01-31,0.54,0.55,0.52,0.52,0.52,16900
2017-02-01,0.52,0.59,0.49,0.53,0.53,45300
2017-02-02,0.53,0.54,0.52,0.53,0.53,26400
2017-02-03,0.55,0.55,0.53,0.54,0.54,27200
2017-02-06,0.55,0.55,0.51,0.51,0.51,22900
2017-02-07,0.53,0.6,0.52,0.57,0.57,147300
2017-02-08,0.59,0.64,0.57,0.62,0.62,365100
2017-02-09,0.65,0.66,0.58,0.62,0.62,62900
2017-02-10,0.61,0.62,0.55,0.58,0.58,52000
2017-02-13,0.58,0.6,0.54,0.57,0.57,63600
2017-02-14,0.58,0.6,0.55,0.6,0.6,11000
2017-02-15,0.6,0.6,0.57,0.57,0.57,32300
2017-02-16,0.6,0.6,0.54,0.54,0.54,15600
2017-02-17,0.57,0.57,0.54,0.57,0.57,32600
2017-02-21,0.58,0.6,0.57,0.58,0.58,14700
2017-02-22,0.57,0.59,0.54,0.59,0.59,129300
2017-02-23,0.59,0.64,0.59,0.6,0.6,141600
2017-02-24,0.6,0.6,0.54,0.58,0.58,85100
2017-02-27,0.58,0.61,0.58,0.61,0.61,12400
2017-02-28,0.63,0.63,0.59,0.6,0.6,83200
2017-03-01,0.62,0.63,0.56,0.56,0.56,17800
2017-03-02,0.61,0.62,0.55,0.61,0.61,84700
2017-03-03,0.6,0.62,0.59,0.6,0.6,101700
2017-03-06,0.6,0.63,0.59,0.61,0.61,30300
2017-03-07,0.6,0.61,0.55,0.58,0.58,40800
2017-03-08,0.58,0.61,0.56,0.59,0.59,41200
2017-03-09,0.59,0.6,0.55,0.59,0.59,29600
2017-03-10,0.59,0.61,0.59,0.59,0.59,28900
2017-03-13,0.59,0.6,0.58,0.6,0.6,36300
2017-03-14,0.63,0.63,0.6,0.63,0.63,12300
2017-03-15,0.63,0.63,0.6,0.61,0.61,15400
2017-03-16,0.62,0.62,0.59,0.62,0.62,12100
2017-03-17,0.6,0.63,0.58,0.58,0.58,44300
2017-03-20,0.59,0.6,0.58,0.59,0.59,14300
2017-03-21,0.59,0.59,0.57,0.58,0.58,25000
2017-03-22,0.6,0.6,0.58,0.6,0.6,18000
2017-03-23,0.6,0.63,0.6,0.61,0.61,14000
2017-03-24,0.62,0.62,0.6,0.61,0.61,43800
2017-03-27,0.58,0.62,0.58,0.59,0.59,3800
2017-03-28,0.61,0.62,0.6,0.6,0.6,24000
2017-03-29,0.61,0.62,0.61,0.62,0.62,12900
2017-03-30,0.61,0.63,0.61,0.62,0.62,28700
2017-03-31,0.61,0.62,0.6,0.61,0.61,30600
2017-04-03,0.6,0.62,0.6,0.6,0.6,19700
2017-04-04,0.61,0.61,0.58,0.6,0.6,35900
2017-04-05,0.61,0.61,0.58,0.58,0.58,45800
2017-04-06,0.56,0.57,0.5,0.53,0.53,65900
2017-04-07,2.31,5.4,2.31,3.32,3.32,2181200
2017-04-10,2.98,3.27,2.76,3.01,3.01,133900
2017-04-11,2.93,2.99,2.74,2.99,2.99,63500
2017-04-12,2.82,2.99,2.81,2.84,2.84,14900
2017-04-13,2.82,2.97,2.69,2.94,2.94,34700
2017-04-17,3.05,3.07,2.94,3.05,3.05,41200
2017-04-18,2.81,3.09,2.81,3.01,3.01,12300
2017-04-19,3.0,3.2,2.88,3.09,3.09,22200
2017-04-20,3.1,3.68,3.1,3.36,3.36,118500
2017-04-21,3.32,3.94,3.3,3.84,3.84,107800
2017-04-24,4.26,5.01,3.86,3.97,3.97,406900
2017-04-25,3.86,4.05,3.54,3.94,3.94,92900
2017-04-26,3.98,3.98,3.33,3.4,3.4,76400
2017-04-27,4.46,4.51,3.0,3.08,3.08,2318200
2017-04-28,3.03,3.19,2.87,2.92,2.92,124200
2017-05-01,2.91,2.96,2.75,2.88,2.88,80700
2017-05-02,2.85,2.86,2.7,2.74,2.74,108100
2017-05-03,2.72,2.76,2.61,2.69,2.69,38000
2017-05-04,2.69,2.86,2.65,2.86,2.86,37900
2017-05-05,2.84,2.9,2.61,2.7,2.7,43200
2017-05-08,2.66,2.8,2.6,2.75,2.75,27800
2017-05-09,2.73,2.85,2.65,2.8,2.8,43700
2017-05-10,2.78,2.8,2.7,2.79,2.79,32000
2017-05-11,2.71,2.81,2.69,2.7,2.7,17200
2017-05-12,2.53,2.57,2.4,2.56,2.56,50600
2017-05-15,2.5,2.5,2.4,2.47,2.47,39100
2017-05-16,2.42,2.44,2.25,2.39,2.39,31800
2017-05-17,2.37,2.38,2.29,2.33,2.33,13400
2017-05-18,2.35,2.9,2.28,2.7,2.7,197400
2017-05-19,2.68,2.74,2.46,2.73,2.73,17900
2017-05-22,2.71,2.79,2.57,2.64,2.64,63000
2017-05-23,2.65,2.77,2.62,2.62,2.62,11200
2017-05-24,2.7,2.7,2.6,2.64,2.64,20500
2017-05-25,2.56,2.7,2.56,2.69,2.69,8500
2017-05-26,2.67,3.0,2.67,2.84,2.84,145300
2017-05-30,2.86,2.86,2.6,2.65,2.65,35600
2017-05-31,2.69,2.69,2.48,2.58,2.58,14500
2017-06-01,2.5,2.58,2.46,2.5,2.5,10500
2017-06-02,2.62,2.62,2.43,2.45,2.45,6900
2017-06-05,2.42,2.61,2.31,2.6,2.6,18600
2017-06-06,2.57,2.64,2.4,2.58,2.58,13700
2017-06-07,2.52,2.85,2.5,2.7,2.7,70600
2017-06-08,2.74,2.96,2.71,2.72,2.72,48400
2017-06-09,2.71,2.83,2.57,2.73,2.73,21500
2017-06-12,2.79,2.84,2.56,2.6,2.6,59800
2017-06-13,2.65,2.71,2.59,2.59,2.59,3400
2017-06-14,2.67,2.68,2.51,2.62,2.62,30500
2017-06-15,2.62,2.74,2.6,2.73,2.73,39000
2017-06-16,2.7,2.76,2.55,2.62,2.62,77400
2017-06-19,2.66,2.79,2.5,2.6,2.6,107000
2017-06-20,2.77,2.77,2.4,2.43,2.43,16800
2017-06-21,2.42,2.57,2.41,2.45,2.45,4700
2017-06-22,2.42,2.54,2.4,2.48,2.48,7200
2017-06-23,2.55,2.55,2.41,2.49,2.49,6100
2017-06-26,2.46,2.58,2.35,2.56,2.56,33900
2017-06-27,2.59,2.62,2.42,2.52,2.52,38000
2017-06-28,2.53,2.6,2.45,2.6,2.6,13500
2017-06-29,2.52,2.6,2.4,2.4,2.4,12300
2017-06-30,2.43,2.43,2.4,2.43,2.43,4300
2017-07-03,2.45,2.45,2.3,2.32,2.32,55200
2017-07-05,2.42,2.42,2.33,2.33,2.33,3800
2017-07-06,2.41,2.5,2.34,2.38,2.38,74500
2017-07-07,2.42,2.49,2.3,2.35,2.35,69400
2017-07-10,2.33,2.49,2.3,2.37,2.37,104600
2017-07-11,2.32,2.35,1.82,2.03,2.03,61900
2017-07-12,2.05,2.31,1.98,2.05,2.05,19100
2017-07-13,2.1,2.13,1.93,1.95,1.95,20800
2017-07-14,1.96,2.08,1.71,1.81,1.81,70500
2017-07-17,1.82,2.0,1.81,1.87,1.87,64100
2017-07-18,1.92,2.01,1.8,1.99,1.99,40900
2017-07-19,1.93,1.96,1.89,1.94,1.94,9500
2017-07-20,1.94,1.95,1.83,1.91,1.91,15500
2017-07-21,1.91,1.95,1.77,1.95,1.95,95700
2017-07-24,1.93,1.94,1.83,1.88,1.88,23600
2017-07-25,1.85,2.0,1.84,1.86,1.86,7900
2017-07-26,1.85,1.98,1.85,1.97,1.97,2700
2017-07-27,1.97,1.97,1.87,1.96,1.96,4100
2017-07-28,1.94,1.98,1.93,1.97,1.97,2200
2017-07-31,1.88,1.91,1.86,1.91,1.91,3800
2017-08-01,1.9,1.91,1.82,1.84,1.84,8800
2017-08-02,1.8,1.81,1.68,1.7,1.7,16100
2017-08-03,1.71,1.82,1.71,1.79,1.79,4300
2017-08-04,1.72,1.95,1.65,1.95,1.95,35500
2017-08-07,1.95,1.95,1.79,1.92,1.92,12400
2017-08-08,1.9,2.02,1.82,1.82,1.82,49200
2017-08-09,1.81,1.98,1.76,1.86,1.86,24300
2017-08-10,1.84,1.95,1.73,1.95,1.95,29100
2017-08-11,1.86,1.93,1.7,1.73,1.73,30600
2017-08-14,1.76,1.79,1.53,1.62,1.62,12300
2017-08-15,1.65,1.74,1.51,1.68,1.68,33700
2017-08-16,1.65,1.8,1.64,1.71,1.71,45000
2017-08-17,1.75,1.83,1.59,1.63,1.63,31300
2017-08-18,1.61,1.66,1.51,1.55,1.55,14200
2017-08-21,1.57,1.58,1.51,1.57,1.57,10200
2017-08-22,1.55,1.61,1.43,1.59,1.59,27300
2017-08-23,1.58,1.58,1.43,1.53,1.53,19500
2017-08-24,1.52,1.65,1.52,1.65,1.65,9200
2017-08-25,1.65,1.77,1.64,1.65,1.65,11800
2017-08-28,1.72,1.98,1.72,1.86,1.86,72600
2017-08-29,1.86,1.93,1.73,1.9,1.9,19800
2017-08-30,1.91,1.93,1.8,1.83,1.83,10700
2017-08-31,1.87,1.91,1.77,1.87,1.87,5000
2017-09-01,1.93,1.93,1.82,1.87,1.87,7900
2017-09-05,1.75,1.85,1.74,1.83,1.83,18200
2017-09-06,1.81,1.92,1.74,1.91,1.91,37200
2017-09-07,1.9,1.93,1.82,1.82,1.82,4300
2017-09-08,1.8,1.81,1.68,1.71,1.71,14100
2017-09-11,1.72,1.84,1.68,1.68,1.68,8600
2017-09-12,1.79,1.81,1.59,1.6,1.6,20100
2017-09-13,1.73,1.74,1.6,1.6,1.6,34000
2017-09-14,1.65,1.72,1.64,1.72,1.72,4600
2017-09-15,1.72,1.72,1.62,1.7,1.7,19700
2017-09-18,1.67,1.71,1.6,1.63,1.63,20100
2017-09-19,1.63,1.73,1.63,1.71,1.71,7500
2017-09-20,1.68,1.82,1.65,1.82,1.82,17500
2017-09-21,1.81,1.81,1.67,1.72,1.72,4000
2017-09-22,1.75,1.75,1.67,1.69,1.69,4500
2017-09-25,1.71,1.81,1.68,1.81,1.81,19300
2017-09-26,2.0,2.0,1.7,1.84,1.84,74200
2017-09-27,1.8,1.9,1.75,1.85,1.85,25900
2017-09-28,1.84,1.84,1.82,1.82,1.82,600
2017-09-29,1.77,1.7874,1.758,1.77,1.77,13562
