Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,12.2,14.47,11.928,14.38,14.38,1825200
2017-06-08,14.35,14.5,12.89,12.9,12.9,447800
2017-06-09,13.3,13.37,12.32,12.34,12.34,210400
2017-06-12,12.44,12.94,11.61,12.56,12.56,127900
2017-06-13,12.97,14.38,12.71,14.03,14.03,233700
2017-06-14,14.28,15.21,14.26,14.48,14.48,227500
2017-06-15,14.3,14.78,13.68,13.74,13.74,108900
2017-06-16,13.82,13.97,13.1,13.74,13.74,82500
2017-06-19,13.82,14.86,13.5,14.45,14.45,130200
2017-06-20,14.6,14.7,13.51,14.02,14.02,94300
2017-06-21,14.15,15.36,13.77,15.05,15.05,190800
2017-06-22,15.14,15.14,14.13,14.46,14.46,76800
2017-06-23,14.43,14.89,13.901,14.4,14.4,95000
2017-06-26,14.4,14.9,14.0,14.4,14.4,91700
2017-06-27,14.41,14.41,13.65,13.85,13.85,64600
2017-06-28,13.84,14.07,12.49,12.77,12.77,143500
2017-06-29,12.8,13.09,12.55,12.77,12.77,77800
2017-06-30,12.79,13.19,12.72,12.79,12.79,57700
2017-07-03,13.1,13.91,13.067,13.16,13.16,85300
2017-07-05,13.39,13.4,12.5,12.82,12.82,66600
2017-07-06,12.76,12.88,12.5,12.8,12.8,25800
2017-07-07,12.84,13.25,12.71,12.94,12.94,52500
2017-07-10,13.14,13.56,12.74,12.92,12.92,85300
2017-07-11,12.91,13.36,12.91,13.18,13.18,32800
2017-07-12,13.18,13.3,12.75,13.05,13.05,62600
2017-07-13,13.04,14.49,13.0,14.14,14.14,167600
2017-07-14,14.41,14.79,13.99,14.0,14.0,116600
2017-07-17,14.06,14.07,13.19,13.53,13.53,75400
2017-07-18,13.38,13.663,12.8,13.2,13.2,61400
2017-07-19,13.2,13.31,12.94,13.04,13.04,29700
2017-07-20,13.02,13.2,12.83,13.03,13.03,53700
2017-07-21,13.02,13.37,12.625,12.8,12.8,47700
2017-07-24,12.78,12.874,12.57,12.64,12.64,42900
2017-07-25,12.63,12.655,12.11,12.36,12.36,71600
2017-07-26,12.35,12.4,12.03,12.35,12.35,36300
2017-07-27,12.36,12.44,12.01,12.01,12.01,30400
2017-07-28,12.12,12.874,11.76,12.0,12.0,56100
2017-07-31,11.96,12.447,11.95,11.965,11.965,19700
2017-08-01,12.04,12.05,10.25,10.6,10.6,220600
2017-08-02,10.6,10.887,9.33,10.01,10.01,90600
2017-08-03,9.99,10.721,9.99,10.53,10.53,34500
2017-08-04,10.86,11.394,10.77,11.18,11.18,85000
2017-08-07,11.17,11.17,10.75,11.08,11.08,22700
2017-08-08,11.11,11.11,10.51,10.75,10.75,75500
2017-08-09,12.0,12.0,11.093,11.37,11.37,273200
2017-08-10,11.4,11.5,11.0,11.08,11.08,86200
2017-08-11,11.13,11.579,11.0,11.5,11.5,63600
2017-08-14,11.67,12.26,11.65,12.17,12.17,134200
2017-08-15,12.2,12.7,11.76,12.49,12.49,78100
2017-08-16,12.5,12.777,11.88,12.11,12.11,81800
2017-08-17,12.02,12.341,11.5,11.73,11.73,31000
2017-08-18,11.68,12.097,11.29,11.59,11.59,23100
2017-08-21,11.6,12.249,11.47,12.12,12.12,27900
2017-08-22,12.15,12.29,11.692,11.77,11.77,26900
2017-08-23,11.65,11.92,11.5,11.7,11.7,17800
2017-08-24,12.0,12.14,11.75,12.0,12.0,35200
2017-08-25,12.1,12.15,11.81,12.0,12.0,20800
2017-08-28,12.19,12.9,12.12,12.35,12.35,63800
2017-08-29,12.28,12.57,11.7,12.11,12.11,72500
2017-08-30,12.08,12.099,11.51,11.85,11.85,39800
2017-08-31,11.85,11.858,11.36,11.5,11.5,32600
2017-09-01,11.5,11.75,11.4,11.48,11.48,8100
2017-09-05,11.42,11.84,11.17,11.31,11.31,31400
2017-09-06,11.35,11.35,10.67,10.94,10.94,88600
2017-09-07,10.9,11.15,10.9,11.13,11.13,35000
2017-09-08,11.1,11.15,10.51,10.6,10.6,66500
2017-09-11,10.59,11.15,10.59,10.86,10.86,36800
2017-09-12,10.85,11.15,10.79,11.1,11.1,24400
2017-09-13,11.1,11.15,11.0,11.08,11.08,29800
2017-09-14,11.15,11.17,11.04,11.17,11.17,23700
2017-09-15,11.14,11.15,10.87,10.87,10.87,103800
2017-09-18,10.86,11.0,10.75,10.88,10.88,32600
2017-09-19,10.92,12.0,10.82,11.84,11.84,166300
2017-09-20,11.61,11.93,11.511,11.83,11.83,30700
2017-09-21,11.8,11.8,11.51,11.56,11.56,19400
2017-09-22,11.55,11.7,11.52,11.7,11.7,18400
2017-09-25,11.71,11.944,11.42,11.56,11.56,15800
2017-09-26,11.73,11.73,11.43,11.49,11.49,11100
2017-09-27,11.55,11.99,11.36,11.84,11.84,41800
2017-09-28,11.98,12.88,11.82,12.87,12.87,135800
2017-09-29,12.9,13.46,12.37,13.45,13.45,101100
