Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,0.79,0.85,0.79,0.83,0.83,156900
2017-01-04,0.85,0.85,0.81,0.81,0.81,43900
2017-01-05,0.8,0.83,0.8,0.81,0.81,41700
2017-01-06,0.83,0.83,0.77,0.8,0.8,26900
2017-01-09,0.79,0.81,0.75,0.75,0.75,37800
2017-01-10,0.79,0.8,0.75,0.8,0.8,47700
2017-01-11,0.84,0.85,0.66,0.73,0.73,421400
2017-01-12,0.75,0.75,0.73,0.75,0.75,137700
2017-01-13,0.75,0.75,0.68,0.7,0.7,186600
2017-01-17,0.7,0.71,0.69,0.69,0.69,70400
2017-01-18,0.68,0.7,0.67,0.67,0.67,31700
2017-01-19,0.7,0.75,0.69,0.71,0.71,339600
2017-01-20,0.7,0.7,0.65,0.7,0.7,67500
2017-01-23,0.7,0.7,0.67,0.69,0.69,35700
2017-01-24,0.7,0.7,0.66,0.69,0.69,68200
2017-01-25,0.69,0.8,0.69,0.73,0.73,216000
2017-01-26,0.77,0.78,0.73,0.75,0.75,102800
2017-01-27,0.75,0.75,0.74,0.74,0.74,16400
2017-01-30,0.75,0.77,0.74,0.75,0.75,163700
2017-01-31,0.75,0.77,0.74,0.76,0.76,116500
2017-02-01,0.76,0.77,0.74,0.75,0.75,46400
2017-02-02,0.74,0.74,0.68,0.69,0.69,116800
2017-02-03,0.73,0.73,0.65,0.7,0.7,67600
2017-02-06,0.67,0.72,0.66,0.7,0.7,43000
2017-02-07,0.72,0.72,0.64,0.66,0.66,105900
2017-02-08,0.68,0.68,0.61,0.63,0.63,105200
2017-02-09,0.63,0.63,0.57,0.57,0.57,218200
2017-02-10,0.57,0.6,0.57,0.59,0.59,87900
2017-02-13,0.59,0.59,0.56,0.56,0.56,120700
2017-02-14,0.56,0.59,0.54,0.58,0.58,159600
2017-02-15,0.58,0.6,0.55,0.59,0.59,303700
2017-02-16,0.6,0.6,0.55,0.57,0.57,102500
2017-02-17,0.58,0.73,0.56,0.7,0.7,1510100
2017-02-21,0.7,0.74,0.66,0.7,0.7,290500
2017-02-22,0.74,0.74,0.66,0.7,0.7,102600
2017-02-23,0.7,0.7,0.66,0.69,0.69,106800
2017-02-24,0.69,0.7,0.65,0.68,0.68,96200
2017-02-27,0.68,0.68,0.6,0.65,0.65,78200
2017-02-28,0.61,0.65,0.6,0.62,0.62,142500
2017-03-01,0.6,0.65,0.6,0.62,0.62,186000
2017-03-02,0.63,0.65,0.61,0.65,0.65,216600
2017-03-03,0.66,0.66,0.59,0.63,0.63,88100
2017-03-06,0.6,0.65,0.57,0.58,0.58,209200
2017-03-07,0.58,0.6,0.54,0.57,0.57,135800
2017-03-08,0.63,0.63,0.56,0.6,0.6,49000
