Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.9,16.200001,15.8,15.8,15.8,139600
2017-01-04,15.7,16.4,15.65,16.299999,16.299999,199500
2017-01-05,16.299999,16.6,16.18,16.35,16.35,127400
2017-01-06,16.35,16.35,16.0,16.0,16.0,134100
2017-01-09,15.95,16.5,15.95,16.25,16.25,170500
2017-01-10,16.299999,16.5,16.25,16.35,16.35,89200
2017-01-11,16.450001,16.68,16.25,16.65,16.65,144300
2017-01-12,16.700001,16.700001,16.299999,16.5,16.5,197900
2017-01-13,16.549999,16.9,16.5,16.6,16.6,122700
2017-01-17,16.6,16.799999,16.5,16.5,16.5,133500
2017-01-18,16.450001,16.52,16.1,16.200001,16.200001,117500
2017-01-19,16.15,16.200001,15.75,15.9,15.9,161900
2017-01-20,15.9,16.049999,15.75,15.8,15.8,125400
2017-01-23,15.95,17.35,15.95,17.200001,17.200001,583000
2017-01-24,17.200001,17.65,17.15,17.5,17.5,334900
2017-01-25,17.25,18.0,17.049999,17.950001,17.950001,286400
2017-01-26,17.799999,17.950001,17.65,17.799999,17.799999,209900
2017-01-27,17.700001,17.9,17.5,17.799999,17.799999,115500
2017-01-30,17.6,17.65,17.43,17.5,17.5,156800
2017-01-31,17.5,17.549999,17.299999,17.549999,17.549999,170000
2017-02-01,17.6,17.950001,17.6,17.85,17.85,213200
2017-02-02,17.85,18.08,17.700001,17.9,17.9,237300
2017-02-03,18.049999,18.15,17.67,17.85,17.85,196800
2017-02-06,17.75,18.1,17.65,18.0,18.0,209500
2017-02-07,18.0,18.65,18.0,18.299999,18.299999,308500
2017-02-08,18.35,18.450001,18.0,18.15,18.15,215600
2017-02-09,18.299999,19.1,18.25,18.65,18.65,731400
2017-02-10,23.6,25.25,23.049999,24.450001,24.450001,3881800
2017-02-13,25.0,26.5,24.700001,25.1,25.1,1815100
2017-02-14,25.1,25.35,24.6,25.25,25.25,1008000
2017-02-15,25.0,25.9,24.85,25.65,25.65,591400
2017-02-16,25.549999,26.280001000000002,25.5,26.23,26.23,591000
2017-02-17,26.200001,28.6,26.049999,27.799999,27.799999,1437500
2017-02-21,28.200001,28.4,27.049999,27.75,27.75,901300
2017-02-22,27.4,27.65,26.85,27.15,27.15,881100
2017-02-23,26.950001,27.129998999999998,25.950001,26.6,26.6,728700
2017-02-24,26.25,27.5,26.200001,27.15,27.15,498200
2017-02-27,27.049999,29.25,27.0,28.9,28.9,1017000
2017-02-28,29.25,29.299999,28.200001,28.25,28.25,693900
2017-03-01,28.9,29.85,28.65,29.0,29.0,885400
2017-03-02,29.1,29.35,28.700001,29.1,29.1,673300
2017-03-03,29.0,29.6,28.4,28.799999,28.799999,431800
2017-03-06,28.75,28.75,27.83,28.549999,28.549999,493700
2017-03-07,28.299999,29.110001,28.0,28.6,28.6,392400
2017-03-08,28.6,29.1,28.450001,28.6,28.6,271600
2017-03-09,28.5,28.85,28.15,28.75,28.75,338500
2017-03-10,28.450001,28.75,26.9,27.5,27.5,863100
2017-03-13,27.35,27.5,26.85,27.25,27.25,467400
2017-03-14,27.299999,27.85,27.139999,27.549999,27.549999,355900
2017-03-15,27.65,28.15,27.450001,28.0,28.0,343500
2017-03-16,28.1,28.4,28.0,28.25,28.25,234400
2017-03-17,28.4,28.4,27.65,27.9,27.9,258700
2017-03-20,27.85,28.25,27.6,28.049999,28.049999,204900
2017-03-21,28.1,29.049999,28.049999,28.1,28.1,649000
2017-03-22,28.200001,28.700001,27.85,28.450001,28.450001,258200
2017-03-23,28.35,30.6,28.299999,30.049999,30.049999,999700
2017-03-24,30.299999,30.559998999999998,29.299999,29.700001,29.700001,499600
2017-03-27,28.65,28.65,25.950001,27.700001,27.700001,1173500
2017-03-28,27.700001,28.200001,27.15,27.5,27.5,393100
2017-03-29,27.5,27.809998999999998,27.25,27.25,27.25,272000
2017-03-30,27.15,27.299999,26.129998999999998,26.35,26.35,771800
2017-03-31,26.200001,26.73,26.0,26.549999,26.549999,326200
2017-04-03,26.6,26.93,25.85,26.299999,26.299999,288600
2017-04-04,26.299999,26.799999,26.0,26.5,26.5,233300
2017-04-05,26.799999,27.23,26.33,26.5,26.5,363400
2017-04-06,26.4,26.9,26.1,26.5,26.5,294100
2017-04-07,26.4,26.6,26.049999,26.1,26.1,215100
2017-04-10,26.25,26.549999,25.950001,26.1,26.1,227000
2017-04-11,26.0,26.200001,25.4,26.0,26.0,286700
2017-04-12,26.0,26.209999,25.5,25.5,25.5,294900
2017-04-13,25.4,25.5,24.799999,25.0,25.0,433000
2017-04-17,25.049999,25.4,25.049999,25.299999,25.299999,177600
2017-04-18,25.25,25.35,24.9,24.950001,24.950001,146000
2017-04-19,24.950001,25.65,24.950001,25.35,25.35,262300
2017-04-20,25.200001,25.6,25.049999,25.299999,25.299999,227900
2017-04-21,25.35,25.6,25.0,25.049999,25.049999,276900
2017-04-24,25.15,25.5,24.9,25.4,25.4,201800
2017-04-25,25.450001,25.9,25.35,25.65,25.65,290200
2017-04-26,25.700001,25.75,25.200001,25.200001,25.200001,178700
2017-04-27,25.299999,25.450001,25.0,25.299999,25.299999,199900
2017-04-28,25.299999,25.5,25.049999,25.299999,25.299999,222200
2017-05-01,25.25,25.6,25.1,25.35,25.35,206000
2017-05-02,25.35,25.5,25.0,25.049999,25.049999,207600
2017-05-03,25.1,25.15,24.5,24.700001,24.700001,300700
2017-05-04,24.799999,24.969998999999998,24.299999,24.799999,24.799999,502400
2017-05-05,28.4,29.5,26.6,28.450001,28.450001,2267600
2017-05-08,28.5,28.91,28.35,28.4,28.4,542000
2017-05-09,28.5,28.65,27.879998999999998,28.15,28.15,470400
2017-05-10,28.1,28.5,28.0,28.25,28.25,306700
2017-05-11,28.15,28.25,27.799999,27.799999,27.799999,367200
2017-05-12,27.9,28.15,27.549999,28.1,28.1,360200
2017-05-15,28.1,29.450001,28.049999,28.9,28.9,659500
2017-05-16,28.799999,29.200001,28.1,28.299999,28.299999,456200
2017-05-17,28.0,28.040001,26.15,26.299999,26.299999,915300
2017-05-18,26.049999,26.379998999999998,25.549999,26.25,26.25,410400
2017-05-19,26.25,27.1,26.25,26.799999,26.799999,358600
2017-05-22,26.85,27.200001,26.5,26.950001,26.950001,257100
2017-05-23,27.1,27.129998999999998,26.35,26.85,26.85,272200
2017-05-24,26.9,27.15,26.65,27.0,27.0,294600
2017-05-25,27.15,27.200001,26.85,27.15,27.15,271800
2017-05-26,27.15,27.15,26.5,26.75,26.75,262400
2017-05-30,26.549999,27.450001,26.549999,27.35,27.35,495100
2017-05-31,27.4,27.700001,27.0,27.049999,27.049999,288500
2017-06-01,27.25,29.0,27.25,28.85,28.85,528700
2017-06-02,29.049999,29.049999,28.01,28.75,28.75,460500
2017-06-05,28.799999,28.85,28.200001,28.450001,28.450001,284800
