Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.15,3.15,3.1,3.15,3.15,57600
2017-01-04,3.15,3.15,3.1,3.1,3.1,63700
2017-01-05,3.1,3.15,3.1,3.15,3.15,32600
2017-01-06,3.15,3.15,3.1,3.15,3.15,19600
2017-01-09,3.15,3.15,3.1,3.15,3.15,46800
2017-01-10,3.15,3.15,3.05,3.05,3.05,103900
2017-01-11,3.05,3.25,3.05,3.25,3.25,120100
2017-01-12,3.2,3.35,3.2,3.3,3.3,130400
2017-01-13,3.3,3.3,3.25,3.3,3.3,50700
2017-01-17,3.25,3.3,3.15,3.2,3.2,127100
2017-01-18,3.2,3.2,3.15,3.2,3.2,49100
2017-01-19,3.15,3.18,3.05,3.1,3.1,177800
2017-01-20,3.1,3.1,3.05,3.1,3.1,58600
2017-01-23,3.05,3.15,3.05,3.1,3.1,59000
2017-01-24,3.15,3.15,2.95,3.05,3.05,144800
2017-01-25,3.05,3.1,3.0,3.05,3.05,70600
2017-01-26,3.0,3.1,3.0,3.1,3.1,43700
2017-01-27,3.1,3.15,3.08,3.15,3.15,99000
2017-01-30,3.15,3.2,3.1,3.15,3.15,35300
2017-01-31,3.1,3.15,3.05,3.15,3.15,51300
2017-02-01,3.15,3.15,3.05,3.15,3.15,80500
2017-02-02,3.15,3.2,3.1,3.15,3.15,68000
2017-02-03,3.1,3.15,3.1,3.15,3.15,27100
2017-02-06,3.1,3.1,3.05,3.1,3.1,62500
2017-02-07,3.05,3.15,3.05,3.1,3.1,48800
2017-02-08,3.05,3.1,2.95,3.05,3.05,146600
2017-02-09,3.05,3.05,2.9,3.05,3.05,152800
2017-02-10,3.05,3.05,3.0,3.05,3.05,71200
2017-02-13,3.0,3.15,3.0,3.15,3.15,149200
2017-02-14,3.1,3.25,3.1,3.15,3.15,226200
2017-02-15,3.15,3.25,3.1,3.2,3.2,124000
2017-02-16,3.15,3.2,3.1,3.15,3.15,45300
2017-02-17,3.15,3.15,3.1,3.15,3.15,60300
2017-02-21,3.2,3.25,3.05,3.15,3.15,227500
2017-02-22,3.11,3.15,3.05,3.1,3.1,86700
2017-02-23,3.0,3.1,3.0,3.1,3.1,73100
2017-02-24,3.1,3.1,3.05,3.1,3.1,37200
2017-02-27,3.05,3.1,3.05,3.1,3.1,64300
2017-02-28,3.05,3.1,3.0,3.0,3.0,157800
2017-03-01,3.05,3.1,3.0,3.05,3.05,43500
2017-03-02,3.05,3.1,3.05,3.1,3.1,35700
2017-03-03,3.05,3.1,3.05,3.05,3.05,52700
2017-03-06,3.05,3.1,3.05,3.1,3.1,29500
2017-03-07,3.05,3.1,3.05,3.1,3.1,17700
2017-03-08,3.05,3.1,3.05,3.1,3.1,20200
2017-03-09,3.08,3.1,3.05,3.1,3.1,31300
2017-03-10,3.1,3.1,3.05,3.05,3.05,55700
2017-03-13,3.05,3.1,3.05,3.1,3.1,35400
2017-03-14,3.1,3.13,3.05,3.1,3.1,92500
2017-03-15,3.05,3.2,3.05,3.15,3.15,96300
2017-03-16,3.15,3.3,3.05,3.25,3.25,388000
2017-03-17,3.3,3.35,3.2,3.35,3.35,242400
