Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,15.35,15.35,15.18,15.19,15.19,1800
2017-01-04,15.17,15.17,15.17,15.17,15.17,100
2017-01-05,15.19,15.25,15.19,15.2,15.2,1700
2017-01-06,15.3,15.3,15.12,15.14,15.14,1200
2017-01-09,15.11,15.11,15.11,15.11,15.11,200
2017-01-10,15.11,15.11,15.11,15.11,15.11,0
2017-01-11,14.94,15.14,14.94,14.97,14.97,3500
2017-01-12,14.25,14.88,14.25,14.74,14.74,2400
2017-01-13,14.57,14.75,14.4,14.75,14.75,6700
2017-01-17,14.77,14.98,14.76,14.98,14.98,8600
2017-01-18,14.9,14.9,14.4,14.4,14.4,800
2017-01-19,14.97,14.97,14.49,14.57,14.57,3000
2017-01-20,14.57,14.57,14.57,14.57,14.57,0
2017-01-23,14.71,14.71,14.71,14.71,14.71,500
2017-01-24,14.75,14.75,14.64,14.74,14.74,3300
2017-01-25,14.6,14.76,14.6,14.76,14.76,500
2017-01-26,14.88,14.88,14.7,14.72,14.72,6500
2017-01-27,14.68,14.88,14.68,14.71,14.71,1300
2017-01-30,14.74,14.74,14.66,14.66,14.66,2400
2017-01-31,14.69,14.85,14.63,14.65,14.65,4700
2017-02-01,14.65,14.65,14.65,14.65,14.65,0
2017-02-02,14.8,14.8,14.6,14.65,14.65,2300
2017-02-03,14.61,14.87,14.61,14.62,14.62,9300
2017-02-06,14.61,14.82,14.6,14.66,14.66,2000
2017-02-07,14.94,14.94,14.94,14.94,14.94,600
2017-02-08,14.71,14.71,14.71,14.71,14.71,100
2017-02-09,14.63,14.64,14.63,14.64,14.64,700
2017-02-10,14.67,14.67,14.67,14.67,14.67,300
2017-02-13,14.58,14.67,14.56,14.56,14.56,3100
2017-02-14,14.52,14.6,14.52,14.57,14.57,500
2017-02-15,14.6,14.6,14.6,14.6,14.6,200
2017-02-16,14.57,14.57,14.55,14.55,14.55,1300
2017-02-17,14.5,14.52,14.45,14.46,14.46,4900
2017-02-21,14.46,14.65,14.46,14.57,14.57,600
2017-02-22,14.62,14.65,14.46,14.46,14.46,4600
2017-02-23,14.53,14.53,14.5,14.5,14.5,500
2017-02-24,14.53,14.54,14.53,14.53,14.53,1600
2017-02-27,14.54,14.54,14.48,14.52,14.52,1400
2017-02-28,14.45,14.51,14.45,14.48,14.48,700
2017-03-01,14.52,14.52,14.27,14.27,14.27,3400
2017-03-02,14.29,14.44,14.26,14.44,14.44,1600
2017-03-03,14.3,14.3,14.3,14.3,14.3,400
2017-03-06,14.37,14.37,14.37,14.37,14.37,100
2017-03-07,14.27,14.4,14.01,14.35,14.35,5200
2017-03-08,14.27,14.27,14.27,14.27,14.27,100
2017-03-09,14.27,14.27,14.27,14.27,14.27,0
2017-03-10,14.4,14.4,14.17,14.17,14.17,400
