Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,35.700001,36.700001,35.299999,36.450001,36.450001,76700
2017-01-04,36.950001,37.700001,36.700001,37.450001,37.450001,68300
2017-01-05,37.549999,37.950001,37.400002,37.700001,37.700001,39100
2017-01-06,38.150002,38.150002,36.849998,37.0,37.0,155400
2017-01-09,37.299999,38.0,37.099998,37.950001,37.950001,93200
2017-01-10,38.0,38.080002,37.5,37.950001,37.950001,153900
2017-01-11,37.650002,38.049999,37.150002,37.400002,37.400002,66100
2017-01-12,37.450001,37.5,36.950001,37.349998,37.349998,53800
2017-01-13,37.5,38.150002,37.450001,38.0,38.0,36800
2017-01-17,38.299999,38.450001,37.700001,38.099998,38.099998,64800
2017-01-18,38.25,38.25,37.049999,37.25,37.25,95700
2017-01-19,37.25,37.349998,36.0,36.349998,36.349998,48200
2017-01-20,37.0,43.450001,37.0,43.150002,43.150002,252100
2017-01-23,43.0,48.849998,42.950001,47.900002,47.900002,331300
2017-01-24,48.049999,48.950001,47.25,48.950001,48.950001,228400
2017-01-25,49.299999,50.299999,48.400002,49.0,49.0,123600
2017-01-26,49.0,49.93,49.0,49.849998,49.849998,74700
2017-01-27,49.900002,52.75,49.900002,51.450001,51.450001,130200
2017-01-30,51.25,51.450001,49.150002,50.099998,50.099998,72000
2017-01-31,49.799999,51.450001,49.16,51.150002,51.150002,55300
2017-02-01,50.849998,51.950001,50.549999,51.549999,51.549999,81400
2017-02-02,50.349998,51.799999,48.200001,49.450001,49.450001,105500
2017-02-03,49.450001,49.799999,47.5,48.200001,48.200001,104000
2017-02-06,47.950001,48.700001,47.599998,48.599998,48.599998,96600
2017-02-07,48.799999,50.43,47.849998,48.400002,48.400002,124900
2017-02-08,44.0,46.900002,42.950001,45.900002,45.900002,285000
2017-02-09,45.799999,48.049999,45.75,47.5,47.5,84100
2017-02-10,47.799999,48.150002,46.400002,46.549999,46.549999,95100
2017-02-13,46.549999,46.959998999999996,44.799999,45.75,45.75,114100
2017-02-14,45.650002,45.799999,44.75,45.650002,45.650002,119400
2017-02-15,45.549999,45.849998,44.849998,45.5,45.5,66700
2017-02-16,45.450001,45.700001,44.799999,45.25,45.25,50200
2017-02-17,45.299999,45.349998,44.450001,44.849998,44.849998,105600
2017-02-21,44.950001,45.049999,44.150002,44.349998,44.349998,69000
2017-02-22,44.349998,47.25,44.25,47.25,47.25,98300
2017-02-23,47.5,47.5,45.150002,45.75,45.75,77400
2017-02-24,45.650002,46.400002,45.5,45.799999,45.799999,38900
2017-02-27,45.849998,46.099998,45.599998,45.900002,45.900002,41400
2017-02-28,45.900002,46.0,45.200001,45.549999,45.549999,38900
2017-03-01,45.900002,48.950001,45.900002,47.549999,47.549999,93800
2017-03-02,47.549999,48.0,47.299999,47.549999,47.549999,52100
2017-03-03,47.5,48.549999,47.5,48.0,48.0,51600
2017-03-06,47.950001,48.549999,47.450001,47.549999,47.549999,69900
2017-03-07,47.5,48.150002,47.099998,47.200001,47.200001,47200
2017-03-08,47.200001,48.0,46.299999,46.799999,46.799999,103300
2017-03-09,46.799999,46.950001,46.299999,46.349998,46.349998,54500
2017-03-10,46.549999,47.5,46.400002,47.0,47.0,72100
2017-03-13,47.0,48.599998,46.25,47.599998,47.599998,97200
2017-03-14,47.549999,47.700001,47.0,47.349998,47.349998,65900
2017-03-15,47.200001,48.450001,47.150002,48.099998,48.099998,57800
2017-03-16,48.400002,50.150002,48.400002,49.549999,49.549999,64100
