Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.9,5.3,4.7,4.9,4.9,18700
2017-01-04,5.3,5.4,5.2,5.2,5.2,19900
2017-01-05,5.2,5.4,5.1,5.1,5.1,33400
2017-01-06,5.4,5.6,5.0,5.6,5.6,94300
2017-01-09,5.9,5.9,5.5,5.5,5.5,45200
2017-01-10,5.5,5.8,5.4,5.7,5.7,69000
2017-01-11,5.5,5.9,5.5,5.7,5.7,33700
2017-01-12,5.8,5.9,5.5,5.6,5.6,36800
2017-01-13,5.5,5.8,5.5,5.7,5.7,35800
2017-01-17,5.8,6.0,5.5,5.8,5.8,152300
2017-01-18,5.8,6.8,5.8,6.6,6.6,18200
2017-01-19,6.7,6.8,6.5,6.5,6.5,46300
2017-01-20,6.8,6.8,6.4,6.7,6.7,32500
2017-01-23,6.9,6.9,6.1,6.4,6.4,72100
2017-01-24,6.4,6.9,6.0,6.5,6.5,14400
2017-01-25,7.2,7.5,6.5,6.8,6.8,584900
2017-01-26,6.9,6.9,6.2,6.6,6.6,122500
2017-01-27,6.6,6.8,6.1,6.5,6.5,52800
2017-01-30,6.5,6.5,5.8,6.1,6.1,44500
2017-01-31,5.9,6.3,5.8,6.3,6.3,75100
2017-02-01,6.5,6.7,6.0,6.6,6.6,67200
2017-02-02,6.2,6.6,6.1,6.3,6.3,46000
2017-02-03,6.3,6.3,6.0,6.0,6.0,25000
2017-02-06,6.0,6.0,5.9,6.0,6.0,46100
2017-02-07,6.1,6.2,4.7,5.3,5.3,316400
2017-02-08,5.3,5.9,5.2,5.5,5.5,39400
2017-02-09,5.8,5.9,5.5,5.9,5.9,38000
2017-02-10,5.9,6.0,5.5,5.9,5.9,77000
2017-02-13,5.5,6.0,5.1,5.3,5.3,84000
2017-02-14,5.3,5.8,5.3,5.8,5.8,35600
2017-02-15,5.8,5.8,5.5,5.6,5.6,2400
2017-02-16,5.7,5.8,5.3,5.3,5.3,27800
2017-02-17,5.7,5.7,4.7,5.1,5.1,158300
2017-02-21,5.2,5.4,5.0,5.3,5.3,48400
2017-02-22,5.4,5.5,5.1,5.1,5.1,15500
2017-02-23,5.3,5.5,5.0,5.0,5.0,113200
2017-02-24,5.0,5.4,4.6,5.3,5.3,233700
2017-02-27,5.0,5.84,4.92,5.74,5.74,70300
2017-02-28,5.77,5.77,4.79,5.14,5.14,33000
2017-03-01,5.14,5.39,4.9,4.94,4.94,23100
2017-03-02,4.9,5.09,4.51,4.55,4.55,31000
2017-03-03,4.6,4.76,4.19,4.2,4.2,15400
2017-03-06,4.33,4.44,4.11,4.18,4.18,11000
2017-03-07,4.5,4.64,4.32,4.6,4.6,18000
2017-03-08,4.66,4.92,4.58,4.58,4.58,11700
2017-03-09,4.54,4.92,4.3,4.71,4.71,10600
2017-03-10,4.9,4.9,3.5,3.67,3.67,170800
2017-03-13,3.85,3.85,3.35,3.39,3.39,91400
2017-03-14,3.46,3.46,2.95,3.21,3.21,86100
2017-03-15,3.28,3.29,3.05,3.1,3.1,39300
2017-03-16,3.12,3.33,3.1,3.14,3.14,27100
2017-03-17,3.11,3.37,3.11,3.34,3.34,32900
