Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.5,11.5,10.32,11.04,11.04,366700
2017-01-04,11.04,11.19,10.6,10.96,10.96,120400
2017-01-05,10.9,11.08,10.66,10.86,10.86,146000
2017-01-06,10.73,10.84,10.47,10.8,10.8,60300
2017-01-09,10.59,11.2,10.43,10.84,10.84,152600
2017-01-10,10.76,11.15,10.73,11.15,11.15,85200
2017-01-11,11.15,11.96,11.0,11.9,11.9,230000
2017-01-12,12.0,13.79,12.0,13.2,13.2,530600
2017-01-13,12.86,13.93,12.67,13.39,13.39,260100
2017-01-17,13.62,16.139999,13.5,15.93,15.93,515200
2017-01-18,16.0,16.700001,12.8,13.15,13.15,1066700
2017-01-19,12.6,13.41,11.05,13.3,13.3,707700
2017-01-20,13.4,14.3,12.39,12.6,12.6,328100
2017-01-23,12.45,12.97,12.31,12.46,12.46,265300
2017-01-24,12.56,12.92,11.2,11.38,11.38,360700
2017-01-25,11.47,12.22,11.31,11.89,11.89,161500
2017-01-26,11.77,12.56,11.27,11.96,11.96,155500
2017-01-27,11.95,12.16,11.55,11.62,11.62,78900
2017-01-30,11.68,11.72,11.32,11.63,11.63,93400
2017-01-31,11.65,12.49,11.59,11.93,11.93,166900
2017-02-01,12.5,12.95,11.47,11.9,11.9,283900
2017-02-02,11.99,13.4,11.72,13.19,13.19,304200
2017-02-03,13.19,13.85,12.25,12.65,12.65,380400
2017-02-06,13.35,13.35,12.56,13.02,13.02,136800
2017-02-07,13.5,14.21,13.23,13.82,13.82,471700
2017-02-08,14.15,14.25,13.37,13.94,13.94,240500
2017-02-09,14.21,14.39,13.77,14.21,14.21,250300
2017-02-10,13.53,14.21,11.95,14.03,14.03,78700
2017-02-13,13.66,13.76,11.5,11.61,11.61,353100
2017-02-14,11.21,11.55,10.0,11.51,11.51,500800
2017-02-15,11.99,13.28,11.15,12.49,12.49,443600
2017-02-16,12.49,12.95,12.01,12.47,12.47,116800
2017-02-17,12.4,12.4,12.01,12.24,12.24,116200
2017-02-21,12.33,13.29,11.77,13.29,13.29,328400
2017-02-22,12.69,15.2,12.51,14.91,14.91,1001100
2017-02-23,14.5,20.41,14.26,17.879998999999998,17.879998999999998,1636900
2017-02-24,17.200001,18.51,16.860001,18.43,18.43,592200
2017-02-27,18.799999,21.74,18.469998999999998,20.469998999999998,20.469998999999998,1228000
2017-02-28,20.6,21.01,17.34,17.860001,17.860001,931400
2017-03-01,18.0,19.0,17.58,17.780001000000002,17.780001000000002,560200
2017-03-02,18.18,18.75,17.41,17.51,17.51,555200
2017-03-03,17.4,17.5,16.700001,17.040001,17.040001,420900
2017-03-06,17.0,17.0,14.6,15.45,15.45,1193500
2017-03-07,15.5,16.0,13.65,13.99,13.99,3239200
2017-03-08,13.85,14.74,11.34,11.34,11.34,2459200
2017-03-09,11.2,11.68,9.69,9.87,9.87,2525400
2017-03-10,9.97,10.45,9.78,9.98,9.98,1075800
2017-03-13,9.94,12.6,9.85,11.85,11.85,3068800
2017-03-14,12.18,12.5,11.11,12.24,12.24,2422300
2017-03-15,12.35,13.08,11.83,12.81,12.81,1443000
2017-03-16,12.68,12.79,10.6,10.8,10.8,1604900
2017-03-17,10.96,11.49,10.15,11.41,11.41,4286600
2017-03-20,11.45,12.31,11.2,11.36,11.36,825600
2017-03-21,11.32,12.06,11.2,11.29,11.29,705400
2017-03-22,11.2,12.55,11.2,12.0,12.0,994900
2017-03-23,12.11,13.22,11.2,11.32,11.32,1689600
2017-03-24,11.33,11.83,10.82,11.19,11.19,510800
2017-03-27,10.99,11.8,10.92,11.65,11.65,585600
2017-03-28,11.76,11.76,10.96,11.1,11.1,535300
2017-03-29,11.2,12.2,11.1,11.88,11.88,796800
2017-03-30,11.84,12.2,11.36,11.41,11.41,404000
2017-03-31,11.53,11.82,11.22,11.72,11.72,343800
2017-04-03,11.7,11.75,11.3,11.55,11.55,429800
2017-04-04,11.46,12.1,11.46,11.74,11.74,339300
2017-04-05,11.69,12.18,11.5,11.58,11.58,614900
2017-04-06,11.75,11.75,11.04,11.19,11.19,474200
2017-04-07,11.3,12.54,11.14,11.78,11.78,850200
2017-04-10,11.97,12.21,11.64,12.0,12.0,436200
2017-04-11,12.1,12.2,11.98,12.1,12.1,422200
2017-04-12,12.12,12.35,11.65,11.71,11.71,198400
2017-04-13,11.91,11.99,11.2,11.27,11.27,317600
2017-04-17,11.34,11.34,10.06,10.24,10.24,828300
2017-04-18,10.23,10.83,10.1,10.55,10.55,259400
2017-04-19,10.41,10.51,10.26,10.49,10.49,193000
2017-04-20,10.56,10.94,10.47,10.52,10.52,282300
2017-04-21,10.54,10.63,10.16,10.2,10.2,170500
2017-04-24,10.14,10.31,9.58,9.79,9.79,396200
2017-04-25,9.78,10.14,9.61,10.06,10.06,525600
2017-04-26,9.92,10.61,9.9,10.15,10.15,409300
2017-04-27,10.01,10.23,9.87,10.03,10.03,298600
2017-04-28,10.03,10.25,9.9,10.03,10.03,307800
2017-05-01,9.93,10.17,9.65,9.76,9.76,426500
2017-05-02,9.68,9.89,9.4,9.49,9.49,493400
2017-05-03,9.39,9.58,8.8,8.9,8.9,415500
2017-05-04,8.77,9.0,8.27,8.87,8.87,686100
2017-05-05,8.74,9.95,8.74,9.89,9.89,690500
2017-05-08,9.79,10.2,9.59,10.0,10.0,449700
2017-05-09,9.98,10.49,9.96,10.39,10.39,420400
2017-05-10,10.49,11.58,10.49,11.1,11.1,902400
2017-05-11,11.07,11.83,11.0,11.5,11.5,696500
2017-05-12,11.7,11.81,10.74,11.08,11.08,482700
2017-05-15,11.25,11.41,10.85,11.17,11.17,699900
2017-05-16,11.13,11.39,10.78,10.97,10.97,611500
2017-05-17,11.03,11.03,10.5,10.71,10.71,397500
2017-05-18,10.68,10.94,10.03,10.13,10.13,698700
2017-05-19,10.09,10.19,9.72,9.99,9.99,465700
2017-05-22,9.93,10.2,9.47,9.76,9.76,509800
2017-05-23,9.71,9.89,9.65,9.76,9.76,325700
2017-05-24,9.75,10.12,9.64,10.11,10.11,369300
2017-05-25,10.11,10.45,10.05,10.19,10.19,649700
2017-05-26,10.3,11.0,10.3,10.95,10.95,830200
2017-05-30,10.86,11.0,10.3,10.5,10.5,493100
2017-05-31,10.35,11.05,10.08,10.99,10.99,957300
2017-06-01,10.94,10.99,10.43,10.9,10.9,448200
2017-06-02,10.96,11.06,10.5,11.06,11.06,524600
2017-06-05,11.05,12.0,11.05,11.62,11.62,1746900
2017-06-06,11.58,12.0,11.36,11.7,11.7,696300
2017-06-07,11.7,12.0,11.14,11.85,11.85,865400
2017-06-08,11.8,12.34,11.54,11.79,11.79,928700
2017-06-09,11.77,12.0,11.57,11.8,11.8,935100
2017-06-12,11.82,11.91,10.12,10.37,10.37,956200
2017-06-13,10.24,11.4,10.23,10.82,10.82,848100
2017-06-14,10.35,10.74,10.05,10.22,10.22,574300
2017-06-15,10.11,10.69,10.11,10.54,10.54,479600
2017-06-16,10.46,10.78,9.89,10.11,10.11,3716700
2017-06-19,10.05,10.51,9.62,10.18,10.18,720600
2017-06-20,10.11,10.34,9.76,10.28,10.28,287700
2017-06-21,10.31,10.4,9.61,10.0,10.0,783600
2017-06-22,10.01,10.01,9.6,9.64,9.64,623900
2017-06-23,9.7,9.96,9.28,9.94,9.94,7095500
2017-06-26,10.0,10.2,9.74,10.09,10.09,761700
2017-06-27,10.11,10.22,9.56,9.75,9.75,458200
2017-06-28,9.77,10.01,9.59,9.95,9.95,442900
2017-06-29,9.86,10.5,9.77,10.5,10.5,756600
2017-06-30,10.5,10.55,9.98,10.03,10.03,532700
2017-07-03,10.09,10.77,10.09,10.56,10.56,335600
2017-07-05,10.4,10.45,9.6,9.69,9.69,684500
2017-07-06,9.62,9.97,9.46,9.54,9.54,545900
2017-07-07,9.45,9.88,9.0,9.61,9.61,854500
2017-07-10,9.54,10.06,9.39,9.99,9.99,526900
2017-07-11,10.01,10.4,9.91,10.1,10.1,684000
2017-07-12,10.08,10.2,9.8,9.84,9.84,392900
2017-07-13,9.79,10.19,9.78,10.15,10.15,908000
2017-07-14,10.18,10.2,9.61,9.74,9.74,467400
2017-07-17,9.72,9.77,9.3,9.33,9.33,380400
2017-07-18,9.33,9.48,9.0,9.1,9.1,595600
2017-07-19,9.05,9.66,9.01,9.55,9.55,422300
2017-07-20,9.54,9.71,9.06,9.1,9.1,399900
2017-07-21,9.37,9.37,9.0,9.01,9.01,425900
2017-07-24,9.06,9.22,8.9,9.15,9.15,525200
2017-07-25,9.2,9.53,9.03,9.2,9.2,572000
2017-07-26,9.18,9.53,9.0,9.25,9.25,469700
2017-07-27,9.28,9.42,9.03,9.18,9.18,245300
2017-07-28,9.13,10.0,9.13,9.72,9.72,491500
2017-07-31,9.75,9.75,9.1,9.15,9.15,315500
2017-08-01,9.15,9.45,9.05,9.25,9.25,289800
2017-08-02,9.2,9.39,9.1,9.19,9.19,331200
2017-08-03,9.16,9.28,9.0,9.03,9.03,490200
2017-08-04,9.0,9.14,8.67,8.68,8.68,356900
2017-08-07,8.66,8.82,8.19,8.59,8.59,469500
2017-08-08,8.38,8.69,8.36,8.58,8.58,436300
2017-08-09,8.5,8.98,8.46,8.54,8.54,266500
2017-08-10,8.44,8.61,8.22,8.24,8.24,398700
2017-08-11,8.28,8.62,8.19,8.58,8.58,452000
