Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.05,8.05,8.05,8.05,8.05,1500
2017-01-04,7.85,8.15,7.85,8.1,8.1,9600
2017-01-05,8.15,8.25,8.15,8.2,8.2,9600
2017-01-06,8.25,8.26,8.2,8.2,8.2,5600
2017-01-09,8.2,8.2,8.2,8.2,8.2,500
2017-01-10,8.1,8.1,7.05,7.95,7.95,14100
2017-01-11,7.95,7.99,7.85,7.85,7.85,2900
2017-01-12,7.9,7.9,7.51,7.75,7.75,1300
2017-01-13,7.75,8.05,7.75,8.05,8.05,3600
2017-01-17,8.05,8.05,7.55,7.55,7.55,7900
2017-01-18,7.65,7.7,7.65,7.65,7.65,4700
2017-01-19,7.7,7.7,7.65,7.65,7.65,1800
2017-01-20,7.75,7.75,7.4,7.75,7.75,63500
2017-01-23,7.7,7.75,7.5,7.75,7.75,24200
2017-01-24,7.75,8.15,7.7,7.7,7.7,43400
2017-01-25,7.75,7.8,7.65,7.75,7.75,9600
2017-01-26,8.08,8.08,7.7,7.7,7.7,8500
2017-01-27,8.0,8.0,7.65,7.85,7.85,2700
2017-01-30,7.7,7.7,7.45,7.65,7.65,53300
2017-01-31,7.55,8.2,7.55,7.8,7.8,94100
2017-02-01,8.2,8.2,7.7,7.9,7.9,22500
2017-02-02,7.85,8.0,7.75,7.95,7.95,6900
2017-02-03,8.0,8.05,7.7,7.95,7.95,22600
2017-02-06,7.95,8.1,7.93,8.1,8.1,4400
2017-02-07,8.13,8.15,8.05,8.15,8.15,1600
2017-02-08,7.76,8.2,7.6,7.95,7.95,7300
2017-02-09,8.1,8.23,8.0,8.2,8.2,12300
2017-02-10,8.1,8.25,7.9,8.05,8.05,5300
2017-02-13,8.1,8.2,7.95,7.95,7.95,8300
2017-02-14,7.95,7.95,7.95,7.95,7.95,0
2017-02-15,7.9,7.95,7.65,7.8,7.8,37600
2017-02-16,7.85,8.05,7.85,7.85,7.85,2300
2017-02-17,7.85,7.85,7.85,7.85,7.85,0
2017-02-21,7.9,8.0,7.9,8.0,8.0,2800
2017-02-22,7.85,8.05,7.65,8.0,8.0,13500
