Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.85,8.9,8.65,8.85,8.628109,413400
2017-01-04,8.9,9.0,8.75,8.95,8.725602,404000
2017-01-05,8.9,8.9,8.6,8.7,8.481869999999999,190700
2017-01-06,8.7,8.7,8.5,8.65,8.433124000000001,311800
2017-01-09,8.6,8.68,8.25,8.5,8.286885,433700
2017-01-10,8.45,8.65,8.45,8.6,8.384377,264400
2017-01-11,8.65,8.65,8.5,8.65,8.433124000000001,270300
2017-01-12,8.6,8.65,8.35,8.5,8.286885,265400
2017-01-13,8.55,8.65,8.3,8.55,8.335631,272200
2017-01-17,8.45,8.45,8.25,8.25,8.043153,241200
2017-01-18,8.25,8.45,8.2,8.45,8.238138000000001,244200
2017-01-19,8.45,8.48,8.2,8.3,8.091899,300900
2017-01-20,8.3,8.5,8.25,8.35,8.140645,299200
2017-01-23,8.25,8.38,8.1,8.3,8.091899,274200
2017-01-24,8.3,8.65,8.24,8.5,8.286885,351500
2017-01-25,8.55,8.6,8.4,8.55,8.335631,201200
2017-01-26,8.55,8.7,8.45,8.65,8.433124000000001,407900
2017-01-27,8.65,8.7,8.55,8.6,8.384377,169800
2017-01-30,8.5,8.53,8.32,8.35,8.140645,167900
2017-01-31,8.3,8.45,8.24,8.4,8.189392,325300
2017-02-01,8.4,8.5,8.2,8.3,8.091899,404600
2017-02-02,8.2,8.3,8.15,8.2,7.994406,251900
2017-02-03,8.35,8.4,8.25,8.35,8.140645,189100
2017-02-06,8.3,8.35,8.15,8.2,7.994406,97700
2017-02-07,8.25,8.25,8.1,8.2,7.994406,168700
2017-02-08,8.2,8.25,8.05,8.15,7.94566,170800
2017-02-09,8.15,8.3,8.1,8.2,7.994406,250300
2017-02-10,8.25,8.25,8.15,8.25,8.043153,106400
2017-02-13,8.25,8.4,8.15,8.35,8.140645,184500
2017-02-14,8.35,8.51,8.15,8.45,8.238138000000001,278900
2017-02-15,8.45,8.5,8.4,8.5,8.286885,91300
2017-02-16,8.45,8.5,8.3,8.4,8.189392,144400
2017-02-17,8.4,8.5,8.35,8.5,8.286885,385400
2017-02-21,8.55,8.6,8.5,8.6,8.384377,179800
2017-02-22,8.55,8.65,8.45,8.6,8.384377,372300
2017-02-23,8.6,8.65,8.5,8.55,8.335631,222800
2017-02-24,8.45,8.5,8.35,8.4,8.189392,198700
2017-02-27,8.4,8.5,8.35,8.5,8.286885,217100
2017-02-28,8.5,8.5,8.32,8.35,8.140645,349400
2017-03-01,8.4,8.5,8.35,8.5,8.352907,242000
2017-03-02,8.5,8.5,8.25,8.3,8.156369,167100
2017-03-03,8.3,8.35,8.15,8.32,8.176022999999999,209100
2017-03-06,8.25,8.25,8.1,8.2,8.058099,172100
2017-03-07,8.15,8.3,8.05,8.2,8.058099,130000
2017-03-08,8.25,8.25,7.95,7.95,7.812425,247000
2017-03-09,8.0,8.13,7.9,7.9,7.76329,251600
2017-03-10,7.95,8.03,7.8,7.9,7.76329,223400
2017-03-13,7.85,8.0,7.8,7.85,7.714156,88000
2017-03-14,7.85,7.9,7.75,7.85,7.714156,98800
2017-03-15,7.85,7.95,7.75,7.8,7.665021,282800
2017-03-16,7.8,7.95,7.8,7.95,7.812425,152700
2017-03-17,7.85,8.15,7.75,8.1,7.959828999999999,872100
2017-03-20,8.1,8.2,7.95,8.05,7.910695,216100
2017-03-21,8.1,8.1,7.65,7.7,7.566750999999999,358100
2017-03-22,7.7,7.75,7.5,7.65,7.5176169999999995,317800
2017-03-23,7.65,7.85,7.6,7.75,7.615886,202700
2017-03-24,7.75,7.85,7.63,7.8,7.665021,273100
2017-03-27,7.65,7.8,7.55,7.7,7.566750999999999,203000
2017-03-28,7.65,7.85,7.65,7.75,7.615886,286900
2017-03-29,7.75,7.83,7.65,7.75,7.615886,180300
2017-03-30,7.8,8.0,7.6,8.0,7.861560000000001,226700
2017-03-31,8.0,8.0,7.8,7.85,7.714156,380700
2017-04-03,7.95,7.95,7.7,7.7,7.566750999999999,303500
2017-04-04,7.75,8.0,7.75,7.95,7.812425,299700
2017-04-05,8.0,8.05,7.8,7.85,7.714156,472100
2017-04-06,7.85,7.95,7.8,7.85,7.714156,224300
2017-04-07,7.85,7.95,7.8,7.85,7.714156,315000
2017-04-10,7.85,7.95,7.7,7.75,7.615886,276500
2017-04-11,7.75,7.85,7.65,7.8,7.665021,429400
2017-04-12,7.8,7.85,7.6,7.65,7.5176169999999995,233000
2017-04-13,7.6,7.65,7.45,7.5,7.370213000000001,437300
2017-04-17,7.5,7.7,7.5,7.65,7.5176169999999995,229900
2017-04-18,7.5,7.7,7.5,7.65,7.5176169999999995,287000
2017-04-19,7.65,7.78,7.6,7.65,7.5176169999999995,187600
2017-04-20,7.75,7.85,7.65,7.85,7.714156,214700
2017-04-21,7.85,7.9,7.7,7.85,7.714156,298800
2017-04-24,7.9,8.15,7.9,8.0,7.861560000000001,337400
2017-04-25,8.1,8.18,8.0,8.1,7.959828999999999,345400
2017-04-26,8.05,8.3,8.05,8.1,7.959828999999999,358500
2017-04-27,8.15,8.2,8.05,8.1,7.959828999999999,205900
2017-04-28,8.1,8.18,7.9,7.95,7.812425,216200
2017-05-01,7.95,8.2,7.95,8.05,7.910695,299800
2017-05-02,8.05,8.15,7.9,8.05,7.910695,332400
2017-05-03,7.95,8.1,7.95,8.05,7.910695,186300
2017-05-04,8.05,8.15,7.95,8.05,7.910695,131600
2017-05-05,8.05,8.1,7.95,7.95,7.812425,130200
2017-05-08,7.95,8.1,7.9,8.05,7.910695,195300
2017-05-09,8.05,8.2,7.95,8.05,7.910695,316300
2017-05-10,8.0,8.05,7.95,7.95,7.812425,165400
2017-05-11,7.95,8.05,7.6,7.75,7.615886,390900
2017-05-12,7.75,7.9,7.65,7.75,7.615886,206000
2017-05-15,7.75,7.85,7.75,7.85,7.714156,171100
2017-05-16,7.85,7.85,7.7,7.8,7.665021,225400
2017-05-17,7.8,7.8,7.5,7.55,7.419347,414200
2017-05-18,7.5,7.7,7.5,7.6,7.468482000000001,350500
2017-05-19,7.6,7.6,7.45,7.5,7.370213000000001,329000
2017-05-22,7.5,7.6,7.5,7.55,7.419347,151600
2017-05-23,7.55,7.7,7.48,7.65,7.5176169999999995,225200
2017-05-24,7.65,7.65,7.45,7.55,7.419347,347500
2017-05-25,7.55,7.6,7.4,7.55,7.419347,294900
2017-05-26,7.55,7.6,7.45,7.45,7.321077000000001,168200
2017-05-30,7.45,7.55,7.3,7.4,7.271942999999999,221100
2017-05-31,7.35,7.4,7.25,7.35,7.287807000000001,224800
2017-06-01,7.35,7.55,7.35,7.5,7.436539,223500
2017-06-02,7.45,7.7,7.45,7.5,7.436539,279700
2017-06-05,7.55,7.55,7.45,7.5,7.436539,110100
2017-06-06,7.4,7.5,7.3,7.35,7.287807000000001,173400
2017-06-07,7.4,7.73,7.35,7.7,7.6348460000000005,494800
2017-06-08,7.65,7.95,7.55,7.9,7.8331539999999995,512200
2017-06-09,7.9,8.1,7.75,8.05,7.981885000000001,458600
2017-06-12,8.05,8.1,7.75,7.85,7.783577,397400
2017-06-13,7.9,8.0,7.8,8.0,7.932308,312500
2017-06-14,7.9,8.0,7.8,7.95,7.8827300000000005,311900
2017-06-15,7.9,8.05,7.9,7.9,7.8331539999999995,199200
2017-06-16,7.85,7.9,7.75,7.8,7.734,475000
2017-06-19,7.9,7.95,7.7,7.8,7.734,219400
2017-06-20,7.75,7.8,7.63,7.65,7.585269,463800
2017-06-21,7.65,7.75,7.6,7.6,7.535692,168600
2017-06-22,7.6,7.75,7.5,7.6,7.535692,108100
2017-06-23,7.6,7.8,7.52,7.7,7.6348460000000005,466200
2017-06-26,7.7,7.7,7.5,7.55,7.486115,225100
2017-06-27,7.45,7.65,7.3,7.55,7.486115,208200
2017-06-28,7.65,7.7,7.55,7.7,7.6348460000000005,322700
2017-06-29,7.75,7.75,7.58,7.65,7.585269,217400
2017-06-30,7.7,7.75,7.58,7.75,7.684423,305800
2017-07-03,7.75,7.9,7.65,7.9,7.8331539999999995,128300
2017-07-05,7.9,7.9,7.65,7.7,7.6348460000000005,232500
2017-07-06,7.65,7.78,7.6,7.65,7.585269,247000
2017-07-07,7.7,7.8,7.6,7.8,7.734,245900
2017-07-10,7.65,7.88,7.65,7.7,7.6348460000000005,302600
2017-07-11,7.75,7.75,7.6,7.65,7.585269,261200
2017-07-12,7.65,7.8,7.6,7.75,7.684423,110600
2017-07-13,7.85,7.85,7.7,7.75,7.684423,214300
2017-07-14,7.65,7.7,7.6,7.7,7.6348460000000005,157000
2017-07-17,7.65,7.8,7.6,7.7,7.6348460000000005,282600
2017-07-18,7.65,7.7,7.55,7.65,7.585269,160600
2017-07-19,7.65,7.75,7.55,7.7,7.6348460000000005,285800
2017-07-20,7.7,7.75,7.65,7.75,7.684423,187000
2017-07-21,7.75,7.8,7.65,7.65,7.585269,187700
2017-07-24,7.7,8.1,7.7,8.1,8.031462,403200
2017-07-25,8.1,8.45,8.06,8.4,8.328922,458900
