Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,12.42,12.92,12.42,12.51,12.51,446200
2017-01-04,12.58,12.92,12.55,12.86,12.86,1038700
2017-01-05,12.78,13.09,12.78,12.99,12.99,927400
2017-01-06,13.05,13.05,12.72,12.91,12.91,798100
2017-01-09,13.59,13.91,12.82,12.94,12.94,1360500
2017-01-10,12.98,13.079,12.58,13.03,13.03,559000
2017-01-11,13.02,13.02,12.78,12.99,12.99,271700
2017-01-12,12.94,13.0,12.76,12.96,12.96,299000
2017-01-13,13.0,13.29,12.903,12.99,12.99,628100
2017-01-17,12.84,12.93,12.71,12.79,12.79,683000
2017-01-18,12.87,12.96,12.75,12.87,12.87,213200
2017-01-19,12.88,13.21,12.85,13.12,13.12,641200
2017-01-20,13.07,13.07,12.72,12.74,12.74,434100
2017-01-23,12.74,12.88,12.4,12.6,12.6,402300
2017-01-24,12.6,13.0,12.6,12.95,12.95,406000
2017-01-25,13.0,13.12,12.78,12.82,12.82,345600
2017-01-26,12.79,12.98,12.7,12.93,12.93,280200
2017-01-27,12.92,13.005,12.84,12.89,12.89,326700
2017-01-30,12.82,13.13,12.58,13.07,13.07,720300
2017-01-31,13.02,13.34,12.91,13.15,13.15,986500
2017-02-01,13.26,13.44,13.08,13.21,13.21,624100
2017-02-02,13.13,13.25,12.96,13.15,13.15,581700
2017-02-03,13.25,13.33,13.1,13.23,13.23,551300
2017-02-06,13.65,13.85,13.31,13.47,13.47,1825900
2017-02-07,13.44,13.48,13.24,13.3,13.3,543200
2017-02-08,13.25,13.289,12.99,13.13,13.13,428900
2017-02-09,13.19,13.25,12.92,13.01,13.01,520600
2017-02-10,13.06,13.36,13.0,13.27,13.27,477700
2017-02-13,13.39,13.48,13.095,13.13,13.13,532200
2017-02-14,13.13,13.27,13.055,13.23,13.23,613500
2017-02-15,13.16,13.51,13.16,13.34,13.34,1325700
2017-02-16,13.42,13.53,12.99,13.25,13.25,2153400
2017-02-17,15.22,15.26,14.11,14.38,14.38,4777800
2017-02-21,14.56,14.71,14.08,14.27,14.27,1805500
2017-02-22,14.17,14.31,14.03,14.21,14.21,874000
2017-02-23,14.25,14.4,13.97,14.1,14.1,1317400
2017-02-24,13.95,14.39,13.94,14.28,14.28,1189700
2017-02-27,14.28,14.73,14.25,14.41,14.41,1715000
2017-02-28,14.34,14.47,14.06,14.06,14.06,909000
2017-03-01,14.56,14.69,14.15,14.61,14.61,1899800
2017-03-02,14.54,14.87,14.45,14.74,14.74,1735800
2017-03-03,14.8,14.85,14.51,14.84,14.84,1085400
2017-03-06,14.66,14.92,14.51,14.86,14.86,1310700
2017-03-07,14.85,14.965,14.76,14.785,14.785,635900
2017-03-08,14.9,14.92,14.66,14.7,14.7,504700
2017-03-09,14.68,14.69,14.4,14.49,14.49,686000
2017-03-10,14.59,14.64,14.35,14.49,14.49,554000
2017-03-13,14.46,14.51,14.34,14.38,14.38,616900
2017-03-14,14.48,14.56,14.16,14.5,14.5,703600
2017-03-15,14.54,15.135,14.51,14.9,14.9,2077800
2017-03-16,14.95,15.03,14.78,14.99,14.99,511100
2017-03-17,14.88,15.04,14.67,14.93,14.93,968700
2017-03-20,14.95,14.96,14.72,14.9,14.9,364000
2017-03-21,14.98,15.01,14.54,14.63,14.63,1303500
2017-03-22,14.61,14.96,14.37,14.92,14.92,1119600
2017-03-23,14.86,15.44,14.73,15.13,15.13,1750300
2017-03-24,15.2,15.35,15.0,15.24,15.24,1453500
2017-03-27,15.22,15.56,15.02,15.45,15.45,1824600
2017-03-28,15.46,15.95,15.44,15.83,15.83,2478500
2017-03-29,15.8,15.96,15.66,15.68,15.68,1538100
2017-03-30,15.69,15.75,15.33,15.6,15.6,1778700
2017-03-31,15.61,15.78,15.3,15.47,15.47,1579900
