Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,5.24,5.43,5.07,5.23,5.23,64200
2017-01-04,5.29,5.463,5.22,5.35,5.35,43500
2017-01-05,5.472,5.472,5.05,5.19,5.19,102300
2017-01-06,5.15,5.22,5.04,5.07,5.07,124400
2017-01-09,5.33,5.368,5.11,5.26,5.26,216100
2017-01-10,5.33,5.649,5.16,5.5,5.5,107500
2017-01-11,5.54,5.61,5.11,5.25,5.25,147500
2017-01-12,5.19,5.41,5.09,5.38,5.38,47800
2017-01-13,5.41,5.712,5.41,5.57,5.57,54800
2017-01-17,5.57,5.57,5.26,5.47,5.47,41400
2017-01-18,5.5,5.685,5.38,5.44,5.44,56800
2017-01-19,5.35,5.39,5.26,5.28,5.28,39600
2017-01-20,5.33,5.34,5.1,5.19,5.19,64100
2017-01-23,5.19,5.19,5.01,5.09,5.09,70000
2017-01-24,5.12,5.23,4.95,5.16,5.16,103900
2017-01-25,5.2,5.53,5.16,5.47,5.47,49000
2017-01-26,5.57,5.575,5.35,5.4,5.4,33900
2017-01-27,5.49,5.55,5.32,5.55,5.55,40900
2017-01-30,5.55,5.55,5.18,5.49,5.49,57200
2017-01-31,5.39,5.583,5.253,5.4,5.4,40600
2017-02-01,5.49,5.56,5.34,5.52,5.52,52100
2017-02-02,5.45,5.497,5.34,5.45,5.45,28900
2017-02-03,5.43,5.6,5.22,5.58,5.58,72900
2017-02-06,5.42,5.72,5.42,5.6,5.6,68200
2017-02-07,5.63,5.749,5.55,5.64,5.64,47800
2017-02-08,5.57,5.7,5.5,5.61,5.61,80000
2017-02-09,5.58,5.75,5.44,5.67,5.67,67000
2017-02-10,5.6,5.989,5.55,5.84,5.84,63600
2017-02-13,5.99,5.99,5.7,5.77,5.77,96200
2017-02-14,5.74,5.88,5.6,5.64,5.64,70000
2017-02-15,5.59,5.83,5.46,5.75,5.75,100200
2017-02-16,5.77,6.29,5.75,6.23,6.23,131200
2017-02-17,6.26,6.33,6.0,6.07,6.07,64700
2017-02-21,6.07,6.19,5.99,6.01,6.01,40500
2017-02-22,5.973,6.0,5.77,5.79,5.79,75100
2017-02-23,5.79,5.84,5.72,5.76,5.76,33400
2017-02-24,5.64,5.795,5.5,5.55,5.55,33000
2017-02-27,5.56,5.79,5.5,5.68,5.68,28600
2017-02-28,5.7,5.73,5.6,5.65,5.65,31100
2017-03-01,5.74,6.0,5.62,5.97,5.97,54500
2017-03-02,6.05,6.26,5.73,5.9,5.9,114900
2017-03-03,5.95,6.05,5.8,6.0,6.0,43100
2017-03-06,5.95,6.01,5.835,5.91,5.91,46700
2017-03-07,5.93,6.0,5.85,5.98,5.98,32400
2017-03-08,6.01,6.189,6.01,6.08,6.08,28100
2017-03-09,6.1,6.42,5.96,6.25,6.25,36900
2017-03-10,6.27,6.39,6.06,6.06,6.06,52200
2017-03-13,6.07,6.15,5.9,6.07,6.07,44400
2017-03-14,6.0,6.22,5.912,6.07,6.07,26300
2017-03-15,5.7,6.07,5.6,6.05,6.05,67500
2017-03-16,6.09,6.2,5.8,5.84,5.84,63100
2017-03-17,5.72,6.29,5.72,6.06,6.06,213700
2017-03-20,6.15,6.17,5.75,5.88,5.88,67700
2017-03-21,5.91,5.91,5.65,5.73,5.73,60300
2017-03-22,5.76,5.76,5.52,5.54,5.54,54000
2017-03-23,5.58,5.61,5.18,5.22,5.22,46600
