Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,25.799999,26.0,25.5,25.75,25.75,35200
2017-01-04,26.0,26.0,25.6,25.75,25.75,22700
2017-01-05,25.549999,25.75,25.4,25.450001,25.450001,17700
2017-01-06,25.1,25.5,25.1,25.299999,25.299999,16100
2017-01-09,25.0,25.950001,24.940001000000002,25.15,25.15,10100
2017-01-10,25.1,25.450001,24.68,25.200001,25.200001,19200
2017-01-11,25.1,25.450001,24.700001,25.0,25.0,13100
2017-01-12,24.700001,25.0,23.799999,24.049999,24.049999,19700
2017-01-13,24.1,25.35,24.1,24.65,24.65,91700
2017-01-17,24.75,24.85,24.200001,24.450001,24.450001,98500
2017-01-18,24.5,24.75,24.35,24.65,24.65,22700
2017-01-19,24.25,24.5,24.25,24.35,24.35,8900
2017-01-20,24.4,24.6,24.4,24.549999,24.549999,6100
2017-01-23,24.4,24.5,24.15,24.25,24.25,7500
2017-01-24,24.200001,24.6,24.1,24.5,24.5,9500
2017-01-25,24.549999,24.9,24.299999,24.700001,24.700001,24400
2017-01-26,24.450001,24.799999,24.450001,24.799999,24.799999,8700
2017-01-27,24.799999,25.549999,24.799999,25.15,25.15,18200
2017-01-30,25.0,25.469998999999998,24.549999,25.049999,25.049999,4800
2017-01-31,24.9,25.049999,24.6,24.950001,24.950001,14000
2017-02-01,25.4,25.4,24.5,24.5,24.5,18500
2017-02-02,24.4,24.4,23.700001,23.799999,23.799999,11300
2017-02-03,24.0,25.030001000000002,23.75,23.799999,23.799999,12500
2017-02-06,23.65,23.75,23.15,23.200001,23.200001,11400
2017-02-07,23.25,23.4,23.049999,23.15,23.15,17300
2017-02-08,23.1,23.35,22.950001,23.1,23.1,6600
2017-02-09,23.450001,23.799999,23.450001,23.65,23.65,10200
2017-02-10,23.799999,24.85,23.6,24.35,24.35,13700
2017-02-13,24.049999,24.700001,24.0,24.700001,24.700001,8500
2017-02-14,24.450001,24.700001,24.299999,24.4,24.4,8200
2017-02-15,24.299999,24.6,24.299999,24.5,24.5,8200
2017-02-16,24.16,24.6,24.15,24.450001,24.450001,12100
2017-02-17,24.6,24.6,24.4,24.450001,24.450001,11700
2017-02-21,24.450001,24.700001,24.200001,24.700001,24.700001,27400
2017-02-22,25.1,25.1,24.25,24.35,24.35,34700
2017-02-23,24.450001,24.5,24.049999,24.25,24.25,6800
2017-02-24,23.67,24.15,23.6,23.85,23.85,9800
2017-02-27,23.549999,24.200001,23.549999,24.1,24.1,8400
2017-02-28,24.450001,24.5,23.9,24.0,24.0,10200
2017-03-01,23.799999,24.65,23.799999,24.5,24.5,23900
2017-03-02,24.35,24.35,23.799999,24.15,24.15,10200
2017-03-03,24.0,24.75,24.0,24.6,24.6,30800
2017-03-06,25.0,25.049999,24.15,24.9,24.9,42600
2017-03-07,24.700001,25.15,24.6,24.799999,24.799999,228900
2017-03-08,25.15,25.15,24.15,24.700001,24.700001,96100
2017-03-09,24.85,25.1,24.65,24.85,24.85,49400
2017-03-10,25.25,26.0,24.700001,25.799999,25.799999,36700
2017-03-13,25.9,26.25,25.299999,25.700001,25.700001,23000
2017-03-14,25.799999,26.0,25.35,25.65,25.65,38400
2017-03-15,25.950001,26.139999,25.4,25.65,25.65,28800
2017-03-16,25.9,26.299999,25.15,25.6,25.6,15600
2017-03-17,25.5,25.9,24.9,25.549999,25.549999,54700
2017-03-20,25.5,25.85,25.4,25.549999,25.549999,34500
