Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.34,8.66,8.29,8.53,8.53,862500
2017-01-04,8.67,8.71,8.58,8.64,8.64,573000
2017-01-05,8.93,9.11,8.92,9.02,9.02,718900
2017-01-06,8.84,8.97,8.77,8.82,8.82,457500
2017-01-09,8.99,9.12,8.93,9.03,9.03,501700
2017-01-10,9.09,9.21,9.03,9.16,9.16,352700
2017-01-11,9.1,9.41,8.92,9.22,9.22,639600
2017-01-12,9.46,9.58,9.31,9.32,9.32,666300
2017-01-13,9.27,9.41,9.14,9.4,9.4,311100
2017-01-17,9.8,9.83,9.71,9.81,9.81,603300
2017-01-18,9.77,9.82,9.46,9.54,9.54,588200
2017-01-19,9.41,9.57,9.31,9.52,9.52,509700
2017-01-20,9.47,9.74,9.42,9.59,9.59,732600
2017-01-23,9.72,9.88,9.64,9.79,9.79,515200
2017-01-24,9.76,9.84,9.57,9.64,9.64,419800
2017-01-25,9.35,9.43,9.24,9.41,9.41,862700
2017-01-26,9.12,9.2,9.03,9.14,9.14,615400
2017-01-27,9.07,9.2,9.04,9.18,9.18,529200
2017-01-30,9.21,9.38,9.19,9.3,9.3,810500
2017-01-31,9.62,9.76,9.6,9.69,9.69,747400
2017-02-01,9.48,9.66,9.33,9.61,9.61,935000
2017-02-02,9.87,9.95,9.71,9.76,9.76,674600
2017-02-03,9.74,9.89,9.73,9.83,9.83,407700
2017-02-06,10.07,10.24,9.99,10.23,10.23,840300
2017-02-07,10.16,10.23,10.1,10.18,10.18,651700
2017-02-08,10.34,10.46,10.27,10.36,10.36,531800
2017-02-09,10.4,10.45,10.1,10.13,10.13,703000
2017-02-10,9.97,10.27,9.96,10.19,10.19,510200
2017-02-13,9.98,10.02,9.82,9.99,9.99,447000
2017-02-14,10.18,10.18,9.85,10.03,10.03,509500
2017-02-15,9.87,10.16,9.83,10.16,10.16,504500
2017-02-16,10.28,10.38,10.26,10.32,10.32,423600
2017-02-17,10.35,10.4,10.2,10.22,10.22,419800
2017-02-21,10.03,10.29,9.97,10.22,10.22,320300
2017-02-22,10.24,10.29,10.09,10.25,10.25,492500
2017-02-23,10.49,10.58,10.46,10.54,10.54,437400
2017-02-24,10.75,10.78,10.62,10.74,10.74,568500
2017-02-27,10.75,10.91,10.57,10.58,10.58,761800
2017-02-28,10.74,10.76,10.48,10.59,10.59,487800
2017-03-01,10.26,10.56,10.25,10.55,10.55,766500
2017-03-02,10.21,10.36,10.06,10.14,10.14,767600
2017-03-03,10.0,10.18,9.86,10.13,10.13,1004900
2017-03-06,10.09,10.09,9.9,9.94,9.94,627400
2017-03-07,9.77,9.8,9.65,9.67,9.67,612700
2017-03-08,9.47,9.58,9.46,9.51,9.51,479800
2017-03-09,9.44,9.49,9.34,9.34,9.34,399700
2017-03-10,9.33,9.41,9.27,9.39,9.39,357100
2017-03-13,9.4,9.45,9.36,9.41,9.41,448700
2017-03-14,9.37,9.49,9.24,9.28,9.28,614200
2017-03-15,9.3,9.79,9.22,9.77,9.77,807200
2017-03-16,10.04,10.04,9.9,9.91,9.91,636500
2017-03-17,9.97,10.03,9.95,9.95,9.95,267300
2017-03-20,10.04,10.12,10.02,10.12,10.12,329000
2017-03-21,10.15,10.44,10.15,10.34,10.34,606700
2017-03-22,10.46,10.52,10.41,10.44,10.44,447100
2017-03-23,10.51,10.55,10.3,10.38,10.38,581100
2017-03-24,10.35,10.53,10.32,10.44,10.44,547400
2017-03-27,10.73,10.77,10.56,10.62,10.62,698300
2017-03-28,10.68,10.7,10.42,10.49,10.49,509200
2017-03-29,10.53,10.6,10.49,10.55,10.55,442600
2017-03-30,10.4,10.49,10.29,10.33,10.33,344000
2017-03-31,10.37,10.47,10.33,10.38,10.38,338000
2017-04-03,10.36,10.55,10.36,10.55,10.55,455600
2017-04-04,10.61,10.65,10.56,10.62,10.62,436900
2017-04-05,10.35,10.61,10.29,10.6,10.6,695200
2017-04-06,10.5,10.55,10.45,10.5,10.5,286300
2017-04-07,10.8,10.9,10.48,10.57,10.57,767300
2017-04-10,10.45,10.62,10.4,10.55,10.55,337000
2017-04-11,10.8,11.09,10.79,11.06,11.06,1047400
2017-04-12,11.09,11.3,11.02,11.24,11.24,732400
2017-04-13,11.41,11.43,11.26,11.43,11.43,716100
2017-04-17,11.41,11.55,11.24,11.3,11.3,797300
2017-04-18,11.37,11.53,11.18,11.48,11.48,953200
