Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,3.15,3.16,2.35,2.98,2.98,634143
2017-06-27,3.11,3.32,3.07,3.11,3.11,1036277
2017-06-28,3.15,3.15,3.05,3.11,3.11,648896
2017-06-29,3.2,3.2,2.8,2.85,2.85,618264
2017-06-30,2.89,2.9,2.67,2.84,2.84,360541
2017-07-03,2.94,2.94,2.75,2.78,2.78,181131
2017-07-05,2.78,3.0,2.751,2.88,2.88,608118
2017-07-06,3.17,3.25,2.79,2.93,2.93,877070
2017-07-07,2.8,2.93,2.65,2.7,2.7,366717
2017-07-10,2.7,2.79,2.69,2.72,2.72,293487
2017-07-11,2.75,2.7899,2.63,2.69,2.69,178333
2017-07-12,2.67,2.76,2.66,2.71,2.71,158074
2017-07-13,2.73,2.7699,2.5198,2.53,2.53,244322
2017-07-14,2.55,2.599,2.23,2.32,2.32,341371
2017-07-17,2.41,2.49,2.3723,2.41,2.41,142168
2017-07-18,2.45,2.659,2.42,2.6,2.6,261362
2017-07-19,2.69,2.69,2.52,2.63,2.63,206014
2017-07-20,2.68,2.693,2.57,2.65,2.65,173263
2017-07-21,2.62,2.67,2.55,2.58,2.58,118440
2017-07-24,2.6,2.6,2.48,2.55,2.55,116833
2017-07-25,2.52,2.55,2.51,2.53,2.53,66127
2017-07-26,2.5,2.6,2.5,2.5638,2.5638,188158
2017-07-27,2.58,2.6,2.53,2.57,2.57,106303
2017-07-28,2.54,2.55,2.48,2.5,2.5,88719
2017-07-31,2.62,2.62,2.5,2.55,2.55,65949
2017-08-01,2.51,2.55,2.5,2.51,2.51,54199
2017-08-02,2.51,2.55,2.48,2.48,2.48,80013
2017-08-03,2.49,2.5,2.34,2.3899,2.3899,182873
2017-08-04,2.39,2.44,2.25,2.32,2.32,292038
2017-08-07,2.5,2.6,2.26,2.37,2.37,432035
2017-08-08,2.45,2.45,2.32,2.39,2.39,172038
2017-08-09,2.62,2.62,2.25,2.3399,2.3399,235301
2017-08-10,2.39,2.42,2.28,2.35,2.35,131083
2017-08-11,2.42,2.42,2.25,2.3964,2.3964,169330
2017-08-14,2.41,2.49,2.39,2.44,2.44,134032
2017-08-15,2.39,2.49,2.35,2.39,2.39,52419
2017-08-16,2.41,2.45,2.31,2.37,2.37,78533
2017-08-17,2.4,2.49,2.22,2.45,2.45,311529
2017-08-18,2.49,2.522,2.35,2.4,2.4,175022
2017-08-21,2.4,2.4777,2.3781,2.43,2.43,81299
2017-08-22,2.41,2.412,2.34,2.37,2.37,80967
2017-08-23,2.39,2.4147,2.36,2.39,2.39,37789
2017-08-24,2.45,2.45,2.25,2.28,2.28,116102
2017-08-25,2.33,2.35,2.29,2.3203,2.3203,67305
2017-08-28,2.45,2.58,2.401,2.54,2.54,432053
2017-08-29,2.64,2.65,2.47,2.52,2.52,403844
2017-08-30,2.55,2.55,2.4,2.417,2.417,87893
2017-08-31,2.41,2.4999,2.41,2.42,2.42,69564
2017-09-01,2.41,2.48,2.41,2.47,2.47,111945
2017-09-05,2.47,2.55,2.42,2.46,2.46,147731
2017-09-06,2.45,2.46,2.35,2.42,2.42,125088
2017-09-07,2.45,2.47,2.35,2.43,2.43,146796
2017-09-08,2.45,2.45,2.39,2.39,2.39,117286
2017-09-11,2.39,2.54,2.39,2.41,2.41,182074
2017-09-12,2.42,2.47,2.41,2.47,2.47,92803
2017-09-13,2.52,2.54,2.452,2.48,2.48,134299
2017-09-14,2.49,2.53,2.44,2.46,2.46,129212
2017-09-15,2.55,2.55,2.39,2.39,2.39,87441
2017-09-18,2.42,2.4985,2.35,2.35,2.35,172867
2017-09-19,2.4,2.4,2.2,2.22,2.22,362646
2017-09-20,2.3,2.38,2.21,2.23,2.23,308733
2017-09-21,2.26,2.3389,2.21,2.23,2.23,109588
2017-09-22,2.25,2.31,2.24,2.26,2.26,49328
2017-09-25,2.26,2.3,2.23,2.26,2.26,66789
2017-09-26,2.27,2.27,2.2,2.2,2.2,113286
2017-09-27,2.2,2.31,2.2,2.22,2.22,312923
2017-09-28,2.2,2.27,2.2,2.26,2.26,74595
2017-09-29,2.26,2.26,2.2,2.22,2.22,77705
