Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.78,11.78,11.71,11.71,11.71,3400
2017-01-04,11.53,11.53,11.5,11.5,11.5,3700
2017-01-05,11.44,11.54,11.42,11.47,11.47,8800
2017-01-06,11.33,11.33,11.27,11.29,11.29,7400
2017-01-09,11.23,11.23,11.23,11.23,11.23,1100
2017-01-10,11.21,11.32,11.19,11.26,11.26,6800
2017-01-11,11.23,11.29,11.17,11.17,11.17,2600
2017-01-12,11.2,11.39,11.2,11.23,11.23,63200
2017-01-13,11.26,11.31,11.25,11.31,11.31,1200
2017-01-17,11.46,11.46,11.43,11.43,11.43,400
2017-01-18,11.41,11.41,11.27,11.28,11.28,8400
2017-01-19,11.39,11.39,11.33,11.33,11.33,900
2017-01-20,11.22,11.22,11.03,11.03,11.03,8400
2017-01-23,11.06,11.11,11.06,11.06,11.06,5500
2017-01-24,10.88,10.88,10.66,10.66,10.66,18400
2017-01-25,10.53,10.53,10.51,10.51,10.51,5100
2017-01-26,10.57,10.57,10.56,10.56,10.56,1600
2017-01-27,10.6,10.62,10.58,10.62,10.62,9100
2017-01-30,10.84,10.84,10.62,10.65,10.65,13600
2017-01-31,10.7,10.71,10.62,10.65,10.65,4400
2017-02-01,10.48,10.51,10.4,10.4,10.4,1600
2017-02-02,10.48,10.55,10.43,10.5,10.5,12300
2017-02-03,10.44,10.44,10.37,10.37,10.37,7000
2017-02-06,10.45,10.46,10.37,10.43,10.43,6100
2017-02-07,10.37,10.45,10.37,10.45,10.45,8600
2017-02-08,10.53,10.58,10.52,10.52,10.52,1500
2017-02-09,10.53,10.53,10.43,10.43,10.43,700
2017-02-10,10.4,10.41,10.4,10.4,10.4,3900
2017-02-13,10.39,10.4,10.33,10.33,10.33,2200
2017-02-14,10.21,10.22,10.02,10.02,10.02,29200
2017-02-15,9.82,9.97,9.75,9.79,9.79,13200
2017-02-16,9.8,10.03,9.8,9.9,9.9,3900
2017-02-17,9.93,9.93,9.88,9.88,9.88,3900
2017-02-21,9.86,9.94,9.81,9.94,9.94,5900
2017-02-22,10.0,10.08,10.0,10.07,10.07,7000
2017-02-23,10.09,10.25,10.09,10.25,10.25,4500
2017-02-24,10.47,10.48,10.31,10.34,10.34,16500
2017-02-27,10.32,10.32,10.1,10.14,10.14,7800
2017-02-28,10.16,10.27,10.13,10.2,10.2,27100
2017-03-01,9.99,10.08,9.99,10.02,10.02,11100
2017-03-02,10.13,10.19,10.13,10.19,10.19,1300
2017-03-03,10.12,10.12,10.03,10.03,10.03,5600
2017-03-06,9.99,9.99,9.96,9.96,9.96,3800
2017-03-07,9.94,9.94,9.89,9.93,9.93,13300
2017-03-08,9.9,9.9,9.9,9.9,9.9,1400
2017-03-09,9.95,10.01,9.87,9.92,9.92,3500
2017-03-10,9.92,9.92,9.92,9.92,9.92,0
2017-03-13,9.88,9.88,9.82,9.83,9.83,2100
2017-03-14,9.89,9.92,9.83,9.9,9.9,14900
2017-03-15,9.86,9.86,9.78,9.78,9.78,4600
2017-03-16,9.73,9.74,9.62,9.62,9.62,1900
2017-03-17,9.55,9.56,9.55,9.56,9.56,2100
2017-03-20,9.5,9.52,9.5,9.52,9.52,4000
2017-03-21,9.46,9.7,9.46,9.65,9.65,13900
2017-03-22,9.71,9.75,9.66,9.69,9.69,15000
2017-03-23,9.73,9.82,9.6,9.77,9.77,3400
2017-03-24,9.74,9.84,9.69,9.7,9.7,2400
2017-03-27,9.71,9.71,9.42,9.42,9.42,5500
2017-03-28,9.4,9.4,9.37,9.37,9.37,2600
2017-03-29,9.22,9.23,9.22,9.23,9.23,1600
2017-03-30,9.14,9.17,9.11,9.16,9.16,2800
2017-03-31,9.17,9.17,9.12,9.12,9.12,1300
2017-04-03,9.12,9.13,9.12,9.13,9.13,800
2017-04-04,9.14,9.19,9.14,9.19,9.19,400
2017-04-05,8.95,9.11,8.95,9.11,9.11,600
2017-04-06,9.09,9.09,9.08,9.09,9.09,2100
2017-04-07,9.04,9.15,9.04,9.15,9.15,6900
2017-04-10,9.15,9.28,9.15,9.28,9.28,10600
2017-04-11,9.38,9.39,9.35,9.39,9.39,3500
2017-04-12,9.37,9.37,9.26,9.29,9.29,4000
2017-04-13,9.27,9.37,9.22,9.37,9.37,27100
2017-04-17,9.31,9.31,9.25,9.27,9.27,3200
2017-04-18,9.19,9.19,9.07,9.17,9.17,13500
2017-04-19,8.95,9.22,8.95,9.22,9.22,8000
2017-04-20,9.09,9.09,9.09,9.09,9.09,1200
2017-04-21,9.08,9.11,8.98,8.98,8.98,34600
2017-04-24,8.75,8.79,8.75,8.77,8.77,21600
2017-04-25,8.63,8.63,8.55,8.58,8.58,39100
2017-04-26,8.57,8.6,8.57,8.6,8.6,12900
2017-04-27,8.59,8.61,8.59,8.61,8.61,2500
2017-04-28,8.66,8.67,8.66,8.66,8.66,1500
2017-05-01,8.55,8.55,8.4,8.4,8.4,7700
2017-05-02,8.41,8.42,8.39,8.39,8.39,3900
2017-05-03,8.43,8.48,8.41,8.45,8.45,2500
2017-05-04,8.48,8.48,8.48,8.48,8.48,200
2017-05-05,8.37,8.48,8.37,8.46,8.46,3300
2017-05-08,8.48,8.51,8.48,8.51,8.51,6700
2017-05-09,8.5,8.56,8.5,8.54,8.54,7200
2017-05-10,8.54,8.62,8.52,8.62,8.62,1400
2017-05-11,8.67,8.75,8.59,8.59,8.59,2600
2017-05-12,8.56,8.61,8.55,8.61,8.61,2200
2017-05-15,8.57,8.58,8.57,8.58,8.58,4900
2017-05-16,8.61,8.65,8.6,8.62,8.62,6300
2017-05-17,8.75,9.01,8.7,9.01,9.01,27600
2017-05-18,8.89,8.92,8.77,8.82,8.82,3100
2017-05-19,8.66,8.7,8.58,8.7,8.7,1600
2017-05-22,8.48,8.52,8.48,8.52,8.52,500
2017-05-23,8.49,8.6,8.49,8.6,8.6,2500
2017-05-24,8.63,8.63,8.54,8.54,8.54,500
2017-05-25,8.54,8.54,8.54,8.54,8.54,400
2017-05-26,8.55,8.56,8.55,8.56,8.56,1000
2017-05-30,8.5,8.53,8.44,8.44,8.44,19400
2017-05-31,8.37,8.46,8.37,8.43,8.43,10100
2017-06-01,8.37,8.39,8.32,8.32,8.32,4100
2017-06-02,8.35,8.36,8.33,8.35,8.35,4400
2017-06-05,8.36,8.36,8.31,8.32,8.32,5200
2017-06-06,8.4,8.45,8.4,8.45,8.45,3700
2017-06-07,8.4,8.44,8.39,8.44,8.44,2100
2017-06-08,8.41,8.41,8.32,8.32,8.32,7400
2017-06-09,8.28,8.3,8.28,8.3,8.3,7700
2017-06-12,8.33,8.44,8.33,8.37,8.37,11000
2017-06-13,8.24,8.29,8.24,8.29,8.29,8700
2017-06-14,8.23,8.23,8.2,8.2,8.2,1800
2017-06-15,8.25,8.29,8.22,8.22,8.22,3400
2017-06-16,8.21,8.24,8.15,8.15,8.15,11000
2017-06-19,8.04,8.04,8.0,8.01,8.01,6200
2017-06-20,8.04,8.09,8.03,8.03,8.03,2500
2017-06-21,7.99,8.0,7.97,7.98,7.98,1000
2017-06-22,7.99,8.0,7.97,7.97,7.97,700
2017-06-23,8.02,8.02,7.96,7.96,7.96,1600
2017-06-26,7.87,7.93,7.82,7.82,7.82,13000
2017-06-27,7.79,7.9,7.78,7.9,7.9,10500
2017-06-28,7.78,7.82,7.75,7.76,7.76,7800
2017-06-29,7.8,8.04,7.8,7.87,7.87,9400
2017-06-30,7.82,7.9,7.8,7.85,7.85,18100
2017-07-03,7.75,7.87,7.72,7.87,7.87,9400
2017-07-05,7.91,8.0,7.88,7.88,7.88,20000
2017-07-06,7.97,8.1,7.95,8.1,8.1,33500
2017-07-07,8.01,8.03,8.01,8.03,8.03,1800
2017-07-10,8.03,8.03,7.85,7.85,7.85,3400
2017-07-11,7.86,7.95,7.86,7.88,7.88,3000
2017-07-12,7.75,7.75,7.68,7.71,7.71,7900
2017-07-13,7.69,7.69,7.62,7.65,7.65,8100
2017-07-14,7.67,7.67,7.55,7.56,7.56,12900
2017-07-17,7.47,7.49,7.45,7.47,7.47,11900
2017-07-18,7.53,7.57,7.51,7.51,7.51,16500
2017-07-19,7.44,7.51,7.42,7.49,7.49,17700
2017-07-20,7.48,7.53,7.48,7.48,7.48,24100
2017-07-21,7.5,7.57,7.5,7.52,7.52,19500
2017-07-24,7.43,7.43,7.36,7.36,7.36,23000
2017-07-25,7.3,7.35,7.3,7.35,7.35,38100
2017-07-26,7.34,7.34,7.28,7.33,7.33,27800
2017-07-27,7.27,7.32,7.25,7.31,7.31,8100
2017-07-28,7.3,7.3,7.26,7.3,7.3,40600
2017-07-31,7.3,7.31,7.24,7.24,7.24,41900
2017-08-01,7.21,7.21,7.14,7.15,7.15,33500
2017-08-02,7.11,7.21,7.11,7.19,7.19,47600
2017-08-03,7.22,7.32,7.22,7.31,7.31,15300
2017-08-04,7.3,7.33,7.25,7.33,7.33,41400
2017-08-07,7.35,7.35,7.31,7.32,7.32,10200
2017-08-08,7.33,7.52,7.29,7.47,7.47,24200
2017-08-09,7.53,7.58,7.43,7.55,7.55,57600
2017-08-10,7.65,7.83,7.65,7.8,7.8,116200
2017-08-11,7.86,8.06,7.8,8.01,8.01,48800
2017-08-14,7.78,7.78,7.53,7.53,7.53,25400
2017-08-15,7.41,7.55,7.41,7.53,7.53,25700
2017-08-16,7.48,7.51,7.44,7.47,7.47,12400
2017-08-17,7.53,7.92,7.53,7.92,7.92,39800
2017-08-18,7.84,7.88,7.67,7.8,7.8,26700
2017-08-21,7.83,7.85,7.75,7.75,7.75,9000
2017-08-22,7.6,7.6,7.52,7.52,7.52,14700
2017-08-23,7.61,7.61,7.54,7.56,7.56,9000
2017-08-24,7.54,7.68,7.54,7.61,7.61,14000
2017-08-25,7.56,7.62,7.55,7.6,7.6,12400
2017-08-28,7.54,7.58,7.54,7.54,7.54,13000
2017-08-29,7.73,7.73,7.57,7.57,7.57,10700
2017-08-30,7.55,7.59,7.54,7.59,7.59,8700
2017-08-31,7.58,7.61,7.52,7.52,7.52,11900
2017-09-01,7.51,7.52,7.48,7.5,7.5,11400
2017-09-05,7.61,7.72,7.61,7.63,7.63,18700
2017-09-06,7.56,7.7,7.56,7.68,7.68,10600
2017-09-07,7.68,7.75,7.66,7.68,7.68,16700
2017-09-08,7.76,7.79,7.74,7.77,7.77,3700
2017-09-11,7.63,7.67,7.6,7.61,7.61,22200
2017-09-12,7.56,7.62,7.56,7.57,7.57,9600
2017-09-13,7.53,7.53,7.4,7.4,7.4,10400
2017-09-14,7.42,7.43,7.38,7.43,7.43,10600
2017-09-15,7.44,7.45,7.4,7.4,7.4,6000
2017-09-18,7.36,7.4,7.27,7.27,7.27,24100
2017-09-19,7.25,7.34,7.25,7.33,7.33,3200
2017-09-20,7.27,7.33,7.26,7.26,7.26,11400
2017-09-21,7.27,7.3,7.22,7.29,7.29,7900
2017-09-22,7.38,7.39,7.32,7.36,7.36,8700
2017-09-25,7.39,7.46,7.37,7.37,7.37,7500
2017-09-26,7.31,7.33,7.28,7.28,7.28,5200
2017-09-27,7.25,7.28,7.24,7.25,7.25,2300
2017-09-28,7.28,7.3,7.27,7.27,7.27,5200
2017-09-29,7.25,7.28,7.24,7.24,7.24,9299
